Variants,Redewendung,Bedeutung,Beispiele
"['danke für Obst und Südfrüchte!', 'danke für Backobst!']",danke für Obst und Südfrüchte!; danke für Backobst!,Ausdruck der Ablehnung,"['Komm doch mit, es wird bestimmt sehr nett. – Ich danke für Obst und Südfrüchte! Das soll ein großzügiges Angebot sein? Danke für Backobst!']"
"['danke der Nachfrage', 'danke für die Nachfrage']",danke der Nachfrage; danke für die Nachfrage,Dankesformel (auf die Frage nach dem Befinden),"['Und Ihr Rheumatismus, lieber Pater General? Danke der Nachfrage, Eminenz, ich fürchte, er kommt wie jedes Jahr', 'Ich danke der Nachfrage, es geht meinem Paten sehr gut']"
['sonst gehts dir danke?'],sonst gehts dir danke?,"du bist nicht recht bei Verstand, wenn du das wirklich ernst meinst",['Wir könnten doch mit dem alten Lieferwagen der Firma in Urlaub fahren. – Sonst gehts dir aber danke?']
['dann und dann'],dann und dann,"zu einem Zeitpunkt, der hier nicht näher bezeichnet wird","['Er teilte ihm mit, dass die Ware dann und dann angeliefert werde.', 'Wir stellen fest, dass Dinge, die uns selbstverständlich sind, dann und dann noch nicht da waren und dass sich bei Dingen, die uns merkwürdig vorkommen, kein Mensch etwas dachte.']"
['dann und wann'],dann und wann,"gelegentlich, zuweilen",['Dann und wann treffen wir uns noch in der Stadt oder auf dem Tennisplatz. Auf der Chaussee zog dann und wann ein bäuerliches Fuhrwerk dahin.']
['bis dann!'],bis dann!,Grußformel bei der Verabschiedung,"['Ich muss jetzt gehen, also bis dann!']"
['von dann bis dann'],von dann bis dann,"während eines Zeitraums, der hier nicht näher bezeichnet wird","['Da sie von dann bis dann im Urlaub wäre, müsste der Sitzungstermin verschoben werden. wollen, zu.']"
"['nahe daran sein, etwas zu tun']","nahe daran sein, etwas zu tun",etwas beinahe schon tun,"['Er war nahe daran, ihm die Unterlagen um die Ohren zu schlagen.', 'Verwandte von ihr halfen ihm noch einmal aus, als er nahe daran war, seiner Schulden wegen den Dienst quittieren zu müssen.']"
['gut daran tun'],gut daran tun,in Bezug auf etwas Bestimmtes richtig handeln,"['Du tust gut daran, wenn du an der Besprechung teilnimmst. Die Regierung hat gut daran getan, einen neuen Vorstoß in dieser Frage zu unternehmen.']"
"['etwas darstellen']","etwas darstellen","Eindruck machen","['Du musst das Geschenk hübsch verpacken, damit es auch etwas darstellt.', 'Die Geschosse sind niedriger und die Fenster kleiner, aber auch diese Häuser wollen etwas darstellen.']"
"['nichts darstellen']","nichts darstellen","keinen Eindruck machen",
['darüber hinaus'],darüber hinaus,außerdem,"['Darüber hinaus gibts nichts Neues zu berichten.', 'Neben Schiffen können auch sämtliche Busse und Drahtseilbahnen benutzt werden und darüber hinaus 17 Museen kostenlos besucht werden.']"
['das und das'],das und das,bestimmte (hier nicht näher bezeichnete) Dinge,"['Natürlich muss man Vorgaben erfüllen. Es heißt dann 1000 Wohnungen, und dazu gehören laut Richtlinie das und das.']"
['dastehen wie das Kind beim Dreck'],dastehen wie das Kind beim Dreck,"hilflos, verlegen dastehen","['Als mein Geschäftspartner plötzlich verstarb, war ich schockiert. Ich stand da wie das Kind beim Dreck und wusste anfangs nicht, wie es weitergehen soll. Und jetzt steht ihr da wie das Kind beim Dreck – und übt euch fleißig im Distanzieren. Ist ja kaum auszuhalten eure Illoyalität!']"
['dastehen wie Butter an der Sonne'],dastehen wie Butter an der Sonne,vor Scham vergehen,['Sein Bluff war entlarvt. Er stand da wie Butter an der Sonne und musste sich den Spott der anderen gefallen lassen.']
"['dastehen wie der Ochs am Berg', 'dastehen wie der Ochs vorm Berg', 'dastehen wie die Kuh vorm neuen Tor', 'dastehen wie die Kuh vorm Scheunentor', 'dastehen wie die Kuh, wenns donnert', 'dastehen wie der Esel vorm Berg', 'stehen wie der Ochs am Berg', 'stehen wie der Ochs vorm Berg', 'stehen wie die Kuh vorm neuen Tor', 'stehen wie die Kuh vorm Scheunentor', 'stehen wie die Kuh, wenns donnert', 'stehen wie der Esel vorm Berg']","dastehen/stehen wie der Ochs am Berg/wie der Ochs vorm Berg/wie die Kuh vorm neuen Tor/wie die Kuh vorm Scheunentor/wie die Kuh, wenns donnert/wie der Esel vorm Berg","angesichts einer neuen Situation völlig ratlos sein, sich nicht zu helfen wissen","['Nun stehst du da wie der Ochs vorm Berg, du Großmaul. anwurzeln, einwurzeln, Holz, Hose, versteinern.']"
['bis dato'],bis dato,bisher,"['Selbst der Kenner Münchens erfährt Dinge, die zu München ganz einfach gehören, aber bis dato wenig bekannt waren', 'Ich habe recherchiert und gemerkt, dass es bis dato keinen Film zu dem Thema gab']"
['auf Dauer'],auf Dauer,für unbegrenzte Zeit,['Sie hat die Stelle auf Dauer.']
['auf die Dauer'],auf die Dauer,"auf längere Zeit, eine längere Zeit lang","['Aber ich möchte nicht reduziert werden auf meine Herkunft, als Qualifikation reicht das auf die Dauer nicht aus.']"
"['den Daumen senken', 'mit dem Daumen nach unten zeigen']",den Daumen senken; mit dem Daumen nach unten zeigen,ablehnend reagieren; seiner Missbilligung Ausdruck geben,"['Der überraschende Ausstieg eines potenziellen Investors führte am Dienstag dazu, dass die Banken den Daumen senkten', 'Er ist zu seinem ÜberIch geworden, das gnadenlos dann mit dem Daumen nach unten zeigt, wenn ihm etwas nicht passt']"
"['jemandem den Daumen aufs Auge drücken', 'jemandem den Daumen aufs Auge halten', 'jemandem den Daumen aufs Auge setzen']",jemandem den Daumen aufs Auge drücken/halten/setzen,"jemandem hart zusetzen, jemanden zu etwas zwingen","['Du kannst sagen, was du willst, ich lasse mir doch nicht von dir den Daumen aufs Auge drücken.']"
"['den Daumen halten', 'den Daumen drücken', 'die Daumen halten', 'die Daumen drücken']",den Daumen/die Daumen halten/drücken,jemandem in einer schwierigen Sache Erfolg wünschen,"['Drück mir mal den Daumen, dass alles klappt!', 'Schütz war begeistert und drückte der Mexikanerin die Daumen, dass auch ihre neue Platte Wo und wann ein Hit wird', 'Im Großen und Ganzen dürfte der gesamte Fußball-Kreis dem FC Türkspor die Daumen halten']"
"['auf etwas den Daumen halten', 'auf etwas den Daumen haben']",auf etwas den Daumen halten/haben,über etwas alleine verfügen und es nicht ohne Weiteres herausgeben,"['Bei uns hat meine Großmutter den Daumen auf dem Geld, die rückt freiwillig keinen Cent heraus. Und ich hatte schon gedacht, sie würde sich von Scheuermann beschwatzen lassen und den Daumen auf den Geldbeutel halten.']"
['auf etwas den Daumen drücken'],auf etwas den Daumen drücken,auf etwas bestehen,"['Sein Vater drückte den Daumen darauf, dass er das Geld pünktlich zurückzahlte.']"
['einen grünen Daumen haben'],einen grünen Daumen haben,beim Ziehen und Pflegen von Pflanzen großes Geschick und entsprechenden Erfolg haben,['Ihr Garten ist bezaubernd. Sie hat offensichtlich einen grünen Daumen.']
"['Daumen drehen', 'Däumchen drehen']",Daumen/Däumchen drehen,nichts tun und sich langweilen,"['Wir sitzen hier nun schon geschlagene zwei Stunden herum und drehen Däumchen.', 'Als ob sie vorher die Daumen gedreht und nichts getan hätten.']"
['per Daumen'],per Daumen,als Anhalter,"['Wer wenig Geld hatte, fuhr per Daumen.', 'In Österreich darf in den Ländern Steiermark, Oberösterreich, Burgenland und Vorarlberg nur per Daumen reisen, wer mindestens 16 Jahre alt ist.']"
['über den Daumen peilen'],über den Daumen peilen,nur ungefähr schätzen,"['Ich habe die Entfernung nur über den Daumen gepeilt.', 'Diese Werte sind natürlich auch nur über den Daumen gepeilt.']"
['über den Daumen frühstücken'],über den Daumen frühstücken,"aus der Hand, mit dem Messer abgeschnitten essen","['Dieser Umzug dauert den ganzen Tag, nur unterbrochen durch die Mittagspause, in der die Männer Brot und Wurst traditionsgemäß über den Daumen frühstücken.']"
"['jemandem Daumenschrauben anlegen', 'jemandem Daumenschrauben ansetzen']",jemandem Daumenschrauben anlegen/ansetzen,"jemanden unter Druck setzen, ihn in grober, rücksichtsloser Weise zu etwas zwingen","['Hättest du ihn nicht noch ein bisschen ausquetschen können? Sollte ich ihm vielleicht Daumenschrauben anlegen?', 'Der Club in Washington setzt also Moskau die Daumenschrauben an']"
['die Daumenschrauben anziehen'],die Daumenschrauben anziehen,"den Druck erhöhen, mehr Zwang ausüben","['Bei den Verhandlungen geht es nun darum, die Daumenschrauben noch ein bisschen anzuziehen.']"
['ei der Daus!'],ei der Daus!,"Ausruf des Erstaunens, der Verwunderung","['Ei der Daus, was ist das denn für ein hübsches Vögelchen?', 'In halber Packungsgröße soll auf jeder Schachtel die Warnung prangen Rauchen kann zum Tod führen! Ei der Daus! Ist das etwa nichts?']"
['zum Davonlaufen'],zum Davonlaufen,"unerträglich, sehr schlecht","['Die Rede des Parteivorsitzenden war zum Davonlaufen. Als Gast sang ein Tenor aus Wien, es war zum Davonlaufen.', 'Viele sagen, sein Humor sei zum Davonlaufen, einige meinen, er habe gar keinen.']"
['ohne jemandes Dazutun'],ohne jemandes Dazutun,"ohne jemandes Beteiligung, Unterstützung","['Die Dinge haben sich ohne unser Dazutun in eine ganz neue Richtung entwickelt. ob der Tod ohne fremdes Dazutun eingetreten war, ist bis heute von ungeklärten Vermutungen überschattet.']"
"['etwas zur Debatte stellen', 'etwas zur Diskussion stellen']",etwas zur Debatte/Diskussion stellen,etwas als Thema für eine Debatte vorschlagen,['Sie haben den Vorschlag der Referentin gehört – ich möchte diese Anregung jetzt zur Debatte stellen.']
['zur Debatte stehen'],zur Debatte stehen,"Thema, Gegenstand der Debatte sein","['Dass auch pensionierte Lehrpersonen notfalls aushelfen könnten, stand bereits im letzten Jahr zur Debatte.']"
['sein Debüt geben'],sein Debüt geben,"als Künstler, Sportler erstmals öffentlich auftreten, in Erscheinung treten",['Der frühere Mittelstürmer gibt heute sein Debüt als Libero. Die Preisträgerin hatte ihr literarisches Debüt schon vor dem Zweiten Weltkrieg gegeben.']
['nicht auf Deck sein'],nicht auf Deck sein,"nicht gesund sein, sich schlecht fühlen",['Sie war schon einige Tage nicht auf Deck und musste alle Arbeiten liegen lassen.']
['wieder auf Deck sein'],wieder auf Deck sein,wieder gesund sein,"['Er hoffte, in einigen Tagen wieder auf Deck zu sein.']"
['jemandem fällt die Decke auf den Kopf'],jemandem fällt die Decke auf den Kopf,jemand fühlt sich in einem Raum beengt und niedergedrückt,"['Karin kann oder will nicht begreifen, dass einem zu Hause manchmal die Decke auf den Kopf fällt', 'Jetzt hock ich alleine bei mir in der Bude, mir fällt die Decke auf’n Kopf']"
['vor Freude an die Decke springen'],vor Freude an die Decke springen,sich sehr freuen,"['Er sprang vor Freude fast an die Decke, als er erfuhr, dass sein Entwurf den ersten Preis gewonnen hatte.']"
['an die Decke gehen'],an die Decke gehen,"aufbrausen, sehr zornig, wütend werden","['Wenn der Ober nicht bald kommt, gehe ich an die Decke. Du brauchst nicht gleich an die Decke zu gehen, wenn dir einer mal die Wahrheit sagt.', 'Am Schluss der Sendung kommt immer wieder der Punkt, wo man wegen der ExpertenUrteile an die Decke gehen möchte.']"
['sich nach der Decke strecken müssen'],sich nach der Decke strecken müssen,sich seinen bescheidenen Verhältnissen anpassen müssen,"['Privatkrankenhäuser sind in Argentinien gewöhnlich besser ausgestattet als staatliche, doch auch dort müssen sich die Ärzte inzwischen nach der Decke strecken.']"
['unter einer Decke stecken'],unter einer Decke stecken,in geheimem Einverständnis stehen,"['Das Geld entnehmen die mit den Direktoren unter einer Decke steckenden Buchhalter häufig dem Fonds für Transportkosten', 'Die Bande schämte sich nicht, sogar mit der Polizei darin unter einer Decke zu stecken']"
['einen Deckel machen'],einen Deckel machen,(in einem Lokal) auf Kredit Getränke verzehren,"['noch gibt es Wirte und Wirtinnen, die jeden Gast mit Namen kennen, noch kann der Arbeitslose in seiner Stammkneipe an der Ecke einen Deckel machen', 'Wann war er denn zuletzt hier? Vergangenen Dienstag, und da hat er einen Deckel gemacht, der sich sehen lassen kann']"
"['jemandem einen auf den Deckel geben', 'jemandem eins auf den Deckel geben', 'jemandem was auf den Deckel geben']",jemandem einen/eins/was auf den Deckel geben,jemanden zurechtweisen,"['Ich hatte Zeit zu lernen, und ich hatte Leute an meiner Seite, die mir auch mal einen auf den Deckel gegeben haben, wenn ich abgehoben bin.']"
"['einen auf den Deckel bekommen', 'einen auf den Deckel kriegen', 'eins auf den Deckel bekommen', 'eins auf den Deckel kriegen', 'was auf den Deckel bekommen', 'was auf den Deckel kriegen']",einen/eins/was auf den Deckel bekommen/kriegen,zurechtgewiesen werden,"['Auch die Spieler sprechen nicht vom Abstieg. Wenn ich dieses Wort in den Mund nehme, kriege ich vom Manager wieder einen auf den Deckel, sagte Andreas Müller', 'Mach, dass das Aas die Schnauze hält!, brüllte Prall, der wahrscheinlich auch was auf den Deckel gekriegt hat']"
['in Deckung gehen'],in Deckung gehen,Schutz gegen Sicht oder Beschuss suchen,"['das Kind geht hinter der Mutter in Deckung', 'Als maskierte Männer auftauchten und auf Polizeibeamte schossen, gingen Zuschauer und Presseleute in Deckung']"
['jemanden definitiv stellen'],jemanden definitiv stellen,jemanden in ein unkündbares Beamtenverhältnis übernehmen,"['Sie seien Beamte auf Lebenszeit, definitiv gestellt!']"
['über den Deister gehen'],über den Deister gehen,"verloren gehen, aufgegeben werden","['Tiere mit derartigen Beeinträchtigungen nehmen nicht mehr am Fortpflanzungsverhalten teil Bei solchen Schmerzen gehe die Decklust über den Deister', 'Dass ihm die Spiele mittlerweile keinen Spaß mehr machen und er sogar ans Aufhören gedacht hat, liegt allerdings vor allem daran, dass die alten Ideale über den Deister gehen']"
['jemandem eine Delle ins Hemd treten'],jemandem eine Delle ins Hemd treten,jemanden nachdrücklich zurechtweisen,"['Mann, diesem Großkotz hab ich vielleicht ’ne Delle ins Hemd getreten!']"
['demnächst in diesem Theater'],demnächst in diesem Theater,"an gleicher Stelle, bald, in Kürze","['Dreschen wir wieder mal einen Skat? – Klar, demnächst in diesem Theater.']"
['denkste!'],denkste!,das hast du dir so gedacht!,"['Man denkt, Kinderbücher schreiben ist so süß und einfach – denkste!', 'Aber dass die Justiz jetzt mal ein Exempel statuieren und potenzielle Autodiebe abschrecken würde – denkste!']"
['denk mal an!'],denk mal an!,"Ausruf der Verwunderung, der bewundernden Anerkennung","['Wir haben die Strecke in knapp sechs Stunden zurückgelegt. – Denk mal an, das nenn ich eine Rekordzeit! Tag, Joachim. Ich hoffe, dass du den alten Franke wiedererkennst. Franke, sagte Rohdewald, denke mal an.']"
"['ich denk, ich hör nicht recht!', 'ich denk, ich seh nicht recht!']","ich denk, ich hör/seh nicht recht!","was ich höre/sehe, ist kaum zu glauben","['Und plötzlich– ich denk, ich seh nicht recht!– steht meine Ex vor der Tür!', 'Zweitausend soll es kosten – ich denk, ich hör nicht recht!']"
"['nicht daran denken, etwas zu tun']","nicht daran denken, etwas zu tun","etwas energisch zurückweisen, auf keinen Fall tun wollen","['Augenscheinlich dachte der General nicht daran, sein Quartier aufzugeben', 'Julika dachte ja nicht daran, seine Dienerin zu werden']"
['jemandem zu denken geben'],jemandem zu denken geben,"(durch ein Verhalten, einen Umstand) jemanden nachdenklich machen","['Die Fasanenstraße ist still; ein einzelner Fußgänger, wenn er sich ohne erkennbaren Zweck in ihr bewegt, gibt zu denken', 'Dieser Umstand wird uns später für das Vorleben der Kaiserin Theodora zu denken geben']"
['Denken ist Glückssache'],Denken ist Glückssache,da hast du nicht richtig überlegt,"['Zwei Mann können doch nicht den Öltank transportieren. Na ja, Denken ist Glückssache.']"
"['überlass das Denken den Pferden, die haben größere Köpfe']","überlass das Denken den Pferden, die haben größere Köpfe","Aufforderung, sich nicht über etwas den Kopf zu zerbrechen, weil doch nichts dabei herauskommt.",x
['schmalspurig denken'],schmalspurig denken,eng begrenzt denken,"['Das Team hatte bei dem Projektentwurf zu schmalspurig gedacht, sodass er abgelehnt wurde.']"
['sich ein Denkmal setzen'],sich ein Denkmal setzen,eine große Leistung vollbringen und dadurch in der Erinnerung anderer weiterleben,"['Mit dieser Tat hatte sich der Engel der Armen, wie man sie nannte, ein Denkmal gesetzt.', 'Spuren hinterlassen in der Welt, sich in der Welt ein Denkmal setzen, eine Tat, von der noch nach hunderten Jahren gesungen wird, ist der Sinn alles Heroismus.']"
"['jemandem einen Denkzettel verpassen', 'jemandem einen Denkzettel geben']",jemandem einen Denkzettel verpassen/geben,jemanden durch eine unangenehme Erfahrung exemplarisch bestrafen oder warnen,"['Diesem Angeber werden wir mal einen kleinen Denkzettel geben. Es gibt Rechte oder Linke, die mit der Nichtwahl ihrer jeweiligen Partei einen Denkzettel verpassen wollen.']"
['einen Depri schieben'],einen Depri schieben,in eine Depression verfallen,['Läuft es eigentlich mal gut für mich? Lang her. Jetzt bloß keinen Depri schieben.']
['der und der'],der und der,eine bestimmte männliche Person (die hier nicht näher bezeichnet wird),"['Früher, als ich selber noch verheiratet war, da hab ich immer gesagt, der und der ist fremdgegangen.']"
"['derjenige, welcher', 'diejenige, welche']","derjenige, welcher/diejenige, welche","der, auf den es ankommt, von dem die Rede ist/die, auf die es ankommt, von der die Rede ist","['Sollte ein zusätzlicher Betriebswirt in den Vorstand berufen werden, dann ist er derjenige, welcher.', 'Sie hatte einen etwas herben Charme, aber für ihn war sie diejenige, welche.']"
"['keinen Deut', 'nicht einen Deut']",keinen/nicht einen Deut,gar nicht,"['Der neue Amtsleiter ist nicht einen Deut besser als sein Vorgänger.', 'Jostens Miene wurde um keinen Deut freundlicher', 'Ebenso meine ich, etwas zu beschönigen, das bringt uns ja keinen Deut voran']"
"['mit jemandem deutsch reden', 'mit jemandem deutsch sprechen']",mit jemandem deutsch reden/sprechen,"jemandem unverblümt die Wahrheit, die Meinung sagen","['Wenn du hier nicht spurst, muss ich mal deutsch mit dir reden.', 'Ich hab deutsch mit dem Chef gesprochen, darauf hat er mich angefahren', 'Sei so gut, und halt du deinen Schnabel, sonst schwätz ich deutsch mit dir']"
"['kein Deutsch verstehen', 'nicht Deutsch verstehen']",kein Deutsch/nicht Deutsch verstehen,etwas nicht verstehen wollen; nicht gehorchen,"['Ich habe dir doch gesagt, du sollst die Werkstatt aufräumen. Du verstehst wohl kein Deutsch mehr, was?']"
['auf Deutsch'],auf Deutsch,"unverblümt, ohne Beschönigung","['Einige Fußballspieler sollen Geld genommen haben, auf gut Deutsch Sie haben sich bestechen lassen.', 'Hier, was in Hamburg getrieben wird, das ist ’ne große Schweinerei. Finde ich. Auf Deutsch gesagt.']"
['nicht ganz dicht sein'],nicht ganz dicht sein,nicht ganz bei Verstand sein,"['Wer auf einen so primitiven Schwindel hereinfällt, der muss doch nicht ganz dicht sein.', 'Die war nicht ganz dicht. Und äußerst hysterisch, das fand ich bald heraus.']"
['dicht wie ein U-Boot'],dicht wie ein U-Boot,"wasserdicht, luftdicht","['Die Wanne bestehe aus feinem Edelstahl, halte jedes Wetter aus und werde durch einen sogenannten selbstnivellierenden Laser superplan. Kisseler Zum Schluss kommt noch eine zusätzlich glättende Farbschicht drauf. Die Schale wird dicht wie ein U-Boot.']"
['dicht wie ein U-Boot'],dicht wie ein U-Boot,"total betrunken, zugedröhnt",['Beim Verlassen der Party war er dicht wie ein U-Boot. vorbei.']
['jemandes Dichten und Trachten'],jemandes Dichten und Trachten,jemandes ganzes Streben,['Das Dichten und Trachten der meisten Menschen ist auf den Erwerb materieller Güter gerichtet.']
['was will uns der Dichter damit sagen?'],was will uns der Dichter damit sagen?,"was soll das bedeuten, worauf willst du/will er hinaus?",['Der Rasen müsste mal wieder gemäht werden! – Und was will uns der Dichter damit sagen?']
['Dichtung und Wahrheit'],Dichtung und Wahrheit,frei Erfundenes und Wahres,"['Es dürfte nicht leicht sein, bei der Aussage dieses Zeugen Dichtung und Wahrheit zu unterscheiden.']"
"['jemanden dick haben', 'etwas dick haben']","jemanden, etwas dick haben","einer Person, Sache überdrüssig sein","['Allmählich habe ich dein Gemeckere dicke. Nun hätte er das Portierspielen aber dick, so ginge das nicht weiter.']"
['es dick haben'],es dick haben,über viel Geld verfügen,"['wenn Naphta es nun doch so dicke hat, warum nimmt er sich nicht eine andere Wohnung?', 'es war schon drei Tage her, seit sie mich wegen der Abziehbildchen verklatscht hatte und mein Vater die Tapeten bezahlen musste, obwohl er es doch auch nicht so dick hat']"
['jemanden dick machen'],jemanden dick machen,jemanden schwängern,"['Nun, da sie jedem erzählte Jemand hat mich dick gemacht, wurde sie nachgiebiger', 'Da ist sie, flüstert er und nickt zu einer Kellnerin rüber Das sei die 22-Jährige, mit der er schon wild geflirtet habe und der er, wenn sie ihn ließe, sofort den Bauch dick machen würde']"
['mit jemandem durch dick und dünn gehen'],mit jemandem durch dick und dünn gehen,jemandem in allen Lebenslagen beistehen,"['Er ist froh darüber, einen Menschen gefunden zu haben, der mit ihm durch dick und dünn geht.']"
['dicktun'],dicktun,"angeben, sich brüsten","['Da er von Buchführung nichts verstand, tat er sich mit seiner schönen Handschrift dicke', 'Das war, als vor zwei Jahren etwa die Torpedobootflottille aus Pillau hier festmachte, dicketat, Blaue Jungs spielte und die Marjellchen meschugge wurden']"
['seinen Dickkopf aufsetzen'],seinen Dickkopf aufsetzen,"trotzen, auf seinem Willen beharren",['Die Tochter hatte mal wieder ihren Dickkopf aufgesetzt und wollte partout nicht mitkommen.']
['die da oben'],die da oben,"die Herrschenden, die führende Schicht","['Wir rackern uns ab, und die da oben saufen Champagner! Ich glaube nicht an echte Mitbestimmung; die da oben machen schließlich doch, was sie wollen.']"
['die und die'],die und die,bestimmte weibliche Person (die hier nicht näher bezeichnet wird),['dass man sehr wohl von einer Dame nichts wissen kann und sie doch in ein Gästebuch mit ziemlicher Wahrscheinlichkeit als die und die eintragen kann.']
['die und die'],die und die,bestimmte Personen (die hier nicht näher bezeichnet werden),"['Sobald klar wird, dass die und die nicht weiter bei uns mitarbeiten wollen, werden wir uns nach Ersatz umsehen.']"
['wie ein Dieb in der Nacht'],wie ein Dieb in der Nacht,"unbemerkt, heimlich und überraschend",['Als Ehrengast des Gesellschaftsabends würde er sich nicht wie ein Dieb in der Nacht davonstehlen können. Wie ein Dieb in der Nacht hatte sich ein seltsamer Gedanke in ihr Herz geschlichen.']
"['die kleinen Diebe hängt man, die großen lässt man laufen']","die kleinen Diebe hängt man, die großen lässt man laufen","die wirklich schwerwiegenden Verbrechen bleiben oft ungesühnt, während Kleinigkeiten konsequent bestraft werden","['Das Finanzamt hat mir wegen Peanuts ein saftiges Bußgeld aufgebrummt, aber die Industriebosse dürfen ihre Millionengewinne auf Schweizer Konten verstecken. Ein typischer Fall von die kleinen Diebe hängt man Gelegenheit.']"
['Dienst am Kunden'],Dienst am Kunden,"eine unentgeltliche Dienstleistung, eine zusätzliche Leistung, die jemand besonders im Geschäftsleben dem Kunden erbringt, ohne dass dieser einen Anspruch darauf hätte","['Die Kürzung des Kleides erledigen wir kostenlos. Das ist Dienst am Kunden. Als sie sich für seine freundliche Hilfe bedanken wollte, winkte der Nachbar lachend ab Keine Ursache! Dienst am Kunden!']"
"['Dienst ist Dienst, und Schnaps ist Schnaps']","Dienst ist Dienst, und Schnaps ist Schnaps",Arbeit und Privatvergnügen sind zweierlei,"['Hat Würzbach etwa Schwierigkeiten mit der Soldatenregel Nummer eins Dienst ist Dienst, und Schnaps ist Schnaps?']"
"['seinen Dienst tun', 'seine Dienste tun']",seinen Dienst/seine Dienste tun,für den vorgesehenen Zweck zu gebrauchen sein,"['Besonders schön ist der Sessel nicht mehr, aber er wird noch einige Zeit seinen Dienst tun. Wenn man kein Bett hat, tut auch eine Matratze ihren Dienst.']"
"['gute Dienste tun', 'gute Dienste leisten']",gute Dienste tun/leisten,sehr nützlich sein,['Bei diesem Wetter tut ein Anorak gute Dienste. Ungehinderter Zugang zum Archiv könnte uns gute Dienste leisten.']
['jemandem mit etwas einen schlechten Dienst erweisen'],jemandem mit etwas einen schlechten Dienst erweisen,jemandem mit etwas schaden,"['Mit eurem Übereifer habt ihr mir einen schlechten Dienst erwiesen.', 'Du hast Onkel Mutsch einen schlechten Dienst erwiesen. Mit deinen Prügeleien hast du ihm geschadet.']"
['jemandem den Dienst versagen'],jemandem den Dienst versagen,"schwach werden, versagen","['Sie wollte schreien, aber die Stimme versagte ihr den Dienst. Meine Beine versagten mir vor Erschöpfung den Dienst.']"
['außer Dienst'],außer Dienst,(in Bezug auf Beamte und Offiziere) im Ruhestand; Abk. a. D.,['Er ist Major a. D.']
['etwas außer Dienst stellen'],etwas außer Dienst stellen,den Betrieb von etwas einstellen,['sowohl der Bomber als auch die Waffe seien längst außer Dienst gestellt.']
"['in jemandes Diensten stehen', 'bei jemandem in Diensten stehen']",in jemandes Diensten/bei jemandem in Diensten stehen,"bei jemandem angestellt, beschäftigt sein; für jemanden arbeiten, tätig sein","['Der Experte für Gegenaufklärung hatte nach amerikanischen Darstellungen fünfzehn Jahre in Moskaus Diensten gestanden und dem Staat erheblichen Schaden zugefügt', 'Graf Orlog, ein Vampir aus den Karpaten, lässt einen Makler, der offensichtlich in seinen Diensten steht, in Wisborg ein Haus erwerben, bevor er per Schiff mit einer Ladung von Särgen selbst dort eintrifft']"
['etwas in Dienst stellen'],etwas in Dienst stellen,etwas für die der betreffenden Sache zugedachte Funktion einsetzen,['Wann wurde dieses Schiff in Dienst gestellt?']
['sich in den Dienst einer Sache stellen'],sich in den Dienst einer Sache stellen,"sich für etwas einsetzen, etwas fördern",['Nach ihrer Pensionierung hat sie sich ganz in den Dienst der sozialen Krankenfürsorge gestellt.']
['im Dienst einer Sache stehen'],im Dienst einer Sache stehen,"etwas fördern, für etwas arbeiten",['Seit über zwanzig Jahren stehen unsere ehrenamtlichen Helfer im Dienst der kommunalen Landschaftspflege.']
['vom Dienst'],vom Dienst,diensthabend,['Rufen Sie mir sofort den Unteroffizier vom Dienst!']
['vom Dienst'],vom Dienst,eine bestimmte Aufgabe regelmäßig erfolgreich bewältigend,"['Die Anheizer vom Dienst. Ohne Warm-upper kommt keine Publikumsshow in Schwung.', 'Er verteilte die Geschenke selbst an die artigen Kinder. Wolfgang Müller ist schließlich seit fast 20 Jahren der Weihnachtsmann vom Dienst.']"
['zu Diensten stehen'],zu Diensten stehen,"einsatzbereit sein, jemandes Wünsche, Bedürfnisse erfüllen können","['Wenn Sie noch etwas brauchen oder einen Wunsch haben, läuten Sie bitte – ich stehe jederzeit zu Diensten. Der Fürst beschloss, dass das Gesinde in Zukunft rund um die Uhr zu seinen Diensten stehen müsse.']"
"['jemandem zu Diensten stehen', 'jemandem zu Diensten sein']",jemandem zu Diensten stehen/sein,"jemandem zur Verfügung stehen, jemandes Wünsche erfüllen","['Wenn Sie eine Beratung wünschen, steht Ihnen unser geschultes Personal zu Diensten.', 'Berlin blieb eisenhart, Berlin wollte nur eins – seinem Investor weiter zu Diensten sein. Verdankung.']"
['dienstbarer Geist'],dienstbarer Geist,"jemand, der jemanden bedient, jemandem für Dienste zur Verfügung steht","['die Garderobe des großen Hauses wird weiterhin von dienstbaren Geistern betreut', 'Ist kein dienstbarer Geist vorhanden, so öffnet der Hausherr', 'Zimmerkellner rollten das Frühstück an Gefolgt von einer weiteren Schar dienstbarer Geister']"
['einen auf den Diensteid nehmen'],einen auf den Diensteid nehmen,im Dienst ein Glas Alkohol trinken,"['Kollege Maier ist befördert worden, da könnten wir doch eigentlich alle einen auf den Diensteid nehmen!']"
['auf dem kleinen Dienstweg'],auf dem kleinen Dienstweg,"unbürokratisch, unter Umgehung der sonst üblichen Formalitäten","['Die EU signalisierte bereits außerhalb des Protokolls auf dem kleinen Dienstweg ihr Okay keine größeren Bedenken, keine Handelshemmnisse', 'Die Justizbehörde in Washington kennt diese wichtigen Details seit langem. Sie wurde über jeden Schritt der deutschen Ermittlungen auf dem kleinen Dienstweg informiert']"
