Variants,Redewendung,Bedeutung,Beispiele
"['blau sein haubitze', 'blau sein wie tausend Mann', 'blau sein wie ein Eckhaus']",blau sein haubitze/wie tausend Mann/wie ein Eckhaus ],betrunken sein,"['Am Zahltag ist er immer blau wie ein Veilchen. Als es schon hell zu werden begann, kam er blau wie ’ne Strandhaubitze nach Hause.']"
"['Blei im Hintern haben', 'Blei im Arsch haben']",Blei im Hintern/Arsch haben,"nicht aufstehen, nicht aufbrechen wollen","['Um vier Uhr früh waren die immer noch bei uns, die hatten mal wieder Blei im Arsch. Morgenstunde.']"
"['einen Blick hinter die Kulissen werfen', 'einen Blick hinter die Kulissen tun']",einen Blick hinter die Kulissen werfen/tun,die Hintergründe einer Sache kennenlernen,"['Als ich noch in der Planung arbeitete, konnte ich gelegentlich auch einen Blick hinter die Kulissen tun.']"
"['einen Blick für jemanden, etwas haben', 'keinen Blick für jemanden, etwas haben']","einen/keinen Blick für jemanden, etwas haben","jemanden, etwas sehr gut/nicht beurteilen, erkennen können","['Sie hat absolut keinen Blick für gutes Design.', 'Es ist die Niere. Ich habe einen Blick für Krankheiten.']"
"['keinen Blick für jemanden, etwas haben', 'keine Blicke für jemanden, etwas haben']","keinen Blick/keine Blicke für jemanden, etwas haben","jemanden, etwas nicht beachten","['Die Schaufenster waren hell erleuchtet, aber die meisten Passanten hatten keinen Blick für die Auslagen.', 'Aber die Bienen sind gerade beschäftigt und haben keinen Blick für die Menschen, die neugierig in den Kasten schauen.']"
"['auf den ersten Blick', 'auf einen Blick', 'mit einem Blick']",auf den ersten/auf einen/mit einem Blick,"sofort; bei nur einmaligem, kurzem Hinsehen","['Man erkennt auf den ersten Blick, dass es sich um ein außergewöhnliches Talent handelt. Mit einem Blick war ihm klar, dass hier eine Fälschung vorlag. Sie wusste mit einem Blick, mit wem sie es zu tun hatte.']"
"['da knurrt der Blindenhund', 'da bellt der Blindenhund']",da knurrt/bellt der Blindenhund,das sieht auffallend hässlich aus,"['Diese Länge mit den Teilungsnähten, dem Latz und langen Ärmeln, dann in pinkfarbenem Duchesse. Mein Gott, da knurrt der Blindenhund!', 'die im Fußballsport leider mittlerweile üblichen knielangen Schlabbershorts, eine Ausstattung, bei der früher der Blindenhund geknurrt hätte']"
"['wie vom Blitz gerührt', 'wie vom Blitz getroffen']",wie vom Blitz gerührt/getroffen,"vor Schreck, Entsetzen völlig verstört, erstarrt","['Ich war wie vom Blitz getroffen, als mich meine Angestellte anrief', 'da sieht man plötzlich keine konstruierte Witzfigur mehr da spricht aus ihr solche Resignation, Angst und Trauer, dass man wie vom Blitz gerührt im Kinosessel zusammenfährt']"
"['sich die Blöße geben', 'sich eine Blöße geben']",sich die/eine Blöße geben,"sich bloßstellen, sich blamieren","['Die Opposition wartet darauf, dass sich die Regierung eine Blöße gibt. Ich werde mir doch nicht vor dem eine Blöße geben!', 'Jetzt haben sie, die Persickes, sich ein bisschen viel Blößen gegeben.']"
"['danke für die Blumen', 'vielen Dank für die Blumen']",danke/vielen Dank für die Blumen,Dankesformel als Antwort auf eine Kritik oder ein Lob,"['Schließlich war der New Yorker selbst einmal kurzzeitig Rockkritiker, wie er bekennt. Und das war der albernste Job, den ich je hatte. Danke für die Blumen', 'Die Times schrieb unserem Eheleben die schlechten Sitten der britischen Kolonialtruppen zu Danke für die Blumen, aber in Wahrheit sind wir keineswegs so tief gesunken']"
"['mit etwas ist kein Blumentopf zu gewinnen', 'mit etwas kann man keinen Blumentopf gewinnen']",mit etwas ist kein Blumentopf zu gewinnen/kann man keinen Blumentopf gewinnen,"mit etwas hat man keinen Erfolg, kann man nichts erreichen","['Das sind doch völlig unausgegorene Ideen, damit kannst du beim Chef keinen Blumentopf gewinnen. Wir brauchen kein besonderes Bühnenbild, wir haben die Stars. Besessene Bühnenbildner können bei ihm keinen Blumentopf gewinnen.']"
"['Blunzen sein', 'Blunzen werden']",Blunzen sein/werden,völlig gleichgültig sein/werden,"['Da er in Amerika zu leben pflegt, sind ihm die Dollar-Euro-Verschiebungen relativ Blunzen', 'Beim Museum am Berg ist es völlig Blunzen, wenn das erst in fünf Jahren gebaut wird, meint Schwaighofer', 'Aber meine sexuelle Ausrichtung scheint mir auch bereits Blunzen geworden zu sein, nicht einmal mit der Frage kann ich mich noch befassen']"
"['etwas in der Bluse haben', 'nichts in der Bluse haben', 'etwas unter der Bluse haben', 'nichts unter der Bluse haben']","etwas, nichts in/unter der Bluse haben","einen, keinen üppigen Busen haben","['Du trägst diese Brosche doch nur, weil du nichts in der Bluse hast, beleidigte Herbert J. die Frau ihren Angaben zufolge im Fahrstuhl.']"
"['eine pralle Bluse haben', 'eine gefüllte Bluse haben']",eine pralle/gefüllte Bluse haben,einen üppigen Busen haben,"['Eine Frau mit praller Bluse und beiden Beinen fest auf der Erde genau mein Typ!, sagte er augenzwinkernd.']"
"['jemandem erstarrt das Blut in den Adern', 'jemandem gefriert das Blut in den Adern', 'jemandem gerinnt das Blut in den Adern', 'jemandem stockt das Blut in den Adern']",jemandem erstarrt/gefriert/gerinnt/stockt das Blut in den Adern,"jemand ist starr vor Schreck, ist vor Entsetzen wie gelähmt",['Beim Anblick des angerichteten Blutbades erstarrte ihnen das Blut in den Adern.']
"['böses Blut machen', 'böses Blut schaffen']",böses Blut machen/schaffen,"Unzufriedenheit, feindselige Gefühle erregen","['Übrigens war es sofort ersichtlich, dass der Vorfall böses Blut im Dorfe machte', 'warum man aber jede Konsultierung des Preisüberwachens ablehnt, ist nicht einzusehen. Das schafft bloß böses Blut']"
"['jemanden bis aufs Blut quälen', 'jemanden bis aufs Blut peinigen', 'jemanden bis aufs Blut reizen']",jemanden bis aufs Blut quälen/peinigen/reizen,jemanden bis zum Äußersten quälen/peinigen/reizen,"['Ein solch verantwortungsloses, umweltfeindliches Verhalten reizte sie jedesmal bis aufs Blut. in Wut und Verzweiflung hat er seinen Kahnschiffer, der den Schiffsjungen Bruhn bis aufs Blut peinigte, erschlagen.']"
"['jemandem im Blut liegen', 'jemandem im Blut stecken']",jemandem im Blut liegen/stecken,"jemandem als Begabung, Neigung angeboren sein","['Viele Italiener, denen das Lotto und das Glücksspiel im Blut liegt, sehen den Aktienmarkt nach wie vor als eine Art von riesenhaftem Casino di Montecarlo', 'Dass den beiden Jungen die Musik im Blut liegt, ist deutlich zu sehen, wenn man ihnen beim Vorspielen zuschaut', 'May hat das Gespür dafür unter dem kleinen Fingernagel, dem Jungen steckt das im Blut']"
"['im Blut waten', 'in jemandes Blut waten']",im Blut/in jemandes Blut waten,"seine Gegner massenweise töten, Massen grausam hinrichten","['Die neuen Machthaber wateten im Blut. Die Junta schlug brutal zurück, der Generalissimo watete im Blut der Oppositionellen.']"
"['etwas im Blut ersticken', 'etwas in jemandes Blut ersticken']",etwas im Blut/in jemandes Blut ersticken,"etwas blutig, mit viel Blutvergießen unterdrücken",['Die Truppen des Diktators erstickten den Aufstand im Blut. Der Freiheitskampf der Bevölkerung wurde im Blut der Revolutionäre erstickt.']
"['nach Blut lechzen', 'nach Blut dürsten']",nach Blut lechzen/dürsten,töten wollen,"['Die Schmach musste getilgt werden, das ganze Volk lechzte nach Blut.', 'Kongenial, wie Aubrey Beardsley die dekadente, nach Blut dürstende Salome von Oskar Wilde illustrierte. aussehen, Fleisch, jung, Mensch, Musik, Wallung.']"
"['seltsame Blüten treiben', 'wunderliche Blüten treiben']",seltsame/wunderliche Blüten treiben,seltsame/wunderliche Formen annehmen,"['Seine Fantasie treibt oft wunderliche Blüten.', 'Das Bemühen, der viel beredeten Politikverdrossenheit zu Leibe zu rücken, treibt zuweilen seltsame Blüten. Eine der bizarrsten ist die Absenkung des Wahlalters.']"
"['in der Blüte seiner Jahre', 'in der Blüte ihrer Jahre']",in der Blüte seiner/ihrer Jahre,in jungen Jahren,"['Viele Söhne der Stadt waren in der Blüte ihrer Jahre auf dem Schlachtfeld gefallen.', 'Der durchaus nicht mehr in der Blüte der Jahre stehende Tenor war seinem Charakter nach ein Buffo, klein und pfiffig.']"
"['Bock haben', 'keinen Bock haben']",Bock/keinen Bock haben,"etwas gut/schlecht finden; zu, auf etwas Lust/keine Lust haben","['Wenn man sich den neuen Parteivorstand ansieht, kann man verstehen, warum so viele Jugendliche null Bock auf Politik haben. Und darauf haben wir jetzt einfach keinen Bock mehr.', 'Darauf hatte ich irgendwann keinen Bock mehr und habe mit dem Tennis aufgehört.']"
"['festen Boden unter den Füßen haben', 'festen Boden unter die Füße bekommen']",festen Boden unter den Füßen haben/unter die Füße bekommen,eine sichere (wirtschaftliche) Grundlage haben/bekommen,"['Als ihn seine alte Firma wieder einstellte, hatte er endlich festen Boden unter den Füßen.', 'Durch Kredit bekam er wieder festen Boden unter die Füße.']"
"['Boden gutmachen', 'Boden wettmachen']",Boden gutmachen/wettmachen,"aufholen, Fortschritte machen","['Der demokratische Kandidat konnte bei den Vorwahlen Boden wettmachen.', 'Toini Pöysti machte zwar gegen Britt Strandberg Boden gut, konnte den zweiten Platz der schwedischen Staffel aber nicht mehr gefährden.']"
"['guten Boden für etwas finden', 'günstigen Boden für etwas finden']",guten/günstigen Boden für etwas finden,gute/günstige Voraussetzungen für etwas vorfinden,['Gerade in Studentenkreisen fand er einen guten Boden für seine umstürzlerischen Pläne vor.']
"['sich auf schwankenden Boden begeben', 'sich auf unsicheren Boden begeben']",sich auf schwankenden/unsicheren Boden begeben,"(in seinen Betrachtungen, Argumentationen ) den Boden der Tatsachen, des Gesicherten verlassen, unsichere Voraussetzungen einbeziehen",['Mit diesen Theorien begab er sich auf unsicheren Boden.']
"['jemand würde am liebsten in den boden versinken', 'jemand würde am liebsten im boden versinken', 'jemand wäre am liebsten in den boden versunken', 'jemand wäre am liebsten im boden versunken']",jemand würde am liebsten in den/im boden versinken/wäre am liebsten in den/im boden versunken,jemand schämt sich maßlos/hat sich maßlos geschämt,"['Sie war ins Fettnäpfchen getreten und wäre vor Scham am liebsten im Boden versunken.', 'Petra möchte im Boden versinken, so peinlich ist ihr Gunnars ungehobeltes Benehmen.']"
"['jemanden im hohen Bogen hinauswerfen', 'jemanden im hohen Bogen rauswerfen']",jemanden im hohen Bogen hinauswerfen/rauswerfen,"jemanden, ohne lange zu zögern, energisch nach draußen weisen",['Der Wirt warf die beiden Betrunkenen im hohen Bogen hinaus.']
"['jemanden im hohen Bogen hinauswerfen', 'jemanden im hohen Bogen rauswerfen']",jemanden im hohen Bogen hinauswerfen/rauswerfen,jemanden fristlos entlassen,['Der Verein hat den Kassierer im hohen Bogen hinausgeworfen.']
"['im hohen Bogen hinausfliegen', 'im hohen Bogen rausfliegen']",im hohen Bogen hinausfliegen/rausfliegen,ohne viel Aufhebens hinausgeworfen werden,"['Wer stört, fliegt im hohen Bogen hinaus.', 'Und aus der Garderobe von Lisa ist eben einer rausgeflogen. Und zwar in hohem Bogen.']"
"['im hohen Bogen hinausfliegen', 'im hohen Bogen rausfliegen']",im hohen Bogen hinausfliegen/rausfliegen,fristlos entlassen werden,['Auch in seiner neuen Firma flog er bald im hohen Bogen hinaus. Bausch.']
"['jemandem böhmische Dörfer sein', 'jemandem ein böhmisches Dorf sein', 'für jemanden böhmische Dörfer sein', 'für jemanden ein böhmisches Dorf sein']",jemandem/für jemanden böhmische Dörfer/ein böhmisches Dorf sein,"mit etwas nichts anfangen können, weil man es nicht versteht",['Für Sophie war der Inhalt des Untersuchungsberichtes ein böhmisches Dorf.']
"['nicht die Bohne', 'keine Bohne']",nicht die/keine Bohne,überhaupt nicht,"['Mit mir war nicht die Bohne los. Ich war bloß irgend so ein Idiot', 'dass ich von den ganzen Faschismustheorien nicht die Bohne verstehe']"
"['jemandem ein Bonbon ans Hemd kleben', 'jemandem ein Bonbon auf die Backe kleben']",jemandem ein Bonbon ans Hemd/auf die Backe kleben,jemanden veralbern,"['Ich lass mir doch von so einem Schnösel kein Bonbon auf die Backe kleben!', 'Einen Bonbon ans Hemd kleben wollten sie Walter Scheel.']"
"['im gleichen Boot sitzen', 'in einem Boot sitzen']",im gleichen/in einem Boot sitzen,gemeinsam in derselben schwierigen Lage sein,"['Bedenken sollten Sie im Übrigen, dass wir jedenfalls im gleichen Boot sitzen', 'Wir sind nicht in der Lage zu kritisieren. Wir sitzen alle im selben Boot']"
"['seine Borsten aufstellen', 'seine Borsten zeigen']",seine Borsten aufstellen/zeigen,"sich widerspenstig, abweisend gebärden","['Gegenüber Journalisten hatte der Erfolgsautor seit jeher seine Borsten aufgestellt. Die Tante war meist sehr freundlich, konnte gelegentlich aber auch ihre Borsten zeigen.']"
"['der hinkende Bote kommt nach', 'der hinkende Bote kommt hinterher']",der hinkende Bote kommt nach/hinterher,"das Unangenehme bleibt nicht aus, zum Schluss geschieht noch etwas Unerfreuliches","['Das wäre ja ein großartiger Erfolg, hoffentlich kommt der hinkende Bote nicht noch nach.']"
"['Bandagen Gürtellinie, Handtuch Ring Runden Seilen etwas in Brand setzen', 'Bandagen Gürtellinie, Handtuch Ring Runden Seilen etwas in Brand stecken']","Bandagen Gürtellinie, Handtuch Ring Runden Seilen etwas in Brand setzen/stecken",etwas in zerstörerischer Absicht anzünden,"['Die abziehenden Soldaten steckten das Dorf in Brand.', 'Vorn und achtern am Floß wurden die Natriumbehälter in Brand gesteckt.']"
"['den Braten riechen', 'den Braten schmecken']",den Braten riechen/schmecken,"ahnen, merken, was an Unangenehmem auf einen zukommt oder wo sich eine vorteilhafte Möglichkeit bietet","['Maggio war höllisch schlau, er würde den Braten riechen, wenn ihn der Leutnant interviewte', 'Vielleicht riechen andere den Braten auch, und vielleicht sind andere besser angeschrieben als wir!']"
"['wenn es Brei regnet, hält man den Löffel raus', 'wenn es Brei regnet, muss man den Löffel raushalten', 'wenn es Brei regnet, braucht man einen großen Löffel']","wenn es Brei regnet, hält man den Löffel raus/muss man den Löffel raushalten/braucht man einen großen Löffel","glückliche, profitable Umstände muss man nutzen","['Der Markt für elektronisches Spielzeug wächst, und für die Hersteller gilt, dass man den Löffel raushält, wenn es Brei regnet.']"
"['jemandem Brei um den Mund schmieren', 'jemandem Brei ums Maul schmieren']",jemandem Brei um den Mund/ums Maul schmieren,jemandem schmeicheln,"['Du brauchst mir gar nicht dauernd Brei um den Mund zu schmieren, mein Auto verleihe ich doch nicht!']"
"['auf die Bremse treten', 'auf die Bremse steigen']",auf die Bremse treten/steigen,"bremsen, zurückhaltender sein; von etwas Abstand nehmen","['Nun muss das Unternehmen auf die Bremse treten.', 'Statt sich um eine günstige, verständliche und leicht zugängliche Fassung des Vertrags zu bemühen, seien viele EU-Länder auf die Bremse gestiegen.']"
"['ich kann mich bremsen', 'ich konnte mich bremsen']",ich kann/konnte mich bremsen,"da irrt/irrte man sich gewaltig, wenn man denkt/dachte, ich wäre so töricht, das zu tun","['Ich fahre nicht mit, ich kann mich bremsen. Schaum.']"
"['in die Bresche springen', 'in die Bresche treten']",in die Bresche springen/treten,"für jemanden, etwas einspringen, eintreten","['Wenn du nicht mehr kannst, werde ich in die Bresche springen. Wenn inländische und ausländische Kunden nur wenig kaufen, muss der Staat in die Bresche springen.']"
"['das Brett bohren, wo es am dünnsten ist', 'das Holz bohren, wo es am dünnsten ist']","das Brett/das Holz bohren, wo es am dünnsten ist",sich eine Sache leicht machen,"['Der ist ein ganz fauler Strick, der bohrt das Brett immer, wo es am dünnsten ist.']"
"['etwas durch eine gefärbte Brille betrachten', 'etwas durch eine gefärbte Brille sehen', 'etwas durch seine eigene Brille betrachten', 'etwas durch seine eigene Brille sehen']",etwas durch eine gefärbte/durch seine eigene Brille betrachten/sehen,"etwas voreingenommen, subjektiv beurteilen",['Er betrachtete die Dinge durch seine eigene Brille.']
"['etwas durch die rosa Brille sehen', 'etwas durch die rosa Brille betrachten']",etwas durch die rosa Brille sehen/betrachten,etwas nur positiv beurteilen; zu optimistisch sein,"['Im Radio Goebbels. Er sehe unsere Lage nicht durch eine rosarote Brille. Aber Lieber ein Ende mit Schrecken', 'Nostalgische Menschen sehen die Vergangenheit oft durch die rosarote Brille, teilen ihre Erinnerung immer wieder mit ihren Mitmenschen']"
"['der bringt’s', 'der bringt’s nicht', 'die bringt’s', 'die bringt’s nicht', 'das bringt’s', 'das bringt’s nicht']",der/die/das bringt’s /bringt’s nicht,der/die/das ist ausgezeichnet/schlecht,"['Mit ’ner Harley-Davidson über den Highway rauschen, ich sag dir, das bringt’s voll! Hab den Film schon gesehen; kannste vergessen, der bringt’s nicht.']"
"['etwas in Abzug bringen, jemanden auf achtzig bringen Bröckchen lachen', 'etwas in Abzug bringen, jemanden auf achtzig bringen Bröckchen husten']","etwas in Abzug bringen, jemanden auf achtzig bringen Bröckchen lachen/husten",sich übergeben,"['Hast du mal einen Wischlappen? Der Kleine hat schon wieder Bröckchen gehustet. Karl ist draußen auf’m Klo; ich glaub, der muss Bröckchen lachen.']"
"['die Brocken hinwerfen', 'die Brocken hinschmeißen']",die Brocken hinwerfen/hinschmeißen,"aus Verärgerung, Überdruss nicht mehr weitermachen; resignierend aufgeben","['Anfang des Jahres überlegte er, ob er nach 13 Jahren im Bundesvorstand die Brocken hinwerfen solle', 'Arbeit hat mir immer Spaß gemacht – aber jetzt bin ich drauf und dran, die Brocken hinzuschmeißen']"
"['ein hartes Brot sein', 'ein schweres Brot sein']",ein hartes/schweres Brot sein,ein mühevoller Gelderwerb sein,"['Er brummelte das könne doch nie gut gehen – Vertreter, Reisender, das sei ein hartes Brot.']"
"['kleine Brötchen backen', 'kleinere Brötchen backen']",kleine/kleinere Brötchen backen,"sich bescheiden, in bestimmter Hinsicht zurückstecken","['Zunächst, so heißt es hier, müssen in der Europapolitik noch kleine Brötchen gebacken werden', 'hat vielleicht der Justiziar in Düsseldorf die Firmenleitung aufgeklärt, dass sie kleine Brötchen backen muss']"
"['die Brücken hinter sich abbrechen', 'alle Brücken hinter sich abbrechen']",die/alle Brücken hinter sich abbrechen,sich von allen bisherigen Bindungen endgültig lösen,"['Nach dem Kriege brach er alle Brücken hinter sich ab und ging nach Kanada.', 'Sie verlangte von ihrem Mann, sofort alle Brücken hinter sich abzubrechen.']"
"['jemandem eine Brücke bauen', 'jemandem goldene Brücken bauen']",jemandem eine Brücke/goldene Brücken bauen,"jemandem das Eingeständnis einer Schuld, das Nachgeben erleichtern","['Wenn Sie die Klage zurückziehen, ersparen Sie sich die Kosten des Verfahrens, versuchte die Kammervorsitzende eine goldene Brücke zu bauen', 'Er hatte Willy nicht offen verteidigt, aber doch versucht, ihm eine Brücke zu bauen']"
"['Brücken schlagen', 'eine Brücke schlagen']",Brücken/eine Brücke schlagen,eine Verbindung herstellen,"['Der Sport schlägt Brücken zu den jungen Völkern Afrikas.', 'Ein Schluck Wein ist ein Symbol der Gastlichkeit und schlägt Brücken zwischen den Menschen', 'Mit diesem Holzteilchen ist die Brücke geschlagen vom Angeklagten zum Hammer, vom Hammer zur Tat']"
"['Bruder Lustig', 'Bruder Leichtfuß', 'Bruder Liederlich']",Bruder Lustig/Leichtfuß/Liederlich,"lebenslustiger, leichtfertiger Mensch","['Er war für ein bürgerliches Leben nicht geschaffen und blieb ein Bruder Liederlich.', 'Dem Bruder Leichtfuß auf dem Tanzboden sind keine moralischen Fehltritte nachzuweisen.']"
"['Brüderschaft trinken', 'Bruderschaft trinken']",Brüderschaft/Bruderschaft trinken,mit einem Schluck eines meist alkoholischen Getränks die Duzfreundschaft besiegeln,"['mit eisgekühltem Orangensaft tranken wir morgens um halb zwei Uhr Brüderschaft', 'Du lässt dich schließlich überreden, trinkst Bruderschaft mit Hugo, dem Sohn der Familie']"
"['ein aufgeschlagenes Buch für jemanden sein', 'ein offenes Buch für jemanden sein']",ein aufgeschlagenes/offenes Buch für jemanden sein,jemandem ganz vertraut und bis in die innersten Regungen bekannt sein,"['Nach vierundzwanzig Ehejahren war ihr Mann für sie wie ein aufgeschlagenes Buch. Du kannst mir nichts verheimlichen, du bist ein offenes Buch für mich.']"
"['jemandem ein Buch mit sieben Siegeln sein', 'für jemanden ein Buch mit sieben Siegeln sein']",jemandem/für jemanden ein Buch mit sieben Siegeln sein,"für jemanden nicht durchschaubar, unverständlich sein, ein Geheimnis bleiben","['Die moderne Malerei ist mir ein Buch mit sieben Siegeln. Dieses Stück ist und bleibt für mich ein Buch mit sieben Siegeln.', 'Sie werden eine Welt entdecken, die für die meisten Städter ein Buch mit sieben Siegeln ist.']"
"['das Buch zumachen', 'das Buch zuklappen', 'das Buch zuschlagen']",das Buch zumachen/zuklappen/zuschlagen,"mit einer Sache abschließen, seinen Frieden machen ; eine Sache beenden","['Man möchte das Buch zuklappen und endlich ein neues Lebenskapitel beginnen!', 'Im Extremfall, also wenn beim Schuldner nichts mehr geht, sagen wir auch, dass wir das Buch zumachen und nicht mehr weiter beitreiben.']"
"['wie jemand, etwas im Buche steht', 'wie jemand, etwas wie es im Büchlein steht', 'wie jemand, etwas wie es im Büchl steht']","wie jemand, etwas im Buche steht/wie es im Büchlein/Büchl steht","wie jemand, etwas, es als Musterbeispiel gelten kann","['Sie ist eine Lehrerin, wie sie im Buche steht.', 'Du bist wirklich ein Idiot, wie er im Buche steht', 'Der Verweigerer und der Unterwanderer. Wie’s im Büchlein steht']"
"['jemandem juckt der Buckel', 'jemanden juckt der Buckel']",jemandem/jemanden juckt der Buckel,jemand fordert durch sein Benehmen eine Tracht Prügel heraus,"['Den Kerl juckt heut der Buckel, so frech war der schon lange nicht mehr!']"
"['einen breiten Buckel haben', 'einen breiten Rücken haben']",einen breiten Buckel/Rücken haben,"sich durch Kritik, Anfeindungen nicht aus dem inneren Gleichgewicht bringen lassen","['Der Chef kann ruhig auf mir herumhacken. Das stört mich nicht, ich habe einen breiten Buckel.']"
"['jemandem den Buckel raufsteigen können', 'jemandem den Buckel raufsteigen sollen']",jemandem den Buckel raufsteigen können/sollen,"von jemandem einfach nicht mehr beachtet werden, jemanden nicht länger belästigen sollen","['Ich will nicht mehr mit ihm darüber verhandeln, der soll mir den Buckel raufsteigen.', 'Einmal hörte Joseph den Melker sagen, das Vaterländli könne ihm in seiner ganzen Größe, wenn es wolle, den Buckel hinaufsteigen.']"
"['etwas auf dem Buckel haben', 'etwas auf dem Rücken haben']",etwas auf dem Buckel/Rücken haben,"etwas hinter sich gebracht, erlebt haben","['Der Wagen hat jetzt auch schon seine 100 000 km auf dem Buckel.', 'Er hatte bereits über 200 Bundesligaspiele auf dem Buckel.']"
"['etwas auf dem Buckel haben', 'etwas auf dem Rücken haben']",etwas auf dem Buckel/Rücken haben,mit etwas belastet sein,"['Mit drei Vorstrafen auf dem Buckel musst du froh sein, wenn du überhaupt noch eine Stelle bekommst. Sie haben mehr Schulden auf dem Buckel als Haare auf dem Kopf.']"
"['jemanden buckelkraxen tragen', 'jemanden buckelkraxen nehmen']",jemanden buckelkraxen tragen/nehmen,jemanden auf dem Rücken tragen/auf den Rücken nehmen und so tragen,['Peterle zerrt Hannes am Ärmel: Trag mich buckelkraxen']
"['jemandem die Bude einlaufen', 'jemandem die Bude einrennen']",jemandem die Bude einlaufen/einrennen,jemanden immer wieder mit demselben Anliegen aufsuchen,"['Seit Jahren rennt er uns mit seinen Verbesserungsvorschlägen die Bude ein.', 'Das fand ich doch verdrießlich. Mir erst die Bude einzulaufen, und mich dann zu versetzen!']"
"['jemandem die Bude einlaufen', 'jemandem die Bude einrennen']",jemandem die Bude einlaufen/einrennen,(von Käufern ) auf jemandes Angebot mit großem Zulauf reagieren,"['Normalerweise freut sich ein Händler, wenn die Kunden ihm die Bude einrennen.']"
"['etwas über die Bühne bringen', 'etwas über die Bühne kriegen']",etwas über die Bühne bringen/kriegen,etwas durchführen,"['Falls der Bundesrat keine Einwände geltend macht, muss dieser Volksentscheid bis spätestens 30. Juni nächsten Jahres über die Bühne gebracht werden.']"
"['von der Bühne abtreten; die Bühne verlassen', 'von der Bühne verschwinden; die Bühne verlassen']",von der Bühne abtreten/verschwinden; die Bühne verlassen,aus dem Blickpunkt der Öffentlichkeit verschwinden,"['Er war seinerzeit mit einem Eklat von der politischen Bühne abgetreten. Die legendären Chicagoer Gangster hatten die Bühne längst verlassen, als ein kleiner sizilianischer Einwanderer im Rauschgifthandel von sich reden machte.']"
"['mit jemandem im Bunde sein', 'mit jemandem im Bunde stehen']",mit jemandem im Bunde sein/stehen,mit jemandem verbündet sein,"['Du stehst mit dem Teufel im Bunde, du alte Hexe!', 'Es stellte sich heraus, dass der Besitzer der Luxusjacht im Bunde stand mit ein paar ziemlich miesen Typen', 'Vielleicht stand sie auch im Bunde mit einem der Polizisten, dem Führer der Razzien']"
"['sein Bündel packen', 'sein Bündel schnüren']",sein Bündel packen/schnüren,sich zur Abreise fertig machen,"['Es wird langsam Zeit, dass wir unser Bündel packen.']"
"['sein Bündel packen', 'sein Bündel schnüren']",sein Bündel packen/schnüren,seinen Arbeitsplatz aufgeben,"['Wenn es dir in der Firma nicht gefällt, kannst du ja jederzeit dein Bündel schnüren und gehen.']"
"['hier werden abends die Bürgersteige hochgeklappt', 'da werden abends die Bürgersteige hochgeklappt']",hier/da werden abends die Bürgersteige hochgeklappt,"hier/da gibt es abends keine Möglichkeiten mehr, sich zu vergnügen","['Abends werden in unserem Provinznest die Bürgersteige hochgeklappt, nach neun Uhr ist nichts mehr los.']"
"['jemandem fällt fast die Butter vom Brot', 'jemandem ist die Butter vom Brot gefallen']",jemandem fällt fast die Butter vom Brot/ist die Butter vom Brot gefallen,"jemand ist enttäuscht, entsetzt","['Uns fiel fast die Butter vom Brot, als wir den Preis hörten. Was ist denn mit dir los, ist dir die Butter vom Brot gefallen?']"
"['Butter an die Fische!', 'Butter bei die Fische!']",Butter an/bei die Fische!,keine halben Sachen!,"['Jetzt mal Butter bei die Fische und den vollen Kaufpreis auf den Tisch gelegt!', 'Pipa warnte den Verband im Übrigen davor, erneut mit vagen Ankündigungen zu operieren. Jetzt müsse Butter bei die Fische, meinte er.']"
"['sich nicht die Butter vom Brot nehmen lassen', 'sich nicht die Butter vom Toast nehmen lassen']",sich nicht die Butter vom Brot/Toast nehmen lassen,"sich nichts gefallen lassen, sich nicht benachteiligen lassen","['Um ihn brauchst du dir keine Sorgen zu machen. Der lässt sich schon nicht die Butter vom Toast nehmen.', 'Wir müssen aufpassen, dass man uns nicht die Butter vom Brot nimmt.']"
"['Butter auf dem Kopf haben', 'Butter am Kopf haben']",Butter auf dem/am Kopf haben,ein schlechtes Gewissen haben,"['es können doch nicht alle Belastungszeugen Butter auf dem Kopf haben. Man kann sie doch nicht alle erpressen!', 'Ein hoch oben angesiedeltes Interessengeflecht ist an der vollen Aufklärung des Verbrechens nicht interessiert, weil alle Butter auf dem Kopf haben']"
"['jemandem etwas aufs Butterbrot schmieren', 'jemandem etwas aufs Butterbrot streichen']",jemandem etwas aufs Butterbrot schmieren/streichen,"jemandem etwas als Vorwurf überdeutlich sagen, immer wieder vorhalten","['Du brauchst mir nicht dauernd aufs Butterbrot zu schmieren, dass ich dir damals nicht geholfen habe.', 'Der einzige Mensch, der mir das nicht dauernd aufs Butterbrot schmiert, ist Amelia selbst.']"
"['für ein Butterbrot', 'um ein Butterbrot']",für/um ein Butterbrot,"für so gut wie nichts, für einen lächerlichen Preis","['Auf dem Fischkutter hatte er monatelang für ein Butterbrot gearbeitet. Amerikanische Touristen kaufen Barockmöbel für ein Butterbrot, ein echter Dürer ist für zwei Flaschen Whisky zu haben.']"
