Redewendung,Bedeutung,Beispiel
brüllen wie am Spieß,sehr laut und anhaltend schreien,['Der kleine Junge brüllte wie am Spieß und wollte zu seiner Mutti.']
brüllen wie ein Stier,(meist von Männern gesagt) lauthals schreien,"['Der Spieß brüllte wie ein Stier, als er merkte, dass man ihn im Vorratsraum eingesperrt hatte.']"
zum Brüllen sein,"sehr komisch, überaus lustig sein, zum Lachen reizen","['Es war zum Brüllen, als er in einer Panto- mime Ellas erste Versuche auf Roller- skates zum Besten gab.']"
"gut gebrüllt, Löwe!","das ist treffend kom- mentiert, schlagfertig bemerkt","['Jörg grinste, stieß Karin heimlich an und flüs- terte Gut gebrüllt, Löwe (Kranz, Märchenhochzeit 9).']"
das Kind ist in den Brunnen ge- fallen,etw. bei rechtzeitiger Vorsorge Ver- meidbares ist passiert,"['Es gibt viele Dinge, bei denen die Polizei erst tätig werden kann, wenn das Kind in den Brunnen gefallen ist (Tagesspiegel 2. 1. 2001, 10). Erst werde man als Versuchs- kaninchen benutzt, und dann, wenn das Kind in den Brunnen gefallen sei, dann erst würden die Grenzwerte herunter- gesetzt (taz 27. 3. 2001, 22). Wir haben das Geld in guten Zeiten zum Fenster hi- nausgeworfen. Nun ist das Kind in den Brunnen gefallen und wir müssen die Suppe gemeinsam auslöffeln (Zeit 12. 7. 1996, 1). Krug.']"
Brust an Brust,einander in gerings- tem Abstand direkt gegenüber,"['Sie kämpf- ten Brust an Brust. als habe ein Riese sich ihr entgegengeworfen und ihr Brust an Brust Einhalt geboten (Lang- gässer, Siegel 279).']"
sich an die Brust schlagen,"Reue empfinden, sich Vorwürfe machen","['Jetzt, wo sie ihn zugrunde gerichtet hatte, schlug sie sich an die Brust.']"
sich etw. an die Brust heften,das Verdienst an etw. für sich bean- spruchen,"['Wir haben uns nicht wochen- lang abgestrampelt, damit der Alte sich den Erfolg allein an die Brust heftet!']"
schwach auf der Brust sein,1. an- fällige Atmungsorgane haben,['Seine Frau war schwach auf der Brust und kränkelte oft.']
schwach auf der Brust sein,2. wenig Geld haben,['Kannst du mir mal 50 Euro pumpen? Ich bin ein biss- chen schwach auf der Brust.']
schwach auf der Brust sein,"3. über wenig Kraft, Können o. Ä. verfügen","['Da zeigt sich’s, ob einer was kann oder ob er schwach auf der Brust ist (Kreuder, Ge- sellschaft 24).']"
es auf der Brust haben,"an den Bronchien erkrankt, lungenkrank sein","['Sie sah elend aus und hustete viel, hatte es offensichtlich auf der Brust.']"
sich in die Brust werfen,"sich brüs- ten, prahlen","['Aber ehrlich war ich mein Lebtag, wirft sich Soubirous in die Brust, und hab immer mehr gegeben als bekommen (Werfel, Bernadette 113).']"
mit breiter Brust,sehr selbstbewusst,"['Sie kommen auf den Rasen und lassen es mit breiter Brust alle spüren Wir sind un- schlagbar (NZZ 25. 5. 2003, 33).']"
mit geschwellter Brust,voll Stolz,['Mit ge- schwellter Brust gab der junge Vater eine Lokalrunde nach der anderen aus. Sie trug ihr Schulzeugnis mit geschwellter Brust nach Hause.']
etw. vor der Brust haben,"etw. Schwieriges, Unangenehmes o. Ä. vor sich haben, bewältigen müssen","['Die Mannschaft hat noch drei Auswärtsspiele vor der Brust.', 'Der Finaleinzug ist eine Momentaufnahme, da wir den höchsten Berg, den wir erklimmen wollen, erst noch vor der Brust haben (MM 13. 4. 2012, 12).']"
"jmdn., etw. zur Brust neh- men","sich mit jmdm., etw. energisch  auseinandersetzen","['Mit so ei- nem Zeugnis kommt der Bengel bei mir nicht durch, den werd ich mir mal zur Brust nehmen. Die Opposition hatte sich den Referentenentwurf tüchtig zur Brust genommen.', 'Er hat sich die Eliteein- heiten der französischen Armee zur Brust genommen (ran 2, 1980, 16).']"
einen zur Brust nehmen,etw. Alko- holisches trinken,"['Die beiden wankenden Männer hatten offensichtlich ordentlich einen zur Brust genommen.', 'Eine Gruppe von Schauerleuten hatte nur rasch im Stehen eine Runde zur Brust genommen (Erne´, Kellerkneipe 67).']"
im Brustton der berzeugung,mit voller berzeugung,"['Er erklärte dem Polizisten im Brustton der \x05berzeugung, dass ihm der Wagen gehöre.', 'Im Brust- ton der \x05berzeugung bringt er Gründe vor, die aber einer Selbsttäuschung ent- springen (Ruthe, Partnerwahl 37). Der Stoff ist gesünder als Alkohol und Ziga- retten, erklären sie im Brustton der \x05berzeugung und werden dabei von ernst zu nehmenden Wissenschaftlern unter- stützt (MM 7. 8. 1970, 3).']"
"auch du, mein  Brutus?","also auch du verrätst mich, lässt mich im Stich?",nan
das Buch der Bücher,die Bibel,['Des Abends las man andachtsvoll im Buch der Bücher.']
das Goldene Buch,das Gästebuch einer Stadt,['Der Popstar durfte sich in das Gol- dene Buch Stuttgarts eintragen.']
ein aufgeschlagenes/offenes Buch für jmdn. sein,jmdm. ganz vertraut und bis in die innersten Regungen bekannt sein,"['Nach vierundzwanzig Ehejahren war ihr Mann für sie wie ein aufgeschlagenes Buch. Du kannst mir nichts verheimli- chen, du bist ein offenes Buch für mich.']"
jmdm./für jmdn. ein Buch mit sieben Sie- geln sein,"für jmdn. nicht durchschaubar, unverständlich sein, ein Geheimnis blei- ben","['Die moderne Malerei ist mir ein Buch mit sieben Siegeln. Dieses Stück ist und bleibt für mich ein Buch mit sieben Siegeln.', 'Sie werden eine Welt entde- cken, die für die meisten Städter ein Buch mit sieben Siegeln ist (Spiegel 18, 1966, 59).']"
das Buch zumachen/zuklappen/zuschla- gen,"mit einer Sache abschlie- ßen, seinen Frieden machen ; eine Sache beenden","['Man möchte das Buch zuklappen und endlich ein neues Lebenskapitel beginnen!', 'Im Extremfall, also wenn beim Schuldner nichts mehr geht, sagen wir auch, dass wir das Buch zumachen und nicht mehr weiter beitreiben (Handelsblatt 7. 3. 2005, 25).']"
über etw. Buch führen,"über etw. genaue, regelmäßige Aufzeichnungen machen","['Viele Verbände führen Buch über die Stellungnahme einzelner Abgeordneter bei den Abstimmungen (Dönhoff, Ära 36). Gewitzt durch ihre Erfahrungen, führte sie Buch über die Männer, mit denen sie zusammen war (Feuchtwanger, Erfolg 630).']"
"wie jmd., etw. im Buche steht/ wie es im Büchlein/ Büchl steht","wie jmd., etw., es als Musterbeispiel gelten kann","['Sie ist eine Lehrerin, wie sie im Buche steht.', 'Du bist wirklich ein Idiot, wie er im Buche steht (Hein, Landnahme 195). Der Ver- weigerer und der Unterwanderer. Wie’s im Büchlein steht (Morf, Katzen 86).']"
sich mit etw. ins Buch der Geschichte eintragen,sich mit etw. unsterbli- chen Ruhm erwerben,"['Der Fürst war einer der wenigen, die sich mit einem nicht ge- führten Krieg ins Buch der Geschichte eingetragen haben.']"
über die Bücher gehen,die Lage überdenken,"['Brigitte Örtli belegte den 11. Schlussrang und wird nach dieser Saison wohl endgültig einmal über die Bücher gehen müssen (NZZ 6. 2. 1987, 53).']"
mit etw. zu Buche stehen,etw. noch bezahlen müssen,['Ihre Firma steht inzwischen mit rund fünfzigtausend bei uns zu Buche.']
zu Buch schlagen,1. sich im Etat nie- derschlagen,"['Belastet sei das Ergebnis erstmals durch die neu eingeführten Mautgebühren, die mit drei Millionen Euro zu Buche schlugen (SZ 10. 8. 2005, 21). Beim Kauf eines Grundstücks schla- gen die Nebenkosten erheblich zu Buch (MM 4./5. 3. 1967, 41).']"
zu Buch schlagen,2. bei etw. ins Ge- wicht fallen,['Die Proteste aus aller Welt sind schließlich doch zu Buche geschla- gen.']
die Büchse der Pandora,etw. Unheilbringendes,['Würde die Entdeckung der Kernspaltung zur Büchse der Pandora für die Menschheit werden?']
am Buchstaben kleben; sich an den Buchstaben klammern,"etw. überge- nau, allzu wörtlich interpretieren","['Wir wollen uns nicht an den Buchstaben klammern, aber der Vertrag regelt die Kostenverteilung ganz eindeutig.']"
sich auf seine vier Buchstaben setzen,sich hinsetzen,"['Nun setz dich schon auf deine vier Buchstaben, da- mit wir endlich anfangen können! Wenn es abends draußen sogar für todes- mutige Rotznasen zu kalt und zu dunkel war, saßen wir still in der warmen Stube auf unseren vier Buchstaben (Wilhelm, Unter 19).']"
etw. bis auf den letzten Buchstaben er- füllen,"etw. voll und ganz, ohne Ein- schränkung erfüllen","['In dieser Branche gilt es als selbstverständlich, dass ge- schäftliche Vereinbarungen bis auf den letzten Buchstaben zu erfüllen sind.']"
nach dem Buchstaben des Gesetzes,wie das Gesetz es vorschreibt,['Nach dem Buchstaben des Gesetzes bin ich zu gar nichts verpflichtet.']
jmdm./jmdn. juckt der Buckel,jmd. fordert durch sein Benehmen eine Tracht Prügel heraus,"['Den Kerl juckt heut der Buckel, so frech war der schon lange nicht mehr!']"
sich den Buckel freihalten,sich in einer bestimmten Angelegenheit absichern,"['Er hätte sich auf ein so riskan- tes Geschäft nie eingelassen, ohne sich fi- nanziell den Buckel freizuhalten.']"
den Buckel hinhalten,die Verant- wortung für etw. auf sich nehmen,"['Na, da werde ich wohl wieder den Buckel hinhal- ten müssen. Der Architekt muss den Bu- ckel hinhalten, wenn es Krach mit dem Bauherrn gibt.']"
einen breiten Buckel/Rücken haben,"sich durch Kritik, Anfeindungen o. Ä. nicht aus dem inneren Gleichgewicht bringen lassen","['Der Chef kann ruhig auf mir herumhacken. Das stört mich nicht, ich habe einen breiten Buckel.']"
einen krummen Buckel machen; den Buckel krumm machen,unter- würfig sein,"['Er war ein schleimiger Typ, der vor jedem Vorgesetzten einen krum- men Buckel machte.', 'Keiner war durch diese Zeit hindurchgekommen , ohne den Buckel krumm zu machen (Loest, Pistole 137).']"
den Buckel voll Schulden haben,sehr verschuldet sein,"['Wenn man schon den Buckel voll Schulden hat, sollte man nicht noch ein Kind nach dem anderen in die Welt setzen.']"
rutsch mir den Buckel runter!,behellige mich nicht weiter !,"['Ach, rutsch mir doch den Buckel runter mit deinen Weibergeschichten. Sag ihm, er kann mir den Buckel herunterrut- schen!', 'Rutscht mir doch den Buckel runter, allesamt! (Fallada, Mann 67).']"
jmdm. den Buckel raufsteigen können/ sollen,"von jmdm. einfach nicht mehr beachtet werden, jmdn. nicht länger belästigen sollen","['Ich will nicht mehr mit ihm darüber verhandeln, der soll mir den Buckel raufsteigen.', 'Einmal hörte Jo- seph den Melker sagen, das Vaterländli könne ihm in seiner ganzen Größe, wenn es wolle, den Buckel hinaufsteigen (R. Walser, Gehülfe 131).']"
etw. auf dem Buckel/Rücken haben,"1. etw. hinter sich gebracht, erlebt haben","['Der Wagen hat jetzt auch schon seine 100 000 km auf dem Buckel.', 'Er hatte bereits über 200 Bundesligaspiele auf dem Buckel (Kicker 82, 1981, 15).']"
etw. auf dem Buckel/Rücken haben,2. mit etw. belastet sein,"['Mit drei Vorstra- fen auf dem Buckel musst du froh sein, wenn du überhaupt noch eine Stelle be- kommst. Sie haben mehr Schulden auf dem Buckel als Haare auf dem Kopf.']"
genug auf dem Buckel haben,be- reits ein ausreichendes Maß an Aufgaben zu erledigen haben,"['Die Stationsärzte können die Auswertung nicht überneh- men, die haben genug auf dem Buckel.']"
jmdn. buckelkraxen tragen/ nehmen,jmdn. auf dem Rü- cken tragen/auf den Rücken nehmen und so tragen,"['Peterle (zerrt Hannes am Är- mel) Trag mich buckelkraxen (Schön- herr, Erde 19).']"
eine sturmfreie Bude,"ein Zim- mer, eine Wohnung o. Ä. ohne berwa- chung durch Eltern, Vermieter o. Ä.","['Als ich studierte, war es nicht so einfach, eine bezahlbare sturmfreie Bude zu bekom- men.', 'Aber Sonnabendmittag fuhren sie immer zu ihren Kindern und ich hatte sturmfreie Bude (Kirsch, Panther- frau 75).']"
jmdm. fällt die Bude auf den Kopf,jmd. hält es in seiner Wohnung nicht mehr aus,"['Seit zehn Tagen regnet es, und wir können nicht raus – allmählich fällt uns die Bude auf den Kopf!']"
jmdm. die Bude einlaufen/einrennen,1. jmdn. immer wieder mit demsel- ben Anliegen aufsuchen,"['Seit Jahren rennt er uns mit seinen Verbesserungsvorschlä- gen die Bude ein.', 'Das fand ich doch verdrießlich. Mir erst die Bude einzulau- fen, und mich dann zu versetzen! (K. Mann, Wendepunkt 241).']"
jmdm. die Bude einlaufen/einrennen,2. (von Käu- fern o. Ä.) auf jmds. Angebot mit großem Zulauf reagieren,"['Normalerweise freut sich ein Händler, wenn die Kunden ihm die Bude einrennen (Leipziger Volkszei- tung 19. 12. 2015).']"
die Bude auf den Kopf stellen,aus- gelassen feiern,['Nach bestandenem Examen hat sie mit ein paar Freunden die Bude auf den Kopf gestellt.']
eine Bude machen,ein Tor schießen,"['Aber der braucht halt im- mer zwei bis drei Versuche, um ’ne Bude zu machen, und deshalb ging sein Kopf- ball knapp daneben (www.blutgraetsche. de, 31. 3. 2004). Die EM hat nicht so gut begonnen für mich, jetzt habe ich endlich gespielt, eine Bude gemacht, die Mann- schaft steht im Halbfinale – es gibt fast nix Schöneres! (www.zeit.de, 23. 6. 2012).']"
jmdm. auf die Bude rücken,"1. jmdn., mit dem man etwas zu bereini- gen hat, aufsuchen","['Wenn wir die Miete nicht bald zahlen, rückt uns der Hausbe- sitzer auf die Bude.']"
jmdm. auf die Bude rücken,2. jmdn. unaufgefor- dert besuchen,"['Unmöglich kann ich ihm auf die Bude rücken und mich dazu in verbotenen Glanz kleiden (Zweig, Gri- scha 144).']"
jmdm. hat es in die Bude geschneit,jmd. hat Unannehmlichkeiten,"['Ich glaube, deiner Schwester hat es in die Bude geschneit, sie war ziemlich schlecht drauf heute früh. Leben.']"
unter der Budel,(in Be- zug auf bestimmte knappe oder verbotene Waren) nicht offen angeboten,"['Nachdem in vielen Provinz-Tankstellen Blaulichter unter der Budel verkauft werden (auto touring 8, 1995).']"
jmdm. eine vor den Bug knallen,jmdm.  einen Schlag versetzen oder ihn mit Worten einschüch- tern,"['Als er frech werden wollte, habe ich ihm gleich eine vor den Bug geknallt. Weil die junge Kollegin sehr ehrgeizig war, überlegten sie, wie sie ihr eine vor den Bug knallen könnten. Schuss.']"
Buhei machen,großes Aufhe- ben von etw. machen,"['Mensch, macht der ein Buhei wegen des kleinen Kratzers an seinem Wagen.', 'Ich weiß überhaupt nicht, was man wegen dem bisschen Maulkorb für ein Buhei macht. Morgens der erste Schutzmann hätte ihn gleich herunterholen sollen (Spoerl, Maulkorb 77).']"
etw. über die Bühne bringen/krie- gen,etw.  durchführen,"['Falls der Bundesrat keine Einwände gel- tend macht, muss dieser Volksentscheid bis spätestens 30. Juni nächsten Jahres über die Bühne gebracht werden (MM 8. 7. 1969, 5).']"
über die Bühne gehen,"in einer be- stimmten Weise verlaufen, vor sich gehen","['Die turbulente Prunksitzung der Mään- zer Fassenacht geht voluminös wie eh und je über die Bühne (Hörzu 8, 1973, 85). Die Verhandlung bei meiner Verwal- tungsrechtssache ging ohne meinen An- walt über die Bühne, weil er einfach nicht erschien (DM 34, 1965, 49).']"
von der Bühne abtreten/verschwinden; die Bühne verlassen,aus dem Blickpunkt der Öffentlichkeit verschwinden,"['Er war seinerzeit mit einem Eklat von der politi- schen Bühne abgetreten. Die legendären Chicagoer Gangster hatten die Bühne längst verlassen, als ein kleiner siziliani- scher Einwanderer im Rauschgifthandel von sich reden machte.']"
von der Bühne  abtreten,sterben,"[' mit ihren eige- nen Plänen scheiternd, von Fremden be- trogen, treten sie oft genug von der Bühne ab (Dönhoff, Ära 8). Heu.']"
ran an die Buletten!,"Aufforde- rung, Ermunterung zum Handeln","['So, noch ein Schluck Bier, und dann immer ran an die Buletten!', 'Mensch, Lau- mann, hau ab und nix wie ran an die Bu- letten! (Borell, Lockruf 258). rangehen.']"
den Bund der Ehe eingehen,heiraten,"['Wer sich ent- schließt, den Bund der Ehe einzugehen, sucht oft nach dem perfekten Datum (Freie Presse 7. 1. 2020, 1).']"
den Bund fürs Leben schließen,heiraten,"['Es gibt Paare um die 60, die schon eine Ehe hinter sich haben und noch einmal den Bund fürs Leben schließen wollen (MM 1. 4. 2019, 28).']"
mit jmdm. im Bunde sein/stehen,mit jmdm. verbündet sein,"['Du stehst mit dem Teufel im Bunde, du alte Hexe!', 'Es stellte sich heraus, dass der Besitzer der Luxusjacht im Bunde stand mit ein paar ziemlich miesen Typen (H. Weber, Einzug 266). Vielleicht stand sie auch im Bunde mit einem der Polizisten, dem Führer der Razzien (Seghers, Transit 76). Dritte, Hand.']"
sein Bündel packen/schnüren,1. sich zur Abreise fertig machen,"['Es wird langsam Zeit, dass wir unser Bündel packen.']"
sein Bündel packen/schnüren,2. seinen Arbeitsplatz auf- geben,"['Wenn es dir in der Firma nicht ge- fällt, kannst du ja jederzeit dein Bündel schnüren und gehen.']"
jeder hat sein Bündel zu tragen,jeder hat seine Sorgen,"['Ob’s nun die Sorge um die Gesundheit, die kaputte Ehe oder der verlorene Arbeitsplatz ist Jeder hat sein Bündel zu tragen. Bleibt zu wünschen, dass sein Rücken stark genug ist.']"
jmdm. wird es zu bunt,jmds. Geduld ist zu Ende,"['Zum Schluss wurde es den Zuhörern zu bunt und sie pfiffen den Redner aus.', 'Plötzlich wurde das dem Warzenschwein zu bunt, es drehte sich um und ging auf den Elefanten los (Grzi- mek, Serengeti 90).']"
es zu bunt treiben,über das erträg- liche Maß hinausgehen,"['Wenn ihr es zu bunt treibt, werf ich euch alle miteinan- der raus.', 'Eines Nachts nun trieb es Wirsich doch zu bunt. Er kam tobend nach Hause und begehrte Einlass (R. Wal- ser, Gehülfe 23). Abend, bekannt, Reihe, Teller.']"
Bürger in Uniform,"Bundeswehrsol- dat, der seine soldatischen Pflichten aus den staatsbürgerlichen Rechten ableitet","['Wer nur unter Zwang den Wehrdienst ab- leistet – kann der sich als Bürger in Uni- form fühlen?', 'Generalleutnant Bau- dissin gilt als der geistige Vater des Leit- bildes vom Bürger in Uniform (MM 1.3. 1967, 2). Der Bürger in Uniform leidet unter Frustrationen (Basler Zeitung 27. 8. 1980, 5).']"
hier/da werden abends die Bürgersteige hochgeklappt,"hier/da gibt es abends keine Möglichkei- ten mehr, sich zu vergnügen","['Abends wer- den in unserem Provinznest die Bürger- steige hochgeklappt, nach neun Uhr ist nichts mehr los.']"
kein Büro aufmachen,"keine großen Umstände, die Dinge nicht unnötig kompliziert machen","['Wegen der fünf Franken, die er dir noch schul- det, würde ich kein Büro aufmachen.']"
wie ein Bürstenbinder,(in Bezug auf ein bestimmtes Tun) in hohem Maße,"['Das hättest du hören müssen, geflucht hat der wie ein Bürsten- binder.', 'Der exzessive Raucher (80 Zi- garetten pro Tag) soll selbst im Laden ge- qualmt haben wie ein Bürstenbinder (NZZ 13. 7. 2003, 15).']"
auf den Busch klopfen,etw. durch geschicktes Fragen zu er- fahren suchen,"['Kannst du nicht mal bei ihm auf den Busch klopfen, ob er uns bei dem Plan hilft?', 'Er spielte den Allwis- senden und klopfte doch nur auf den Busch (Zwerenz, Quadriga 25).']"
mit etw. hinter dem Busch halten,mit ei- ner Äußerung zurückhalten,"['Der Staats- anwalt hatte den Eindruck, dass die Ver- teidigung mit irgendetwas hinter dem Busch hielt. Sie wollte mit ihrer Meinung nicht länger hinter dem Busch halten.']"
etwas ist im Busch,im Verborge- nen bereitet sich etwas vor,"['Nun geschah das allerdings , als er schon eindeutig wusste, dass da was im Busche war (Zwe- renz, Quadriga 220). Wenn ich anrücke, weiß natürlich jeder, was im Busch ist (Hörzu 21, 1973, 30).']"
sich  in die Büsche schlagen,heimlich verschwinden,"['Die Ge- schwister hatten sich klammheim- lich in die Büsche geschlagen und waren sodann spurlos verschwunden (MM 11. 4. 1974, 15). Er glaubte offenbar, er könne den Polizeibeamten, der keine Waffen bei sich haben durfte, als Geisel benutzen und sich dann irgendwo in die Büsche schlagen (MM 3. 11. 1969, 3).']"
am Busen der Natur,"in der Natur, im Freien","['Damals brauchte man noch keine Luxushotels, da wurde am Busen der Natur geschlafen. Schlange.']"
Buße tun,seine Verfeh- lungen mit Bußübungen sühnen,"['Tuet Buße, meine Brüder, und lasset ab von Müßiggang und Völlerei! Wir haben den Zorn des Herrn auf uns herabbeschwo- ren, wir wollen Buße tun und seine Verge- bung erflehen.']"
in die Bütt steigen,"öffentlich für etwas eintreten, sich engagiert vor Pu- blikum äußern","['Ich wollte die Kollegen politisch aufrütteln und bin bei Betriebs- versammlungen immer in die Bütt gestie- gen (Spiegel 4, 2000, 196–198). Einen ehr- lichen, handfesten Schwulen hatten sie sich gewünscht, der auch mal in die Bütt steigt für sie und was riskiert dabei (taz 14. 1. 2011, 20).']"
jmdm. fällt fast die Butter vom Brot/ist die Butter vom Brot gefallen,"jmd. ist enttäuscht, entsetzt","['Uns fiel fast die Butter vom Brot, als wir den Preis hörten. Was ist denn mit dir los, ist dir die Butter vom Brot gefallen?']"
Butter an/bei die Fische!,keine halben Sachen!,"['Jetzt mal Butter bei die Fische und den vollen Kaufpreis auf den Tisch gelegt!', 'Pipa warnte den Verband im \x05brigen davor, erneut mit vagen Ankün- digungen zu operieren. Jetzt müsse But- ter bei die Fische, meinte er (FR 18. 12. 1996, 1).']"
sich nicht die Butter vom Brot/ Toast nehmen lassen,"sich nichts gefallen lassen, sich nicht benachteiligen lassen","['Um ihn brauchst du dir keine Sor- gen zu machen. Der lässt sich schon nicht die Butter vom Toast nehmen.', 'Wir müssen aufpassen, dass man uns nicht die Butter vom Brot nimmt (Spiegel 4, 1966, 58).']"
Butter auf dem/ am Kopf haben,ein schlechtes Gewissen ha- ben,"[' es können doch nicht alle Belas- tungszeugen Butter auf dem Kopf ha- ben. Man kann sie doch nicht alle erpres- sen! (Quick 32, 1958, 37). Ein hoch oben angesiedeltes Interessengeflecht ist an der vollen Aufklärung des Verbrechens nicht interessiert, weil alle Butter auf dem Kopf haben (Presse 11. 10. 1997).']"
jmdm. nicht die Butter auf dem Brot gönnen,jmdm. gegenüber äußerst missgünstig sein,"['Von Geschwisterliebe kann bei denen keine Rede sein, die gön- nen einander nicht die Butter auf dem Brot.']"
es ist alles in  Butter,es ist alles in Ordnung,"['Es schien alles in Butter zu sein, denn der Schieds- richter pfiff das Spiel wieder an. So!, sagte der Kommissar Rusch und sah sich um. Alles in bester Butter! (Fallada, Je- der 99).']"
jmdm. etw. aufs Butterbrot schmieren/streichen,"jmdm. etw. als Vorwurf überdeutlich sagen, immer wie- der vorhalten","['Du brauchst mir nicht dau- ernd aufs Butterbrot zu schmieren, dass ich dir damals nicht geholfen habe.', 'Der einzige Mensch, der mir das nicht dau- ernd aufs Butterbrot schmiert, ist Amelia selbst (Ruark [\x05bers.], Honigsauger 379).']"
für/ um ein Butterbrot,"für so gut wie nichts, für einen lächerlichen Preis","['Auf dem Fischkutter hatte er mo- natelang für ein Butterbrot gearbeitet. Amerikanische Touristen kaufen Barock- möbel für ein Butterbrot, ein echter Dü- rer ist für zwei Flaschen Whisky zu haben (K. Mann, Wendepunkt 112).']"
mit Butz und Stingel,"vollständig, ganz und gar, bis zum letzten Rest","['Die Z-Leute haben damals alles, was die alte Länderbank ausgemacht hat, mit Butz und Stingel ausgerottet (Profil 24. 5. 1993).']"
auf etw. keinen Cent geben,ei- ner Sache keinerlei Wert beimessen,"['Ich gebe keinen Cent auf Theorie und Strate- gie. Ich bin ein Mensch der Tat (www. justbusiness.de, 31. 7. 2007). Pfennig.']"
einen Charlottenburger machen,sich die Nase zwischen Daumen und Zeigefinger ohne Taschentuch schneuzen,"['Der Bierkutscher machte einen geräuschvollen Charlotten- burger, und die Damen wandten sich an- gewidert ab.']"
Chef im Ring sein,"1. den Kampf bestimmen, den Gegner souverän beherrschen","['Der Weltmeister war von Anfang bis Ende und mit zunehmender Kampfdauer immer mehr Chef im Ring (www.berlinonline.de, 16. 10. 1995). Mag- deburgs Matthias Scherfling war klar Chef im Ring, setzte immer wieder die besseren Treffer .']"
Chef im Ring sein,"2. die maßgebliche Rolle spielen, den Ton angeben","['Wer ist denn nun Chef im Ring, sprich bester Bonsaigestalter (www.bonsai org). Der neue Chef im Ring. Leicht, noch schneller, noch belastbarer – und trotzdem so perfekt ausgewogen, wie es nur eine CBR 600F sein kann (www.honda-semmler de).']"
die Chemie stimmt,"es herrscht Harmonie, man kommt gut mitei- nander aus","['Da die Chemie zwischen Momper und Diepgen schon seit der Stu- dentenbewegung in den 60er-Jahren nicht stimmt (Rheinpfalz 4.12. 1990, 3). Rot-grüne Bündnisse Erfolge dort, wo die Chemie stimmt (FR 12. 2. 1997, 23).']"
ob/wenn in China ein Fahrrad/Sack Reis umfällt; ob/wenn in Peking ein Fahrrad/Sack Reis umfällt,ob/wenn etw.  völlig Unwesentliches ge- schieht,"['Wenn mein Mann schon wieder eine neue Freundin hat, dann interessiert mich das heute nicht mehr, als ob in China ein Sack Reis umfällt!', 'Ob in Pa- ris die Metro oder in Toronto der Bus pünktlicher fährt, ist dem IOC am Ende so wichtig, wie wenn in Peking ein Fahr- rad umfällt (SZ 14. 7. 2001, 2). Kaiser.']"
nicht alle auf dem Christbaum haben,nicht richtig bei Verstand sein,"['Manchmal glaube ich, du hast sie nicht mehr alle auf dem Christbaum.']"
einen Clown/Kasper gefrühstückt haben,albern sein; besonders witzig sein wollen,"['Was ist mit dir denn los? Hast du einen Clown gefrüh- stückt?', 'Aber der Mann, der da in der Münchner Galerie herumwieselt, scheint heute Morgen einen Clown ge- frühstückt zu haben (SZ 19. 7. 2003, 52). Wir lachten. Du hast wohl einen Kasper gefrühstückt, meinte Laura, und wir mussten noch mehr lachen (Hülswitt; Ich kann dir eine Wunde schminken 33).']"
und Co/Co.,"und die hier sonst noch zu Nennenden, das sonst noch zu Nennende","['Der Traum der Menschheit, wie Captain Kirk, Spock und Co. im Raumschiff durchs Weltall zu reisen, soll in Zukunft für jedermann wahr werden – vorausgesetzt, man bringt das nötige Kleingeld mit! (Bravo 43, 2000, 70). wie der ökologische Landbau gefördert wer- den kann oder auf welchem Weg Bauern, die sich auch der Vielfalt von Hase, Igel und Konsorten widmen, unterstützt werden können (taz 5. 10. 2001, 22). ein Spätwerk der Dogma-Bewegung, mit der Lars von Trier und Konsorten Mitte der neunziger Jahre gegen die zunehmende Wirklichkeitsvergessenheit des Kinos an- traten (SZ 20. 4. 2010, 11).']"
einen Coup landen,"ein meist kriminelles, kühn angelegtes Unter- nehmen erfolgreich durchführen","['Seinen 30. Coup landete der Fassadenkletterer, obwohl die gesamte Baden-Badener Kri- minalpolizei auf den Beinen war (MM 10./11. 9. 1966, 10). einer der größten Coups, den Gangster seit Jahren in den Staaten gelandet hatten, sollte auf einmal ein Ende gefunden haben? (Cotton, Sil- ver-Jet 169).']"
einen Cut machen,"etw. abschließen, beenden","['Sie selbst schwankt zwischen beiden Möglichkeiten. Aber wir müssen einen Cut machen, sonst hört das für uns nie auf (SZ 4. 2. 2017, 11). Vgl. die Wendung [s]einen Schnitt ma- chen ( Schnitt).']"
da und da,"an einen, an einem oder von einem bestimmten Ort","['Der Ver- dächtige wurde observiert und jeder sei- ner Schritte über Funk durchgegeben Er käme gerade da und da her, überquerte jetzt da und da die Straße und begäbe sich nun in beschleunigtem Schritt da und da hin.']"
da haben wir’s!/da hast du’s!,"nun ist das eingetreten, was zu befürchten war!",['Da haben wir’s! Nun hat er mit der Konkurrenz abgeschlossen. Da hast du’s! Versetzung fraglich! Alles nur wegen deiner Faulheit.']
da und dort,"1. an einigen Orten, an man- chen Stellen",['Da und dort blühten schon die ersten Krokusse.']
da und dort,"2. manchmal, hin und wieder",['Da und dort wurde ihr klei- nes Boot von Möwen begleitet. aufhören.']
dabei sein/ Dabeisein ist alles,"1. wer den Sieg, die Vorherrschaft nicht er- ringen kann, muss sich mit der Teilnahme zufriedengeben","['So oder so bleibt das Lau- fen eine Domäne dunkelhäutiger Athle- ten. Für Weiße gilt Dabeisein ist alles (Standard 18. 8. 2008, 17). Dabei sein ist alles war der am meisten gehörte Kom- mentar in der übervollen Aula , als fest- stand, dass die Schule keinen Deutschen Schulpreis bekommt (www.br.de, 12. 6. 2012).']"
