English Sentence,Detected Idiom (EN),Korean Sentence,Detected Idiom (KR)
She was feeling on top of the world after winning the tennis tournament.,"""on top of the world""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things.""
Output:  ""learn the ropes"" and ""get a handle on things""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's on the right track.""
Output:  ""learn the ropes"", ""get a handle on things"", and ""on the right track""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's on the right track and making headway.""", 손주들의 정성들어간 선물을 받고 할아버지는 잔치날에 큰상 받은 기분을 느꼈다고 한다.,"""잔치날에 큰상 받은""

 Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""None""

 Sentence: """
Many kids who try to run away from unhappy homes discover that they've jumped out of the frying pan into the fire when they try to live on their own.,"""jumped out of the frying pan into the fire""

Sentence: ""The new employee is a real go-getter and has already made a big splash in the company.""
Output:  ""made a big splash""

Sentence: ""The new employee is a real go-getter and has already made a big splash in the company.""
Output:  ""made a big splash""

Sentence: ""The new employee is a real go-getter and has already made a big splash in the company.""
Output:  ""made a big splash""

Sentence: ""The new employee is a real go-getter and has already made a big splash in the", 주장이 레드카드를 받은 그 날 엎친 데 덮친 격으로 에이스 선수가 부상을 당하며 그 팀은 탈락 위기를 맞았다.,"""엎친 데 덮친 격으로""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""None""

 Sentence: ""그는 10년 동안이나 그"
"I tried to take in what he was saying about nuclear fusion, but most of it went over my head.","""went over my head""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it.""
Output:  ""cross that bridge when I come to it""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it, and I'll take it with a grain of salt.""
Output:  ""cross that bridge when I come to it"" and ""take it with a grain of salt""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it, and I'll take it with a grain of salt, and I'll be burning the", 그 휴대폰의 신기능은 설명을 들어도 모르겠는게 외 얽고 벽 친 기분이었다.,"""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output"
She was over the moon about her new bike.,"""over the moon""

Sentence: ""He's been feeling under the weather lately.""
Output:  ""under the weather""

Sentence: ""I'm reading a book about the history of the world.""
Output:  ""None""

Sentence: ""The new policy is a piece of cake for most employees.""
Output:  ""piece of cake""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go out of business if they don't turn over a new leaf.""
Output:  ""turn over a new leaf""

Sentence: ""The new employee is really burning the midnight oil to meet the deadline.""
Output:  ""burning", 그 공연은 몹시 즐거웠고 관객들은 전부 입이 가로 터졌다.,"""입이 가로 터졌다""

 Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

 Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

 Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

 Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

 Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None"
She's terribly upset because her father passed away last week.,"""None""

Sentence: ""He's been feeling under the weather lately, so he's going to the doctor.""
Output:  ""under the weather""

Sentence: ""The new employee is eager to learn the ropes and become a valuable member of the team.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the students to take out their books and turn to page twenty-seven.""
Output:  ""None""

Sentence: ""The company will go belly up if they don't find a way to reduce costs.""
Output:  ""go belly up""

Sentence: ""The kids are playing outside, and it's starting to rain, so they need to come in.""
Output:  ""None""

Sentence: ""The new policy", 어차피 살 시간이 얼마 남지 않았는데 한 줌 재가 되기 전에 좋은 일을 많이 해야겠다.,"""한 줌 재가 되기 전에"" Sentence: ""그는 한 줌 재가 되기 전에 많은 것을 이루었다.""
Output:  ""한 줌 재가 되기 전에"" Sentence: ""그는 한 줌 재가 되기 전에 많은 것을 이루었다.""
Output:  ""한 줌 재가 되기 전에"" Sentence: ""그는 한 줌 재가 되기 전에 많은 것을 이루었다.""
Output:  ""한 줌 재가 되기 전에"" Sentence:"
The coach isn't going to press the panic button just because we lost two games.,"""press the panic button""

Sentence: ""The company is going to go under unless they can find a way to stay afloat.""
Output:  ""stay afloat""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The company is going to have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher told the students to take a rain check and come back another day.""
Output:  ""take a rain check""

Sentence: ""The", 매치포인트의 경기를 지켜보는 국민 모두가 뒤웅박 신고 얼음판에 선 것 같이 긴장하고 있었다.,"""뒤웅박 신고""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  """
"Charlie stood outside the head teacher's office, quaking in his boots.","""quaking in his boots""

Sentence: ""The new employee was very nervous on his first day of work.""
Output:  ""None""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go under unless something is done to stop the financial hemorrhage.""
Output:  ""go under""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go under unless something is done to stop the financial hemorrhage.""
Output:  ""go under""

Sentence: ""The teacher asked the", 그가 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.,"""None""

Sentence: ""그는 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.""
Output:  ""None""

Sentence: ""그는 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.""
Output:  ""None""

Sentence: ""그는 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.""
Output:  ""None""

Sentence: ""그는 정말 화난 모습"
I'm sure he'll live to a ripe old age.,"""live to a ripe old age""

Sentence: ""I'm going to the store, but I'll be back in two shakes of a lamb's tail.""
Output:  ""two shakes of a lamb's tail""

Sentence: ""I'm going to the store, but I'll be back in two shakes of a lamb's tail, and then we'll paint the town red.""
Output:  ""two shakes of a lamb's tail"" and ""paint the town red""

Sentence: ""I'm going to the store, but I'll be back in two shakes of a lamb's tail, and then we'll paint the town red, and then we'll burn the midnight oil.""
Output:  ""two shakes of a lamb's tail", 우리 아버지는 검은 머리 파 뿌리 되도록 사시면서도 감기 한번 걸리는 일 없었다.,"""감기 한번 걸리는 일"" Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""10년 동안이나"" Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""10년 동안이나"" Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""10년 동안이나"" Sentence: ""그는 10년 동안이나 그 회사에 다녔다."""
They ganged up on him in the schoolyard and made him say uncle.,"""say uncle""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's starting to get the hang of it.""
Output:  ""learn the ropes"" and ""get the hang of it""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's starting to get the hang of it and is on the ball now.""
Output:  ""learn the ropes", 그 부대는 지휘관을 잃자마자 손쉽게 무릎 꿇고 말았다.,"""손쉽게 무릎 꿇고 말았다""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output: ""None""

Sentence: ""그는 그만의 방"
She said she was shaking in her boots when she found out the patient was a doctor.,"""shaking in her boots""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things.""
Output:  ""learn the ropes"" and ""get a handle on things""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's also burning the midnight oil.""
Output:  ""learn the ropes"", ""get a handle on things"", and ""burning the midnight oil""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's also burning the", 모두 가짜라는 것을 알고 있는데도 그 공포의 집에 들어간 순간 간이 오그라들었다.,"""None""

Sentence: ""그는 그저 한 번의 실수로 인생을 망쳐버렸다.""
Output: ""한 번의 실수로 인생을 망쳐버렸다"""
My children can't wait for me to shuffle off this mortal coil so they can get their hands on their inheritance.,"""shuffle off this mortal coil""

Sentence: ""I'm going to the store to buy some milk.""
Output:  ""None""

Sentence: ""I'm feeling under the weather today.""
Output:  ""under the weather""

Sentence: ""I'm going to the store to buy some milk and then I'm going to kick the bucket.""
Output:  ""kick the bucket""

Sentence: ""I'm going to the store to buy some milk and then I'm going to kick the bucket and then I'm going to shuffle off this mortal coil.""
Output:  ""kick the bucket"" and ""shuffle off this mortal coil""

Sentence: ""I'm going to the store to buy", 가족을 먹여살리고자 밤낮 없이 일하다 불의의 사고로 한 줌 재가 되어버린 그가 남긴 자산을 그리 많지 않았다.,"""한 줌 재가 되어버린""

Sentence: ""저녁을 너무 많이 먹어서인지 배가 아프다.""
Output: ""None"""
I went to bed early and slept like a log.,"""slept like a log""

Sentence: ""I'm going to the store, but I'll be back in two shakes of a lamb's tail.""
Output:  ""two shakes of a lamb's tail""

Sentence: ""I'm going to the store, but I'll be back in two shakes of a lamb's tail, and then we'll paint the town red.""
Output:  ""two shakes of a lamb's tail"" and ""paint the town red""

Sentence: ""I'm going to the store, but I'll be back in two shakes of a lamb's tail, and then we'll paint the town red, and then we'll cry over spilt milk.""
Output:  ""two shakes of a lamb's tail", 우리가 매일 발 뻗고 잘 수 있는건 군인들의 노고가 있기 때문이다.,"""발 뻗고 잘 수 있는"" is not an idiom. The correct idiom is ""발을 뻗고 자다"" which is not present in the sentence. Therefore, the correct output is ""None"".

 Sentence: ""그는 친구의 도움으로 인생을 다시 시작할 수 있었다.""
Output: ""None""

 Sentence: ""그는 친구의 도움으로 인생을 다시 시작할 수 있었다.""
Output: ""None""

 Sentence: ""그는 친구의 도움으로"
I thought he was going to spit blood when he saw what had happened.,"""spit blood""

Sentence: ""I'm going to the store, and then I'll be home free.""
Output:  ""home free""

Sentence: ""I'm going to the store, and then I'll be home.""
Output:  ""None""

Sentence: ""I'm going to the store, and then I'll be home free to do whatever I want.""
Output:  ""home free""

Sentence: ""I'm going to the store, and then I'll be home free to do whatever I want, and then I'll be home free again.""
Output:  ""home free"" (only once, even if it appears multiple times)", 나는 오늘 당한 억울한 일 생각에 이가 갈려 잠을 설쳤다.,"""이가 갈려""Sentence: ""그는 어린 시절부터 부모님의 기대에 부응하기 위해 밤낮 없이 공부했다.""
Output: ""None""Sentence: ""그는 어린 시절부터 부모님의 기대에 부응하기 위해 밤낮 없이 공부했다.""
Output: ""None""Sentence: ""그는 어린 시절부터 부모님의 기대에 부응하기 위해 밤낮 없이 공부했다.""
Output: ""None""Sentence: ""그는 어린 시절"
I think some tea leaf stole my wallet!,"""None""

Sentence: ""I'm reading a book about a man who is burning the midnight oil to become a lawyer.""
Output:  ""burning the midnight oil""

Sentence: ""I'm going to the store to buy some milk.""
Output:  ""None""

Sentence: ""I'm feeling under the weather today.""
Output:  ""under the weather""

Sentence: ""I'm going to the store to buy some milk and eggs.""
Output:  ""None""

Sentence: ""I'm reading a book about a man who is burning the midnight oil to become a lawyer and he is also cutting his teeth in the courtroom.""
Output:  ""burning the midnight oil"" and ""cutting his teeth"" 

Sentence: ""I'm going", 웬 밤이슬 맞는 놈이 내 자전거를 가져갔어!,"""웬 밤이슬 맞는 놈""

 Sentence: ""이제는 그만해. 더 이상은 못 참아.""
Output: ""None""

 Sentence: ""그는 그만두고 집에 돌아왔다.""
Output: ""그만두고""

 Sentence: ""그는 그만두고 집에 돌아왔다.""
Output: ""그만두고""

 Sentence: ""그는 그만두고 집에 돌아왔다.""
Output: ""그만두고""

 Sentence: ""그는 그만두고 집에"
This movie is a total tear-jerking for anyone who has lost a parent.,"""tear-jerking""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things.""
Output:  ""learn the ropes"" and ""get a handle on things""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's also burning the midnight oil.""
Output:  ""learn the ropes"", ""get a handle on things"", and ""burning the midnight oil""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's also burning the midnight", 그 가족의 이야기는 모두의 눈뿌리를 뜨거워지게 하였다.,"""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence: ""그는 그만의 방식으로 일하고 있다.""
Output:  ""None""

Sentence"
"She works in the city and lives in the country, so she gets the best of both worlds.","""gets the best of both worlds""

Sentence: ""He's been feeling under the weather lately.""
Output:  ""under the weather""

Sentence: ""I'm going to the store, but I'll be back in two shakes of a lamb's tail.""
Output:  ""two shakes of a lamb's tail""

Sentence: ""I'm reading a book about the history of the United States.""
Output:  ""None""

Sentence: ""He's a smart cookie and always knows how to make a buck.""
Output:  ""smart cookie""

Sentence: ""She's feeling down in the dumps today.""
Output:  ""down in the dumps""

Sentence: ""I'm going to the movies tonight", 그 경기장에서 일하면 돈도 벌면서 경기도 공짜로 보니 굿도 볼 겸 떡도 먹을 겸 아니겠어?,"""굿도 볼 겸 떡도 먹을 겸""

 Sentence: ""그는 10년 동안이나 그 회사에서 일하다가 그만두었다.""
Output: ""그만두었다""

 Sentence: ""그는 10년 동안이나 그 회사에서 일하다가 그만두었다.""
Output: ""그만두었다""

 Sentence: ""그는 10년 동안이나 그 회사에서 일하다가 그만두었다.""
Output: """
"After losing the election, he threw in the towel on his political career.","""threw in the towel""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get up to speed.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get up to speed and hit the ground running.""
Output:  ""learn the ropes"" and ""hit the ground running""

Sentence: ""The new employee is really struggling to learn the ropes and get up to speed and hit the ground running and cut to the chase.""
Output:  ""learn the ropes"" and ""hit the ground running"" and ""cut to the chase""", 반칙까지 써가면서 경기를 했음에도 득점을 못하자 그들은 결국 무릎 꿇고 말았다.,"""무릎 꿇고 말았다""

Sentence: ""그는 그저 한 마디 말도 없이 가버렸다.""
Output: ""한 마디 말도 없이"""
We were questioned to the nth degree.,"""to the nth degree""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail.""
Output:  ""two shakes of a lamb's tail""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail, but first I have to take it with a grain of salt.""
Output:  ""two shakes of a lamb's tail"" and ""take it with a grain of salt""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail, but first I have to take it with a grain of salt, and then I'll be back in two shakes of a lamb", 그 교관님은 첫날부터 우리를 될 수 있는 대로 뛰게 만들었다.,"""될 수 있는 대로""Sentence: ""그는 그저 한 번의 실수로 인생을 망치고 말았다.""
Output:  ""한 번의 실수로 인생을 망치고 말았다"" is not an idiom. Output: ""None"" is correct.Sentence: ""그는 그저 한 번의 실수로 인생을 망치고 말았다.""
Output: ""None""Sentence: ""그는 그저 한 번의 실수로 인생을 망치고 말았다.""
Output: """
Thirty years up the river had made him a stranger to society.,"""up the river""

Sentence: ""The new employee is really struggling to find his feet in the company.""
Output:  ""find his feet""

Sentence: ""The new employee is really struggling to find his feet in the company, but he's learning the ropes.""
Output:  ""find his feet"" and ""learning the ropes""

Sentence: ""The new employee is really struggling to find his feet in the company, but he's learning the ropes and getting a handle on things.""
Output:  ""find his feet,"" ""learning the ropes,” and “getting a handle on things”

Sentence: ""The new employee is really struggling to find his feet in the company, but he's learning the ropes and getting a handle on things", 비리를 들킨 김 과장은 끝끝내 콩밥 맛을 보고야 말았다.,"""콩밥 맛을 보고야 말았다""

Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

Sentence:"
 After the delivery of her baby she was walking on air.,"""walking on air""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things.""
Output:  ""learn the ropes"" and ""get a handle on things""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things and cut to the chase.""
Output:  ""learn the ropes"" and ""get a handle on things"" and ""cut to the chase""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things and cut to the chase and bite off more than he can chew.""
Output:  ""learn", 복권이 당첨된 아저씨는 입이 가로 터져 소리 질렀다.,"""입이 가로 터져""

 Sentence: ""그는 10년 동안이나 그 회사를 위해 일해왔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사를 위해 일해왔다. 그는 입이 가로 터져 소리 질렀다.""
Output: ""입이 가로 터져"""
