Redewendung,Bedeutung,Beispiel
schmalspurig denken,eng begrenzt denken,"Das Team hatte bei dem Projektentwurf zu schmalspurig gedacht, sodass er abgelehnt wurde. brav, Elch, Hamster, hindenken, kommen, Mensch, Pferd, Schwein, Teil, typisch, Wald."
jemandem einen Denkzettel verpassen/geben,jemanden durch eine unangenehme Erfahrung exemplarisch bestrafen oder warnen,"Diesem Angeber werden wir mal einen kleinen Denkzettel geben. Es gibt Rechte oder Linke, die mit der Nichtwahl ihrer jeweiligen Partei einen Denkzettel verpassen wollen."
"derjenige, welcher/diejenige, welche","der, auf den es ankommt, von dem die Rede ist/die, auf die es ankommt, von der die Rede ist","Sollte ein zusätzlicher Betriebswirt in den Vorstand berufen werden, dann ist er derjenige, welcher. Sie hatte einen etwas herben Charme, aber für ihn war sie diejenige, welche."
keinen/nicht einen Deut,gar nicht,"Der neue Amtsleiter ist nicht einen Deut besser als sein Vorgänger. Jostens Miene wurde um keinen Deut freundlicher. Ebenso meine ich, etwas zu beschönigen, das bringt uns ja keinen Deut voran."
mit jemandem deutsch reden/sprechen usw.,"jemandem unverblümt die Wahrheit, die Meinung sagen","Wenn du hier nicht spurst, muss ich mal deutsch mit dir reden. Ich hab deutsch mit dem Chef gesprochen, darauf hat er mich angefahren. Sei so gut, und halt du deinen Schnabel, sonst schwätz ich deutsch mit dir. Michel."
kein Deutsch /nicht Deutsch verstehen,etwas nicht verstehen wollen; nicht gehorchen,"Ich habe dir doch gesagt, du sollst die Werkstatt aufräumen. Du verstehst wohl kein Deutsch mehr, was?"
auf Deutsch,"unverblümt, ohne Beschönigung","Einige Fußballspieler sollen Geld genommen haben, auf gut Deutsch Sie haben sich bestechen las sen. Hier, was in Hamburg getrieben wird, das ist ’ne große Schweinerei. Finde ich. Auf Deutsch gesagt."
nicht ganz dicht sein,nicht ganz bei Verstand sein,"Wer auf einen so primitiven Schwindel hereinfällt, der muss doch nicht ganz dicht sein. Die war nicht ganz dicht. Und äußerst hysterisch, das fand ich bald heraus."
dicht wie ein U-Boot,"2. total betrunken, zugedröhnt",Beim Verlassen der Party war er dicht wie ein U-Boot. vorbei.
jemandes Dichten und Trachten,jemandes ganzes Streben,Das Dichten und Trachten der meisten Menschen ist auf den Erwerb materieller Güter gerichtet.
was will uns der Dichter damit sagen?,"was soll das bedeuten, worauf willst du/will er usw. hinaus?",Der Rasen müsste mal wieder gemäht werden! – Und was will uns der Dichter damit sagen?
Dichtung und Wahrheit,frei Erfundenes und Wahres,"Es dürfte nicht leicht sein, bei der Aussage dieses Zeugen Dichtung und Wahrheit zu unterscheiden."
"jemanden, etwas dick haben","einer Person, Sache überdrüssig sein","Allmählich habe ich dein Gemeckere dicke. Nun hätte er das Portierspielen aber dick, so ginge das nicht weiter."
mit jemandem durch dick und dünn gehen,jemandem in allen Lebenslagen beistehen,"Er ist froh darüber, einen Menschen gefunden zu haben, der mit ihm durch dick und dünn geht."
seinen Dickkopf aufsetzen,"trotzen, auf seinem Willen beharren",Die Tochter hatte mal wieder ihren Dickkopf aufgesetzt und wollte partout nicht mitkommen.
die da oben,"die Herrschenden, die führende Schicht","Wir rackern uns ab, und die da oben saufen Champagner! Ich glaube nicht an echte Mitbestimmung; die da oben machen schließlich doch, was sie wollen."
die und die,2. bestimmte Personen (die hier nicht näher bezeichnet werden),"Sobald klar wird, dass die und die nicht weiter bei uns mitarbeiten wollen, werden wir uns nach Ersatz umsehen."
wie ein Dieb in der Nacht,"unbemerkt, heimlich und überraschend",Als Ehrengast des Gesellschaftsabends würde er sich nicht wie ein Dieb in der Nacht davonstehlen können. Wie ein Dieb in der Nacht hatte sich ein seltsamer Gedanke in ihr Herz geschlichen.
seinen Dienst/seine Dienste tun,für den vorgesehenen Zweck zu gebrauchen sein,"Besonders schön ist der Sessel nicht mehr, aber er wird noch einige Zeit seinen Dienst tun. Wenn man kein Bett hat, tut auch eine Matratze ihren Dienst."
gute Dienste tun/leisten,sehr nützlich sein,Bei diesem Wetter tut ein Anorak gute Dienste. Ungehinderter Zugang zum Archiv könnte uns gute Dienste leisten.
jemandem mit etwas einen schlechten Dienst erweisen,jemandem mit etwas schaden,Mit eurem Übereifer habt ihr mir einen schlechten Dienst erwie sen. Du hast Onkel Mutsch einen schlechten Dienst erwiesen. Mit deinen Prügeleien hast du ihm geschadet.
jemandem den Dienst versagen,"schwach werden, versagen","Sie wollte schreien, aber die Stimme versagte ihr den Dienst. Meine Beine versagten mir vor Erschöpfung den Dienst."
außer Dienst,(in Bezug auf Beamte und Offiziere) im Ruhestand; Abk. a. D.,Er ist Major a. D.
in jemandes Diensten/bei jemandem in Diensten stehen,"bei jemandem angestellt, beschäftigt sein; für jemanden arbeiten, tätig sein","Der Experte für Gegenaufklärung hatte nach amerikanischen Darstellungen fünfzehn Jahre in Moskaus Diensten gestanden und dem Staat erheblichen Schaden zugefügt. Graf Orlog, ein Vampir aus den Karpaten, lässt einen Makler, der offensichtlich in seinen Diensten steht, in Wisborg ein Haus erwerben, bevor er per Schiff mit einer Ladung von Särgen selbst dort eintrifft."
etwas in Dienst stellen,etwas für die der betreffenden Sache zugedachte Funktion einsetzen,Wann wurde dieses Schiff in Dienst gestellt?
sich in den Dienst einer Sache stellen,"sich für etwas einsetzen, etwas fördern",Nach ihrer Pensionierung hat sie sich ganz in den Dienst der sozialen Krankenfürsorge gestellt.
im Dienst einer Sache stehen,"etwas fördern, für etwas arbeiten",Seit über zwanzig Jahren stehen unsere ehrenamtlichen Helfer im Dienst der kommunalen Landschaftspflege.
vom Dienst,1. diensthabend,Rufen Sie mir sofort den Unteroffizier vom Dienst!
zu Diensten stehen,"einsatzbereit sein, jemandes Wünsche, Bedürfnisse erfüllen können","Wenn Sie noch etwas brauchen oder einen Wunsch haben, läuten Sie bitte – ich stehe jederzeit zu Diensten. Der Fürst beschloss, dass das Gesinde in Zukunft rund um die Uhr zu seinen Diensten stehen müsse."
jemandem zu Diensten stehen/sein,"jemandem zur Verfügung stehen, jemandes Wünsche erfüllen","Wenn Sie eine Beratung wünschen, steht Ihnen unser geschultes Per sonal zu Diensten. Berlin blieb eisenhart, Berlin wollte nur eins – seinem Investor weiter zu Diensten sein. Verdankung."
einen auf den Diensteid nehmen,im Dienst ein Glas Alkohol trinken,"Kollege Maier ist befördert worden, da könnten wir doch eigentlich alle einen auf den Diensteid nehmen!"
dies und das/dies und jenes,mancherlei,"Wenn wir mehr Geld hätten, könnten wir uns auch mal dies und das leisten."
dieser und jener,einige,"Dieser und jener wird mal geschnappt, aber die meisten Hooligans kommen ungeschoren davon."
dieses und jenes,mancherlei,"Sie wollte in die Stadt, um noch dieses und jenes für den Urlaub zu besorgen."
dieser oder jener,"mancher, manch einer",Dieser oder jener hätte sicher noch Verwendung für die ausrangierten Möbel. Tag.
gut Ding will Weile haben,"es braucht eine gewisse Zeit, bis etwas Solides, Ordentliches, Vernünftiges fertiggestellt, erreicht wird",Die Restaurierungsarbeiten werden einige Jahre in Anspruch nehmen; gut Ding will Weile haben. Politische Reformen soll man nicht übers Knie brechen – gut Ding will Weile haben.
jedes Ding hat zwei Seiten,"jede Sache hat ihre gute und ihre schlechte Seite, hat Vorund Nachteile",Das reine Paradies wird dein Job als Korrespondent in Hongkong nicht werden; jedes Ding hat zwei Seiten.
das ist ein Ding mit ’nem Pfiff,"das ist etwas ganz Besonderes, das funktioniert auf überraschende, merkwürdige Weise","Der Staat frisst uns auf. Ein Gespenst. Ein Begriff. Der Staat, das ist ein Ding mit’m Pfiff."
ein Ding der Unmöglichkeit sein,"nicht möglich sein, sich nicht erledigen, ausführen, einrichten lassen",Wir sind mehr als ausgelastet. Die Übernahme eines neuen Auftrags ist zu diesem Zeitpunkt ein Ding der Unmöglichkeit.
ein Ding drehen,etwas anstellen; ein Verbrechen begehen,"Die Dinger, die man gedreht hat, sind wahre Juwelen, und man darf erst von ihnen reden, wenn man schon im Knast sitzt. Hab mir gleich gedacht, dass du das Ding gedreht hast."
jemandem ein Ding verpassen,1. jemandem einen brutalen Schlag versetzen,"Diesem Pitt werd ich ’n Ding verpassen, dass er wochenlang wie ’ne schwangere Jungfrau rumläuft."
jemandem ein Ding verpassen,2. jemanden gehörig zurechtweisen,"Diesem arbeitsscheuen Burschen musste erst mal ein Ding verpasst werden, damit er spurt."
mach keine Dinger!,"Ausruf des Erstaunens, der Überraschung",Die wollen die Mehrwertsteuer senken? Mach keine Dinger!
krumme Dinger machen,"etwas Unerlaubtes, Rechtswidriges tun","Er hat in seiner Jugend ein paar krumme Dinger gemacht. Versucht freundlich zu sein, versucht keine krummen Dinger zu machen."
guter Dinge sein,"gut aufgelegt, froher Stimmung sein",Alles hatte prächtig ge klappt und man war guter Dinge. Warum sollte er nicht guter Dinge sein? Das Leben war von unerschöpflicher Buntheit.
unverrichteter Dinge,"ohne etwas verwirklicht, erreicht zu haben",Unverrichteter Dinge musste er wieder nach Hause ge hen. Er kehrte unverrichteter Dinge nach St. Jules zurück und wurde angebrüllt.
aller guten Dinge sind drei,"Ausspruch zur Rechtfertigung von etwas, was jemand ein drittes Mal tut, probiert","Wir können es ja noch einmal versuchen, aller guten Dinge sind drei."
nicht mit rechten Dingen zugehen,"merkwürdig, unerklärlich sein; nicht legal vor sich gehen","Bei den Grundstücksverkäufen soll es nicht mit rechten Dingen zugegangen sein. Es wäre doch nicht mit rechten Dingen zugegangen, wenn jemand mit seinen fachlichen Qualitäten und Erfahrungen den Job nicht bekommen hätte."
jemanden dingfest machen,"jemanden verhaften, festnehmen","Knauft flog überstürzt nach Hamburg, wo er dingfest gemacht werden konnte. Für den Fall des Falles hat Haas vorsorglich die Verantwortlichen dingfest gemacht."
etwas zur Diskussion stellen,etwas als Thema für eine Diskussion vorschlagen,"Der Kollege hat mit dieser Frage ein brisantes Thema angeschnitten, das ich hier zur Diskussion stellen möchte."
zur Diskussion stehen,"Thema, Gegenstand der Diskussion sein","In dem Kolloquium steht nicht der rein biologische, sondern der soziologische Aspekt des Parasitismus zur Diskussion."
keine Disziplin in den Knochen haben,undiszipliniert sein,"Die jungen Spieler haben keine Disziplin in den Knochen. Wenn ihr keine Disziplin in den Knochen habt, muss ich andere Saiten aufziehen."
jemandem auf den Docht gehen,jemandem lästig werden,"Die Alten gehen mir auf den Docht mit ihrem dauernden Gemecker. Die Ironie hat keinen guten Ruf, und sie kann einem ja auch auf den Docht gehen."
eine Doktorarbeit aus etwas machen,"etwas äußerst umständlich, mit viel zu großem Aufwand angehen","Wenn er mal einen Nagel in die Wand schlagen soll, macht er gleich eine Doktorarbeit daraus."
Donner und Blitz!,"Ausruf des Erstaunens, der Verwünschung",Donner und Blitz! Nun hat uns der Bursche doch wieder hereingelegt.
Donner und Doria,"Ausruf des Erstaunens, der Verwünschung","Donner und Doria, hast du denn keinen Funken Ehrgefühl?."
da soll doch ein Donnerwetter dreinschlagen/dreinfahren!,Ausruf der Verärgerung,Da soll doch gleich ein heiliges Donnerwetter dreinschlagen! Jetzt parkt doch schon wieder jemand vor der Ausfahrt.
zum Donnerwetter!,Ausruf der Verärgerung,"Zum Donnerwetter [noch einmal], wo sind denn bloß meine Man schettenknöpfe? Zum Donnerwetter, spielen Sie doch nicht den unschuldigen Hasen."
zum Donnerwetter auch!,"Ausruf der Bewunderung, der Überraschung","Zum Donnerwetter auch, ist das ein Prachtexemplar! Himmel, potz."
doppelt und dreifach,über das Notwendige hinausgehend,Die Anlage ist doppelt und dreifach gesichert.
doppelt sehen,betrunken sein,"Was ist denn mit dir los, du siehst wohl schon alles doppelt?"
auf die Dörfer gehen,"Farben, bes. solche mit niedrigem Wert, statt Trumpf ausspielen","Aha, nun geht er schon auf die Dörfer."
auf/über die Dörfer gehen,bei etwas sehr umständlich vorgehen,"Berichten Sie uns kurz, was damals geschehen ist, ohne über die Dörfer zu gehen, bitte! Auf direktem Weg erreicht man bei dieser Behörde gar nichts, da muss man schon ein bisschen auf die Dörfer gehen."
aus jedem Dorf einen Hund haben,Karten jeder Farbe haben (und damit nicht über die notwendige Zahl einer Farbe verfügen),"Ich passe, ich habe schon wieder aus jedem Dorf einen Hund. böhmisch, Kirche, potemkinsch, Sau, Welt."
jemandem ein Dorn im Auge sein,"jemandem ein Ärgernis, unerträglich sein",Der Nazismus erklärte unserem Haus den Krieg Die Familie Mann war ihm ein Dorn im Auge. Der Welt sind solche Leute wie wir ein Dorn im Auge.
ein dorniger Pfad,ein schwieriger Weg zu einem Ziel,Es war ein dorniger Pfad bis zum Weltmeistertitel.
jemandem fliegt/springt der Draht aus der Mütze,jemand regt sich sehr auf,"Mir fliegt allerdings echt der Draht aus der Mütze, wenn ich dieses bescheuerte Gelaber lese. So schnell fliegt uns, dem Publikum, im Jahr 2012 ja nicht mehr der Draht aus der Mütze. Praktisch alles sind wir gewohnt, wir wundern uns ja schon über gar nichts mehr, und trotzdem klingt an dieser Musik irgendetwas falsch, unsachgemäß, verhaltensauffällig."
einen Draht zu jemandem haben,eine Beziehung zu jemandem haben,"Sie hat einen guten Draht zu ihren Kollegen und weiß, wie man komplizierte Themen rüberbringt."
auf Draht sein,"wachsam sein, aufpassen und im entscheidenden Augenblick richtig handeln","Jetzt war Stefan nicht auf Draht; er hätte ja sagen müssen. Wenn du nicht auch noch Prügel beziehen willst, dann musst du schwer auf Draht sein."
jemanden auf Draht bringen,"jemanden dazu bringen, rasch und richtig zu handeln",In wenigen Monaten hatte die neue Direktorin ihre Leute auf Draht gebracht. heiß.
dran sein,1. an der Reihe sein,"Sie müssen noch etwas warten. Zwei Per sonen sind noch vor Ihnen dran. Da Konrad Adenauer in sechs Wochen keine Koalition zustande gebracht hat, dürfte nun wohl Ludwig Erhard dran sein."
dran sein,2. zur Verantwortung gezogen werden,"Wenn Sie erwischt werden, dann sind Sie dran, und nicht ich!."
dran sein,3. sterben müssen,"Der Vater hatte mithilfe der Mafia seine Söhne in höchste Ämter gebracht und als diese die erwarteten Gegendienste nicht erbrachten, waren sie dran."
am dransten sein,an der Reihe sein,"Vordrängeln gibt es nicht, jetzt bin ich erst mal am dransten! Wer ist am dransten? Muss ich jetzt ausspielen?"
"nicht wissen, wie man bei jemandem/mit jemandem dran ist","nicht wissen, was man von jemandem, von jemandes Verhältnis zu einem selbst zu halten hat","Ich arbeite seit mehr als fünf Jahren mit ihm zusammen, weiß aber bis heute nicht, wie ich bei ihm dran bin."
da ist alles dran!,"das hat alle nur denkbaren Vorzüge, (iron.) Nachteile","Das ist ein Auto, da ist alles dran. Ich hatte eine Erkältung, da war alles dran. drauf, drum, glauben."
"drauf und dran sein, etwas zu tun","fast so weit sein, etwas zu tun","Sie war drauf und dran, alles hinzu werfen. Besonders die Weißstörchin schien oft drauf und dran, über den Gatten herzufallen, wenn er durchaus nicht klappern wollte."
gut/schlecht drauf sein,"sich gut/schlecht fühlen, in guter/schlechter Verfassung sein","Das Examen habe ich verbockt, ich war an dem Tag einfach nicht gut drauf. Wenn du schlecht drauf bist, brauchst du erst gar nicht anzutreten."
einen/eins draufbekommen/draufkriegen,1. zurechtgewiesen werden,"Es wird langsam Zeit, dass das Bürschchen mal einen draufbekommt."
jemandem einen/eins draufgeben,1. jemanden zurechtweisen,Die Chefin hat ihm vor versammelter Mannschaft eins draufgegeben.
einen draufmachen/draufhauen,ausgiebig feiern,"Als das Projekt genehmigt war, haben wir erst mal ordentlich einen draufge hauen. Wenn du jung bist, Mann, bist du immer dabei, einen draufzumachen."
sein Drauskommen haben,sein Auskommen haben,"Das Geschäft ist zwar klein, aber er hat sein Drauskommen damit."
einen Dreck,"gar nichts, in keiner Weise","Ich kümmre mich einen Dreck darum. Sie haben uns hier einen Dreck zu sagen. Einen Dreck verstehen sie vom Militär, aber immer quatschen sie dazwischen."
Dreck am Stecken haben,"nicht integer sein, sich etwas haben zuschulden kommen lassen","Bei Lupo war es die ehemalige Freundin, die Dreck am Stecken hatte und von der Polizei gesucht wurde. Ein kleines, hoch motiviertes Team von Bochumer Staatsanwälten will den Dreck am Stecken der Großen beweisen."
aus dem größten/gröbsten Dreck sein,die größten Schwierigkeiten überwunden haben,"Sobald die letzte Rate für die Hypothek gezahlt ist, sind wir aus dem gröbsten Dreck heraus. Ich bin jetzt einigermaßen aus dem Dreck, finanziell nicht so, aber eben garderobemäßig."
im Dreck sitzen/stecken,"in größten Schwierigkeiten, einer überaus misslichen Situation sein","Die und Geld haben, die sitzen bis an den Hals im Dreck. Er sitzt im Dreck, und seine Frau macht sich bei ihrer Freundin ein schlaues Leben."
"jemanden, etwas mit Dreck bewerfen","jemanden, etwas mit verleumderischen Behauptungen angreifen","Er ließ es nicht zu, dass man seine Mitarbeiter mit Dreck bewarf. Ob er mit Dreck beworfen wird und Opfer einer Schlammschlacht ist oder ob er sich selbst in sumpfiges Gelände manövriert hat, wird derzeit untersucht. Vielleicht ist es für Sie ja in Ordnung, wenn jemand etwas, was ihnen wertvoll ist, mit Dreck bewirft, für mich jedenfalls nicht."
mit/in Dreck und Speck,"schmutzig, ungewaschen","Ich werde in Dreck und Speck zur Untersuchung gehen. Solche Sorgen verpennen die Parktiere ganz locker Margalitza, die fette Wollsau aus Ungarn, liegt mit Dreck und Speck in ihrer Wasserkuhle und grunzt sich eins auf die Hitze."
dreckig und speckig,"schmutzig, ungewaschen","Der jetzt nur schwer zugängliche Treppenaufgang zur Museums-Plattform ist in den 40 Jahren seiner Existenz offenbar noch nie mit einem Dampfstrahler gereinigt worden, so dreckig und speckig sieht er aus."
sich drehen wie eine Wetterfahne,"seine Meinung ständig ändern, anpassen","Von dem, was er gestern gesagt hat, will er heute nichts mehr wissen – er dreht sich wie eine Wetterfahne."
jemandem dreht sich alles,jemandem ist schwindlig,"Ich muss mich einen Moment setzen, mir dreht sich alles."
sich drehen und winden,"sich aus einer unangenehmen, peinlichen Lage zu befreien suchen","Er hat sich gedreht und gewunden, aber wir haben ihn festgenagelt."
an etwas ist nicht zu drehen und zu deuteln,"etwas ist ganz eindeutig, steht fest","Sie ist für den Job besser qualifiziert als er, daran ist nicht zu drehen und zu deuteln. Das sind beweisbare Fakten, an denen nicht zu drehen und zu deuteln ist."
sich drehen und wenden,alles nur Erdenkliche tun,"Man kann sich drehen und wenden, wie man will, man kommt doch auf keinen grünen Zweig. Egal wie man sich auch dreht und wendet, das ändert nichts an der Tatsache."
es/etwas drehen und wenden,etwas von jedem nur denkbaren Blickpunkt aus betrachten,"Man kann es drehen und wenden, wie man will, seine Chancen stehen sehr schlecht. Wie man die Sache auch dreht und wendet, sie wird dadurch nicht besser."
da hat doch jemand dran gedreht,"da stimmt doch etwas nicht, da ist etwas nicht in Ordnung","An meinem Schrank fehlt auch das Namensschild. Da hat doch jemand dran gedreht! Biene, Daumen, Ding, Ehrenrunde, Fahne, fühlen, Grad, Kreis, Mangel, Mühle, Nase, Rad, Runde, Steuerschraube, Strick, Wind, Wolf."
Drehund Angelpunkt,"das, worum sich alles dreht; der entscheidende Punkt",Die Theorie von der Selbstregulierung des Marktes wurde zum Drehund Angelpunkt der Wirtschaftspolitik. Der Verein baute Schritt für Schritt die leerstehende alte Schule zum Drehund Angelpunkt des Dorfes aus.
"Hebel Hebel Band, Hochtouren läuft den Drehwurm bekommen/kriegen",schwindlig werden,"Wenn man eine Weile auf die rotierende Scheibe sieht, kriegt man den Drehwurm."
den Drehwurm haben,1. schwindlig sein,"Ich habe immer den Drehwurm, wenn ich mit dem Kettenkarussell fahre."
den Drehwurm haben,2. nicht recht bei Verstand sein,"Was machst du denn da, du hast wohl den Drehwurm?"
nicht bis drei zählen können,dumm sein,"Der kann nicht bis drei zählen und will seinen Meister machen. Ding,"
im Dreieck/Viereck springen,vor Freude/Wut/Aufregung außer sich geraten,"Wir haben im Lotto gewonnen, aber bevor du jetzt im Viereck springst – es sind nur 16 Euro! Vorstandskollegen, diverse Sponsoren und auch einige Aufsichtsratsmitglieder sprangen im Dreieck, als sie mit dem Radiointerview konfrontiert wurden."
jetzt schlägts dreizehn!,"das geht zu weit, jetzt ist aber Schluss damit",Jetzt schlägts dreizehn! Der Fernseher ist schon wieder kaputt. Jetzt schlägts aber dreizehn! Für dieses Foul gibt es Platzverweis.
auf etwas gedrillt sein,durch ständige Schulung auf etwas gut vorbereitet sein und entsprechend reagieren,"Die Mannschaft ist ganz auf Kampf ge drillt. Ihr Handgepäck wird von zwei anderen, scheinbar darauf gedrillten Wärtern gefilzt."
drin/drinnen sein,"im Bereich des Möglichen liegen, sich machen lassen","In diesem Spiel ist noch alles drin. Sagen Sie mal, in erotischer Hinsicht ist wohl nichts drin?. Wurm."
da steckt man nicht drin,"das kann man nicht vorhersehen, wissen","Bei so einem alten Auto kann jederzeit was kaputtgehen, da steckt man nicht drin."
der Dritte im Bunde,"derjenige, der gemeinsam mit zwei anderen etwas Bestimmtes plant, durchführt, unternimmt usw.","Drei Männer sollen den Überfall geplant haben; zwei hat die Polizei bereits gefasst, aber wer ist der Dritte im Bunde?"
hinter etwas Druck machen,"dafür sorgen, dass etwas beschleunigt erledigt wird","Wenn die Architektin jetzt keinen Druck dahinter macht, ist das Haus im kommenden Herbst immer noch nicht fertig."
unter Druck stehen,bedrängt werden,"Es müssen rasche Entscheidungen gefällt werden, die Regierung steht unter Druck. Die Besatzungen standen nicht unter dem Druck einer knappen Flugzeit."
am Drücker sein/sitzen,"die Entscheidung über etwas in der Hand haben, entscheidenden Einfluss haben","Wenn der Junior erst einmal am Drücker ist, wird sich hier vieles ändern. Die alten Parteigenossen möchten am liebsten ewig am Drücker sitzen. Nicht frech werden! Wir sind immer noch am Drücker."
an den Drücker kommen,"Einfluss gewinnen, eine einflussreiche Stellung erreichen","Aber die warten ab, ob bei uns die unbelehrbaren alten Parteigenossen an den Drücker kommen oder die jungen Leute."
die Hand am Drücker haben,"die Entscheidung über etwas in der Hand haben, entscheidenden Einfluss haben",Wer hat eigentlich im Verein die Hand am Drücker?
auf den letzten Drücker,in letzter Minute; gerade noch rechtzeitig,Kommt bloß nicht wieder auf den letzten Drücker! Ich habe mich erst auf den letzten Drücker entschieden.
das ganze Drum und Dran,"alles, was dazugehört","Das ganze Drum und Dran der Veranstaltung war wenig erfreu lich. Ich beherrschte mich und sagte kein Wort, sammelte ihre Schuhe, ihre Wäsche, ihr ganzes Drum und Dran."
sei’s drum,wie dem auch ist,"Sei’s drum, wir hatten doch eine schöne Zeit zusammen. prüfen."
es/alles geht drunter und drüber,"es, alles geht planlos, ohne eine bestimmte Ordnung vor sich","Im Übrigen durfte alles drunter und drüber gehen; Unrat war einverstanden. Im Südkessel geht es drunter und drüber, und wenn der Südkessel fällt, sind wir hier im Nordkessel dran."
das Drunter und Drüber,"das Durcheinander, die ungeordneten Verhältnisse","Es herrschte ein allgemeines Drunter und Drüber, an vernünftige Arbeit war nicht mehr zu denken. Nach all dem Drunter und Drüber kommen Sie endlich zur Ruhe. Strich."
per Du/du sein,sich duzen,Seit dem Feuerwehrball waren sie miteinander per du.
"der Duft der großen, weiten Welt","das Flair der Weltoffenheit, Freiheit, Unabhängigkeit","Mit Namen wie Rio de Janeiro, New York, San Francisco oder Las Vegas verbinden viele Europäer so etwas wie den Duft der großen, weiten Welt."
dummer August,Clown; Spaßmacher,"Der dumme August stolperte über seine Hosenbeine, fiel hin, stand auf, stolperte wieder, fiel wieder hin – und die Kinder klatschten vor Vergnügen in die Hände. Ich denke nicht daran, hier den dummen August zu spielen."
"jemand ist so dumm, dass er brummt",jemand ist sehr dumm,"Er sieht zwar gut aus, aber er ist so dumm, dass er brummt."
dumm/dämlich wie Schifferscheiße sein,sehr dumm sein,"Er ist nicht nur ein bisschen begriffsstutzig, er ist dumm wie Schifferscheiße."
"dümmer sein, als die Polizei erlaubt",sehr dumm sein,"Die meisten Bewerber waren dümmer, als die Polizei er laubt. Mitten unter ihren Kollegen stand eine Beamtin in Punk-Look, schwarzem T-Shirt mit Anti-G-8-Parolen, Tätowierung am Arm, und zeigte sich so Dutzenden Journalisten und Kameramännern. Mit Verlaub, dümmer als die Polizei erlaubt."
dumm geboren und nichts dazugelernt,sehr dumm,"Natürlich musste er den Zettel ausgerechnet meiner Freundin geben. Na ja, dumm geboren und nichts dazugelernt."
jemandem dumm kommen,"zu jemandem frech, unverschämt werden","Wenn der mir dumm kommen will, wird er mich kennen lernen! Angeblich war er den sowjetischen Soldaten dumm gekommen mit russischen Flüchen."
jemandem ist/wird etwas zu dumm,jemandes Geduld ist am Ende,"Die Lärmbelästigung wurde den Anwohnern zu dumm und sie riefen die Polizei. Sie bestellen die Nationalhymne immer wieder, und immer wieder steht eine Anzahl Leute nicht auf, weil es ihnen zu dumm ist."
jemanden für dumm verkaufen,"jemandem etwas vormachen, jemanden täuschen","Er dachte gar nicht daran, sich von dem jungen Burschen für dumm verkaufen zu las sen. Will man eigentlich die sportbegeisterten Zuschauer für dumm verkaufen?. Ich frage Sie jetzt zum letzten Mal. Wo sind die Blätter? Sie können uns doch nicht für dumm verkaufen."
der Dumme sein,"der Benachteiligte sein, den Schaden tragen","Er war wieder einmal der Dumme, denn ausgerechnet ihn hatte man erwischt und für alles ver antwortlich gemacht. Und seine Bücher werden gekauft werden oder vielmehr die seiner Nachschreiber, denn der Erste ist ja immer der Dumme."
einen Dummen finden,"jemanden finden, der naiv, gutmütig genug ist, etwas zu tun, was eigentlich eine Zumutung ist, worum sich andere drücken","Na, hast du einen Dummen gefunden, der dir sein Auto leiht? Natürlich hat sie wieder einen Dummen gefunden, der für sie den Sonntagsdienst macht. Bauer, behandeln, Feldweg, gucken, Pudding, Seite, Wasser, Zeug."
"wenn Dummheit wehtäte, den ganzen müsste er/müsste sie Tag schreien",er ist/sie ist usw. maßlos dumm,"Ich habe heute schon wieder stundenlang mit dem Kundendienst telefoniert und es hat nichts gebracht. Wenn Dummheit wehtäte, müssten sie dort den ganzen Tag schreien."
gegen Dummheit kämpfen Götter selbst vergebens,gegen Dummheit ist man machtlos,"Ich habe ihm stundenlang zu erklären versucht, warum er keinen Müll in den Wald werfen soll, aber gegen Dummheit kämpfen Götter selbst vergebens!"
vor Dummheit brüllen/brummen/schreien,sehr dumm sein,"Sein Bruder ist für so was nicht zu gebrauchen, der brüllt doch vor Dummheit!"
im Dunkeln/Finstern tappen,in einer aufzuklärenden Sache noch keinen Anhaltspunkt haben,"Die Kriminalpolizei tappt in dem Mordfall bislang im Dunkeln. Aber das sehe ich doch, dass Sie hier genauso wie ich im Dunkeln tappen und auf irgendeinen Zufall warten."
im Dunkeln ist gut munkeln,"Heimlichkeiten tut man lieber, wenn es dunkel ist und man dabei nicht beobachtet wird","Im Dunkeln ist gut munkeln. Und glauben Sie ja nicht, dass das die zwielichtigen Einbrecher nicht auch wissen. Im Dunkeln ist gut munkeln, und wenn man seine politischen Ziele auch noch in bürokratischen Strukturen verstecken kann, gehts noch leichter."
dünn gesät sein,"(in Bezug auf etwas Wünschenswertes) selten sein, nicht häufig vorkommen","Gute Außenstürmer sind in der Liga dünn gesät. Die wirklich guten Stellen sind in dieser Stadt nur dünn gesät. dick, Suppe."
jemandem blauen Dunst vormachen,"jemandem etwas so darstellen, dass er sich falsche Vorstellungen, falsche Hoffnungen macht","Die Wähler haben es satt, sich von den Parteien immer nur blauen Dunst vor machen zu lassen. Eigentlich eine Frechheit, dass Sie sich hier blicken lassen. Mit dem Sender habt ihr mir blauen Dunst vorgemacht."
keinen Dunst von etwas haben,von einer Sache nicht das Geringste verstehen,"Sie ist ein gescheites Haus, aber von Finanzpolitik hat sie nun wirklich keinen blassen Dunst. Schimmer."
durch und durch,völlig; ganz und gar,"Der kleine Junge war durch und durch nass. Er kennte, sagte Herr Peters, da einen Herrn, General a. D. übrigens, also einen durch und durch honorigen Mann."
