Idiom,Meaning,Meaning_ar
. . . تمهّل يقول,He said slowly...,قال ببطء...
تمهيدا ً لِـ,"In order to facilitate, in preparation of, for the purpose of",من أجل التسهيل، استعدادًا لـ، بهدف
ًتميّز غيظا,To burst with anger,يَنفَجِر غَضَبًا
تنازع البقاء,Struggle for existence,الصراع من أجل البقاء
تنازل عن العرش لِـ,To abdicate in favour of,التَنَازُل لصالح
تنازل عن منصب,To resign from office,الاستقالة من المنصب
تنافس حيوي,Struggle for existence,الصراع من أجل البقاء
َ تناقل الكالم,"To talk with one another, have a talk",يتحدثون مع بعضهم البعض، يُجرون حديثًا
َتناقلت الجرائد ُ الخبر,The report was taken up by the entire press,تناولت الصحافة بأكملها التقرير
تناقلته األلسن,"To pass from mouth to mouth, be on everybody’s lips, be the talk of the town",يَتَناقَلُهُ النّاس، يَكونُ على كُلِّ لِسان، يَكونُ حَديثَ السّاعَة
تناقلته األيدي,"To pass on from hand to hand, change hands",يَتَنَاقَل من يد إلى يد، يَتَغَيَّر المالك
ًتناهب األرضَ عدوا,To race along at a tearing pace,السَّير بسرعة فائقة
تناهى إلى أسماعهم,"To come to someone’s hearing, to someone’s knowledge",يَصِل إلى سَمعِه، يَصِل إلى مَعرِفَته
تناوبته الخطوب,He has suffered one misfortune after another,لقد عانى من مصيبة تلو الأخرى.
تنبّه لنفسه,To regain consciousness,استعادة الوعي
َتنسّم الخبر,"To nose around for news, sniff out the news",للبحث عن الأخبار، استكشاف الأخبار
تنسيق داخلي,Interior decoration,التَزيين الدّاخلي
( تنصّل من الت َّ بِعة )المسؤولية,"To refuse to take the responsibility, evade or shirk the responsibility",رفض تحمل المسؤولية أو التهرب منها
تنفخ في الرماد,You are wasting your time,أنت تُضَيِّع وَقتَك
تنف ّ س الحسرات المؤلمة,To have painful sighs,لديه تنهدات مؤلمة
تنف ّ س الصُّعَدَاء,"To sigh deeply, to breathe a sigh of relief",يَتَنَهَّد بعمق، يَتَنَفَّس الصُّعَداء
تنف ّ س النفسَ األخير,"To be at one’s last gasp, be dying",يَلفِظ أنفاسه الأخيرة، يَحتَضِر
تنف ّ س عن الحياة,"To breathe one’s last, die",يَلْفِظ أنفاسه الأخيرة، يَموت
تنف ّ ق بكِذبَةٍ على,To tell someone a fib,أن تَقول لأحدهم كَذبة بَيضاء
تنق ّ ل في منازل البالغة,To be versed in rhetoric,أن يكون مُلِمًّا بفن البلاغة
تنك ّ ب به عن,To make someone deviate or swerve from,لِجَعل شَخص يَنحَرِف أو يَنعَطِف عن
التهاب الزائدة,Appendicitis,التهاب الزائدة الدودية
تهادى التحية,"To exchange greetings, greet or salute each other",لتبادل التحيات، يُحَيِّي أو يُسَلِّم بعضهم على بعض
تهمة باطلة,False accusation,اِتِّهام باطِل
التواء األرض,Unevenness of the terrain,تَضاريس غير مُستوية
توارى عن األنظار,To disappear from sight,الاختفاء عن الأنظار
توافر فيه الشباب والجمال,He is richly endowed with youth and good looks,إنه مَنحُ بوفرة من الشباب والجمال
توت ُّ ر األعصاب,Nervousness,التوتر
توت ّ رت العالقات,Relations were strained,كانت العلاقات متوترة
توجّس شرّا ً من,To regard something as an evil omen,يَعُدّ شيئًا نَذير شُؤم
توحّد برأيه,To stand alone in one’s opinion,أن يَتَفَرَّد برأيه
توحّده بعنايته,"To give someone particular attention, to single out someone for one’s special care",إيلاء شخص اهتمامًا خاصًا، تخصيص شخص بعناية خاصة
توحيد الكلمة,"Unification, unanimity",توحيد، إجماع
توخ ّ ى طريقَه,"To follow a method, proceed systematically",لإتباع طريقة، التقدم بشكل منهجي
ًتوخّى غاية,"To pursue an object, have an aim in mind",لملاحقة هدف، أن يكون لديك غاية في الذهن
تورّط في,"To be embroiled, be entangled, become involved",أن يَتَوَرَّط، يَتَعَقَّد، يَتَدَخَّل
توسّع في النفقة,To incur great expenses,تَحَمُّل نَفقات كَبيرة
. . . توسُّال ً إلى,"So as to succeed by this means in, in order to get to the point where...",لكي ينجح بهذه الطريقة في، من أجل الوصول إلى النقطة التي...
ًتوسّم فيه خيرا,To see promising signs in someone,لرؤية علامات واعدة في شخص ما
توط ّ ئة الصوت,Lowering of the voice,خَفض الصَوت
توطيد السِّلم,Safeguarding peace,حِماية السَّلام
توظ ّ ف في الحكومة,To work as an official with the government,العمل كَمَسؤول مع الحكومة
توظيف األموال,Investment,استثمار
توف ّ اه هللا,God has taken him unto Himself,تَوَفّاهُ الله
توف ّ رت فيه الشروط,He fulfils the conditions,يَستَوفي الشروط
توف ّ رت فيه الصفات الالزمة,He has the necessary qualities,لديه الصفات اللازمة
ُتولا ّ ه اليأس,He was overcome by despair,غَلَبَهُ اليأس
َ تولّى الحكم,"To be in power, to seize power",أن يكون في السلطة، أن يستولي على السلطة
تول ّ ى زمام األمر,"To be in control, to seize the reins of power, assume power",أن تكون مسيطراً، أن تَستَولي على زمام السلطة، تَتَولى السلطة
ثاب إلى نفسه,To regain consciousness,استعادة الوعي
ثاب إليه رُش ْ دُه,To recover one’s sense,استعادة المرء لوعيه
ثابت الجأش,"Staunch, undismayed, fearless",ثابت، غير مُرتبك، جَريء
ثابت العزم,"Determined, firmly resolved",عازم، مُصَمِّم بحزم
ثار ثائرُه,"To fly into a rage, become furious, flare up",يَستَشيط غَضَبًا
ثار على,"To revolt, rebel, rise against",للثورة، التمرد، الانتفاض ضد
ثار في وجهه,"To be triggered, break out",لِيَتَفَجَّر، يَندَلِع
ثاقب الفكر,"Shrewd, sagacious, sharp-witted",ذكي، حكيم، ثاقب الذهن
ثاقب النظر,Sharp-eyed,حاد البصر
ًثانيا,"For the second time, once more, again",للمرة الثانية، مرة أخرى، مجددًا
ث َ بَاتا ً على,"Maintenance of something, adherence to",الحفاظ على شيء، الالتزام بـ
ثبّت بصرَه به,"To fix one’s eyes on, gaze at",يُحَدِّق في
ثبت على مِحَكِّ النظر,To stand a critical test,لِيَصمُد أمام اختبار حَرِج
ثبت في وجهه,"To hold one’s own against someone, assert oneself against someone",الصمود أمام شخص ما، إثبات الذات ضد شخص ما
ثبّت قدميه,To gain a foothold,لِيَكتَسِب موطِئ قَدَم
ثبت وجودُه,"To exist definitely, be certain, proven",أن يَكون موجودًا بالتأكيد، أن يكون مُؤَكَّدًا، مُثبَتًا
ثبوت الشهر,The official determination of the beginning of a lunar month,التحديد الرسمي لبداية الشهر القمري
الثقة بالنفس,"Confidence, self-esteem",الثقة بالنفس، احترام الذات
ثق ّ ف عُودَه,"To train, educate someone",لتدريب، تعليم شخص ما
ثق ّ ل كاهل الميزان,To burden the budget,إثقال الميزانية
ثق ّ ل كاهل َ ه,"To load, burden, encumber someone or something",لِيُحَمِّل، يُثَقِّل، يُرهِق شَخصًا أو شَيئًا
ثقي األذن,Hard of hearing,ضعيف السمع
ثقيل الدم,"Unpleasant, disagreeable (person)",شَخص غَير مَرغوب فيه
ثقيل الروح,Dull (person),بَليد
ثقيل السمع,Hard of hearing,ضعيف السمع
ثقيل الظل,"Insufferable, repugnant, unpleasant, disagreeable (person)",لا يُطَاق، مُنفِّر، غَير مَرغوب فيه، غَير مُحبَّب (شخص)
ثقيل الفهم,"Slow-witted, slow of understanding",بَليد الفَهم
ثقيل عليهم,He is a burden to them,هو عِبء عليهم
ًثَلَّ عرشا,"To topple a throne, overthrow",لإسقاط عرش، الإطاحة
ثالثة أضعافه,"Thrice as much, threefold",ثلاثة أضعاف
ث ُ الثي الزوايا,Triangular,مُثَلَّث الشكل
ث َ ل َ جَتِ السماء,"It snowed, was snowing",تَساقَطَ الثَلج، كانَ الثَلج يَتَساقَط
ث َ ل ْ مُ الصِّيت,Defamation,تَشْهِير
ُّثلمة ٌ ال تُسَد,"A gap that cannot be closed, an irreparable loss",فجوة لا يمكن سدها، خسارة لا يمكن تعويضها
(َث َ مَّ )ث َ مَّة,"There, there is",هناك
ثنى طرفَه إليه,He turned his glance on him,حَوَّل نَظَرَهُ إليه
ِث َ ن َ ى عِن َ انَ ف َ رَسِه,He galloped off,انطلق مُسرعًا
ٍ ثِنْيَا بعد ثِنْي,From time to time,من وقت لآخر
ثياب مزركشة,Embellished garments,ملابس مُزَخرَفة
ثيّبه هللا,May God reward him,جزاه الله خيراً
جاء القوم قضُّهم,All the people came,جاء جميع الناس
( جاء القوم قضيضُهم )بقضيضهم,All the people came,جاء جميع الناس
جاء ذكرُه,"The discussion turned to him, people started to talk about him",تحولت المناقشة إليه، وبدأ الناس يتحدثون عنه
جاء عقبه,He came closely after him,جاء بعده مباشرةً
جاء على قدر,He arrived just at the right time,وَصَلَ في الوقت المناسب تمامًا
جاء في عقبه جاء بعقبه,He came closely after him He came closely after him,جاء بعده مباشرة. جاء بعده مباشرة.
جاء من بغداد,He has come from Baghdad,لقد جاء من بغداد
جاء من نفسه,He came of his own accord,جاء بمحض إرادته
جاء والشمس طالعة,He arrived at sunset,وَصَلَ عِندَ الغُروب
جاء وحده,He came alone,جاء وَحدَهُ
جاءت نوبته,It was his turn,كان دَوره
(جاءني هو نفسه )بنفسه,"He himself came to me, he came personally to see me",هو نفسه جاء إليّ، جاء شخصيًا لرؤيتي.
جات يده في,"He laid his hands on, he committed defalcations of",وَضَعَ يَدَيهِ على، ارتَكَبَ اختِلاسَاتٍ من
جاد بنفسه,"To sacrifice oneself, to give up the ghost",التضحية بالنفس، تسليم الروح
جادت السماء,Heavens granted rain,مَنَحَت السَّماء المَطَر
جادت عيناه بالدمع,Tears welled from his eyes,امتلأت عيناه بالدموع
جاذب أطراف الحديث,"To talk, converse, have a conversation",للتحدث، التحاور، إجراء محادثة
َجاذبه الحبل,"To vie with someone, to be able to compete with, someone be a match for someone",لِيُنافِس شَخصًا، لِيَكون قادِرًا على المُنافَسة مَع، لِيَكون نِدًّا لِشَخصٍ ما
َ جاذبه الكالم,"He engaged him in conversation, involved him in a discussion",أشركه في محادثة، وأدخله في نقاش
( ً جاذبه أطراف الحديث )حديثا,"He engaged him in conversation, involved him in a discussion",أشركه في محادثة، وأدخله في نقاش
ُجارت به الطريق,"The way led him astray, he got off the wrong path",أضَلَّتهُ الطَريق، فَانحَرَفَ عن المَسار الصَحيح
ُجازت عليه الحِيلَة,"He fell for the trick, the trick worked with him",لقد وقع في الخدعة، لقد نجحت الخدعة معه.
جازف بنفسه,To risk one’s life,يُخاطِر بحياته
جازف به في,To plunge someone into (some adventure),يُغْمِر شَخصًا في (مُغامَرة ما)
جال الدمع في عينيه,His eyes swam in tears,عَيناهُ تَسبَحان في الدُموع
جال بباله,"To run through or go on in someone’s mind, to preoccupy someone",يَجول في ذهن شخص ما أو يشغل تفكيره
جال برأسه,"To run through or go on in someone’s mind, to preoccupy someone",يَجول في ذهن شخص ما أو يشغل تفكيره
جانب الفم,The corners of the mouth,زوايا الفم
جانب كبير من,"A great deal of, a large portion of",قَدْر كَبير مِن، جُزء كَبير مِن
جانبٌ من,"A certain degree of, a good deal of",قدر معين من، قدر كبير من
جاهد في سبيل الشيء,To fight for something,النِّضال من أجل شيء ما
جاهد في سبيل هللا,To wage jihad,لشَنّ الجِهاد
جاوز الثالثين من العمر,"He is past thirty, he is thirty plus",هو تجاوز الثلاثين، هو في الثلاثينيات من عمره.
جاؤوا بأجمعهم,All of them came,جاءوا جميعهم
جبّار الخطوة,Taking huge strides,اتخاذ خطوات كبيرة
جبّار العزمة,Of strong determination,ذو عزيمة قوية
جبر خاطرَه,"To console, comfort, oblige someone",لِتَسلية، تَسلية، إرضاء شَخص ما
جُبِل على,"To be born for, be naturally disposed to, have a propensity for",مَولود لِـ، مَيّال طَبيعياً لِـ، لَدَيه قابِليّة لِـ
جثم على صدره,"To weigh heavily on someone’s soul (problem, difficulty)",يُثْقِل على نفس شخص (مشكلة، صعوبة)
جثم في كسر بيته,"To live in seclusion, stay in one’s four walls",للعيش في عزلة، البقاء داخل أربعة جدران
جحد جميل َ ه,To be ungrateful to someone,أن تكون ناكراً للجميل تجاه شخص ما
الجد األعلى,Ancestor,سَلَف
جدّ في سيره,He strode quickly on his way,خَطا بسرعة في طريقه
جدّ في طريقه,"He strode quickly on his way, strained forward in a hurry",خَطا بسرعة في طريقه، مُندَفِعًا إلى الأمام بعجلة.
ًجدّا,"Very, much",جداً، كثيراً
جداء عن,"Advantage, gain for someone",مَنفَعة، مَكسَب لشخص ما
جدول األعمال,Agenda,جَدول أَعمال
الجديدان,Day and night,النَّهار واللَّيل
جدير بالذكر,Worth mentioning,جَدير بالذِّكر
جذبه إلى حظيرته,To bring someone under one’s influence,لإخضاع شخص لتأثيره
ِجر ّ النارَ إلى ق ُ ر ْ صِه,"To secure advantages for oneself, feather one’s nest",لتأمين المزايا لنفسه، يَجمَع الثروة لنفسه
ًجرّ جريرة,"To commit an outrage, a crime against",ارتكاب جريمة ضد
جرّ قدميه,"To drag one’s feet, have a dragging gait",يَجرّ أقدامه، يَمشي بتثاقل
ًجرّ قُيُودا,"To be in shackles, go shackled",أن يكون مُكَبَّلاً، يذهب مُكَبَّلاً
َ جرّب األيَّام,To gather experience,لاكتساب الخبرة
جرّب نفسَهُ في,To try one’s hand at,لِيُجَرِّب حَظَّه في
جرت األمور في أعِن َّ تِها,"Things took a normal course, developed as scheduled",سارت الأمور في مسارها الطبيعي وتطورت كما هو مُخطط لها.
جرت العادة بِـ,"To be customary, usual, common or current, be the vogue, be a common phenomenon, have become common practice",أن يكون معتادًا، أو شائعًا، أو جاريًا، أو رائجًا، أو ظاهرة شائعة، أو أصبح ممارسة شائعة
جرت بذلك عادتهم,"That was their habit, that’s what they used to do",تلك كانت عادتهم، هذا ما كانوا يفعلونه.
جرجر خطاه,"To drag one’s feet, shuffle along",يُماطِل أو يَجرّ قدميه ببطء
َجرّد السَّيْف,"To draw, unsheathe the sword",لِسَحب السيف، أخرِجْه من غِمدِه
جرّد من مالبسه,To undress someone,نَزع مَلابِس شَخص
جرّد نفسَه من,"To free oneself from, rid oneself of, give up something",التَخَلُّص من، التَحَرُّر من، التَخَلِّي عن شيء
جرّده من السالح,To disarm someone,نَزع سلاح شَخص ما
جَرِضَ بِريقه,"He choked on his saliva (because of excitement, alarm or grief)",اختنق بريقه (بسبب الحماس أو الذعر أو الحزن)
جرى (قام) على قدم وساق,"To become fully effective, be in full progress, be in full swing",ليُصبِح فَعّالًا بشكل كامل، يَكون في تَقدُّم كامِل، يَكون في ذُروَة النَّشاط
جرى بالعادة على,"To do something customarily, be in the habit of doing something",يَعتاد على فعل شيء
ُجرى به العمل,"To be in force, be valid, be commonly observed (law, custom)",سارٍ، نافذ، معمول به (قانون، عُرف)
جرى خلفَها,He ran after her,ركض خلفها
جرّى ريقَه,To make someone’s mouth water,يُسيل لُعاب شَخص
جرى على األلسن,"To circulate, make the rounds (rumour)",يَتَداوَل
جرى على خطة,To follow a plan,لِاتِّباع خُطَّة
ِجرى على قلمِه,To come to someone’s pen,يَخطُر على بال شخص
جرى على كل لسان,To be on everyone’s lips,أن يكون على كل لسان
جرى في غباره,To follow someone loyally,أن تَتبَع شَخصًا بِوَلاء
جرى لسانَه بِـ,"To articulate, pronounce, utter, express something",لِيُعَبِّر، يَنطِق، يُفصِح، يُعبِّر عن شيء
جرى له حديث مع,He had a talk with,أجرى حديثًا مع
جرى مجراه,To take the same course as,لِاتِّباع نفس المَسار كَما
جرى منه الشيء مجرى الدم,It had become second nature to him,أصبح ذلك طبيعة ثانية له
جريا ً على,"In accordance with, according to",وَفْقًا لـ
جريمة عظمى,Capital crime,جريمة كبرى
ًجُزَافا,"At random, haphazardly",بِشَكل عَشوائي
ًجزاك هللا خيرا,God bless you for it!,بارك الله فيك على ذلك!
َجزاه جزاء سِنِمَّار,He returned to him good for evil,رَدَّ عليه الخير بالشر
جزل الرأي,"Of sound, unerring judgement",ذو حُكم سليم ولا يَخطئ
ًجزئيّا,Partly,جُزئياً
الجزئيات والكليات,"The particular and general aspects, the minor and the major issues",الجوانب الخاصة والعامة، القضايا الصغرى والكبرى
ِجس ّ نبضَ الشيء,"To probe, sound out, try to find out something",للاستكشاف، التحري، محاولة معرفة شيء ما
جَسَّ نبضَه,To feel someone’s pulse,لِلشُعور بنَبض شَخص ما
جعل (وضع) ه ن ُ صبَ عينيه,"To direct one’s attention to..., have in view",لِتَوجيه الانتباه إلى...، يَستَهدِف
جعل زَوبَعَة ً في فنجان,To cause a tempest in a teapot,إثارة زوبعة في فنجان
جعل في صورة,"To represent something as, or in the form of something",لِتَمثيل شيء كَـ، أو في شكل شيء
جعل كل شيء فداءه,He sacrificed or gave up everything for it,ضَحَّى أو تَخَلَّى عن كُلِّ شيء من أجل ذلك
جَعَل َ ت ْ عصمتَها في يدها,"She made herself independent, she remained independent",جعلت نفسها مستقلة، وبقيت مستقلة.
جُعلت ُ فداك,"Oh, could I but sacrifice myself for you!",آه، لو أستطيع أن أضحي بنفسي من أجلك!
جعله بمنزلة,To place someone on equal footing with,لِوَضع شَخص على قَدم المُساواة مَع
جعله على طرف الث ُّ مام,"He made it readily understandable, he presented it plausibly for all",جعلها سهلة الفهم، وقدمها بشكل مقنع للجميع.
جعله في متناوَل يده,To bring or put something within someone’s reach,لجعل شيء في متناول شخص ما
جعله في متناوله,"To bring something within someone’s reach, make something attainable, available to someone",لجعل شيء في متناول شخص ما، لجعل شيء ممكن الوصول إليه، متاح لشخص ما
ًجعله قاعاً صفصفا,"To devastate something, lay something waste",يُدَمِّر شيئًا، يُخَرِّب شيئًا
جعله لقمة سائغة لِـ,To make someone an easy prey of,لجعل شخص فريسة سهلة لـ
جعله مضغة ً في األفواه,"To make someone the talk of the town, send tongues wagging about someone",لجعل شخص ما حديث المدينة، وإثارة الألسن بالحديث عنه
جعله هدفا ً لِـ,"To make someone the target or object of, expose someone to something",جعل شخص هدفًا أو موضوعًا لشيء ما، أو تعريض شخص لشيء ما
جعله يفعل,To induce someone to do,لإقناع شخص بفعل شيء
جفوة بين,"Tense or unfriendly relation, rupture",علاقة متوترة أو غير ودية، قطيعة
جُلُّ األمة,The majority of the people,غالبية الناس
جَلَّ ألوانَه,"To bring the different aspects of something, point to something, make something stand out",لإبراز الجوانب المختلفة لشيء ما، الإشارة إلى شيء، جعل شيء ما يبرز
جل شأنه,The Sublime (of God),المتعال (من أسماء الله)
جَلَّ عن الحصر,To be innumerable,أن يكون لا يُحصى
جُلُّ ما فيه,Its main contents,محتوياته الرئيسية
ِجلب النارَ لق ُ ر ْ صِه,"To feather one’s own nest, have an eye out for one’s own interest, know on which side one’s bread is buttered",يَسعى لمَصلَحَتِه الشَّخصيَّة، يُراعي مَصالِحَه، يَعرِف مِن أين تُؤكَل الكَتِف
جَل َ بَهُ معه,"To bring something along, take something along with oneself",إحضار شيء معك، أخذ شيء معك
جلس (قعد) القرصاء,To squat on one’s heels,يَجلِس القُرفُصاء
جلس على النار,He was sitting by the fire,كان جالسًا بجانب النار
جلس على قتاد,He sat on a bed of thorns,جلس على فراش من الشوك
ُجُل َّ ه,Most of it,معظمه
ًجليا,"Obviously, evidently",بِوُضوح، بِجَلاء
جلية األمر,The true state of affairs,الحالة الحقيقية للأمور
جليس األطفال,Babysitter,جَليسة أطفال
جليسُه,The man who was at the party with him,الرجل الذي كان في الحفلة معه
جليل الخطر,Momentous,هام للغاية
جَمُّ األثر,Effective,فعّال
جَمٌّ غَفِير,"Large crowd, throng",حَشد كَبير
ًجماعاتٍ وأفرادا,In groups and individually,في مجموعات وفردياً
الجماهير,The masses,الجماهير
جمة الكائنات,Everything in existence,كل شيء في الوجود
ُجمح به خيال ُ ه,His imagination ran away with him,سافَرَت به خَيالَاتُه بعيدًا
جمدت نفسُه على,"To be indifferent towards, put up with, acquiesce to",أن يكون غير مبالٍ تجاه، يتحمل، يرضخ لـ
جمدت يدُه,To be tight-fisted,أن يكون بخيلًا
(جمع )توحيد الكلمة,"Union, unanimity, joining of forces",اتحاد، إجماع، توحيد الجهود
جمع أطراف الشيء,"To give a survey or outline of something, summarise, sum up something",لتقديم مسح أو مخطط لشيء ما، تلخيص، اختصار شيء ما
جمع أطراف الشيء,"To summarise, sum up s.th, give a survey of something",لتلخيص، تلخيص شيء ما، إعطاء لمحة عامة عن شيء ما
جمع البراعة من أطرافها,"To be a highly efficient man, be highly qualified, to do an excellent job",لكي تكون رجلاً عالي الكفاءة، يجب أن تكون مؤهلاً بشكل كبير، لتقوم بعمل ممتاز.
جمع الشمل,"Union, integration",اتحاد، تكامل
َجمع القرآن,To learn or know the entire Quran by heart,حِفظ القرآن الكريم كاملاً عن ظهر قلب
جمع شَمْلَ القطيع,To round up the herd,لِجَمع القَطيع
جمع كَف َّ ه,To clench one’s hand into a fist,يَقبِض يده ليُشكِّل قبضة
جمعوا كلمتَهم على,"They decidedly unanimously to, they were unanimous about",لقد قرروا بالإجماع أن، كانوا متفقين بالإجماع على
ًجُملة,"On the whole, in general",بِشَكل عام
جملة معترضة,"Parenthetical clause, parenthesis",جملة اعتراضية، قوسان
ًجملةً وتفصيال,On the whole and in detail,بِشَكل عام وبِالتَفصيل
جمهرة الناس,The populace,السُكّان
جموع الشعب,"Masses of people, crowds",حشود من الناس، جموع
(جميع الناس )الجميع,"All men, all mankind, all people, the public at large",جميع الرجال، جميع البشر، جميع الناس، عامة الناس
ًجميعا,"Altogether, entirely",بِالكامِل
جميل التكوين,"Well-shaped, shapely",مَمشوق القَوام
ُجُنَّ جُن ُ ون ُ ه,"To get madly excited, become frantic",يَفقِد صَوابَه، يُصبِح هائجًا
جنبا ً إلى جنب,Side by side,جنبًا إلى جنب
الجنس اللطيف,The fair sex,الجنس اللطيف
الجنون فنون,"Insanity has many varieties, manifests itself in many ways",للجنون أنواع عديدة، ويظهر بطرق مختلفة.
جنى ثمرات األرض على أنها نعمة اآللهة,He reaped the fruits of the earth (accepting them) as a boon bestowed by the grace of the gods,حَصَدَ ثِمارَ الأرض (قابِلًا إياها) كَنِعمة مَنحَتها له آلهة الرَحمة
ًجنى جناية,"To commit a crime, an offence",ارتكاب جريمة، مخالفة
ًجنى ذنبا,"To commit a crime, an offence",ارتكاب جريمة، مخالفة
جنى ربحا,To make a profit,لِتحقيق رِبح
جنيه وكسور,A little over a pound,أكثر قليلاً من رطل
الجهات,"The outskirts, provinces",الأطراف، المحافظات
جهاز االلتقاط,Receiver (radio),جهاز استقبال (راديو)
الجهة المختصة,The competent authority,السلطة المختصة
جُهْدَ الطاقة,As much as possible,بقدر الإمكان
جُهدَ إِمْكانه,As much as he can,بقدر ما يستطيع
ُ ج َ ه َ د َ ج َ هْد َ ه,"To do (try) one’s utmost, make every conceivable effort",بَذْل قُصارى الجُهد، بَذْل كُل جُهد مُمكن
جُهْدَ طاقتِه,As much as he can,بقدر ما يستطيع
جُهدَ ما,To the limits of what...,إلى حدود ما...
جُهدِي,As far as I can,بقدر ما أستطيع
ًجهرا,"Publicly, loudly (in prayer)",عَلَنًا، جَهْرًا (في الصلاة)
جوانب من حياته,Episodes out of his life,حلقات من حياته
ِجي ّ د الحَب ْ ك,"Well and tightly woven, well-made",محبوك بإحكام، مصنوع بإتقان
ًجيّد جدّا,Very good (exam grade),جَيِّد جِدًّا (درجة الامتحان)
ًجيّدا,"Well, thoroughly",حَسَنًا، بِعُمق
جيش عَرِم,Huge army,جيش ضخم
حابلهم ونابلهم,"Altogether, all in a medley",بِأَجمَعِه، كُلُّه في مَزيج
حاجة ماسة,Urgent need,حاجة ماسة
الحاجة ماسة إليه,It is urgently needed,إنه مطلوب بشكل عاجل
حاجز منيع,Insurmountable barrier,حاجز لا يمكن تجاوزه
حار في أمره,"To be confused, baffled, bewildered",أن تكون مُرتَبِكًا، مُحتارًا، مُذهولًا
حاسب على نفسه,"To be careful, be on one’s guard",يَكون حَذِراً، يَكون على حَذَر
حاسة اللمس,Sense of touch,حاسة اللمس
حاسر الرأس,"Bare-headed, hatless",حاسر الرأس، بلا قبعة
حاش هلل أن تفعل,Far be it that you did it,حاشى أن تكون قد فعلت ذلك
. . . حاشا لك أن,Far be it from you that you...,حاشاك أن...
حاشا هلل,God forbid!,لا قدَّر الله!
حاشاي أن أفعل,Far be it that I do it,حاشا لي أن أفعل ذلك
الحاصل,"Briefly, in short",باختصار
الحاضر في الحاضر,"The present, at present, now",الحاضر، في الوقت الحاضر، الآن
حاضر الفكر,Quick-witted,سريع البديهة
حاضر النكتة,quick-witted,سريع البديهة
حافز على,"Incentive, stimulus, motive",حافز، مُحفِّز، دافع
حافل بِـ,"Full of, replete with, abundant, rich in content (history), much frequented (by visitors...)",مَليء بـ، مُكتَظّ بـ، وَفير، غَنيّ بالمحتوى (التاريخ)، كثير الزوّار (من قِبَل الزوّار...)
حال بين فالن وبين األمر,"To make something inaccessible to s.o, impossible for someone, to obstruct someone’s way to something",جعل شيء ما غير متاح لشخص ما، أو مستحيل لشخص ما، أو عرقلة طريق شخص ما إلى شيء ما
حال بين نفسه وبين اإلشفاق,"To deny oneself any sympathy, to resist compassion",أن يَحرِم الإنسان نفسه من أي تعاطف، أن يُقاوِم الشفقة
حال عن عهد,To withdraw from a contract,الانسحاب من عقد
ًحاال,"Presently, right way, now, at present",حاليًا، بالطريقة الصحيحة، الآن، في الوقت الحاضر
حالة الطوارئ,State of emergency,حالة الطوارئ
الحالة المعيشية,Living standard,مستوى المعيشة
حالةَ أن,Whereas,في حين أن
حالة نفسية,"State of mind, mood",الحالة النفسية، المِزاج
ًحاليا,"At present, actually",في الوقت الحالي، في الواقع
حامتِ الشبهة ُ ضدَّه,"He was suspected, suspicion fell on him",كان مَشْتَبَهًا به، وَقَعَت الشُّبْهَة عليه
حامل العَل َ م,"Standard bearer, flagman",حامل الراية
حان الوقت,"The right time has come, now is the time",حان الوقت المناسب، الآن هو الوقت
. . . حان له أن,The time has come for him to...,حان الوقت له أن...
حانت مِنِّي التفاتَة ٌ إلى,"I happened to turn around to, it just happened that my eyes fell on",صادف أنني التفتُّ، وحدث أن وقعت عيناي على
حانق على الحياة,"Weary of life, dispirited, dejected",مُنهَك من الحياة، مُحبَط، مُكتَئب
حانق على النساء,Misogynist,كاره النساء
حائر في أمره,"Confused, baffled",مُرتَبِك، مُحتار
حب االستطالع,"Curiosity, inquisitiveness",فضول، حب الاستطلاع
حب الذات,Self-love,حُبّ الذات
حب الظهور,"Ostentatiousness, love of pomp",التَفاخُر، حُب المَظاهر
حب الوطن,Patriotism,الوَطَنية
حبا ً في,In the desire to,في الرغبة في
حبا ً في االستطالع,Out of curiosity,بدافع الفضول
حبا ً لـ,Out of love for,بدافع الحب لـ
حبا ً وكرامة ً لك,For your sake and in your honour,من أجلك وبِشَرَفِك
حبال الماء,Jets of water,نَفَثات الماء
حبذا الحالُ لو فعل,"It would be nice, or he would do well, if he did it",سيكون من الجيد، أو سيكون من الأفضل له، إذا قام بذلك
. . . حبذا لو,How nice it would be if...,كم سيكون جميلاً لو...
حِبرٌ على ورق,"Mere ink on paper, of no effect",مجرد حبر على ورق، بلا تأثير
حبس عليه أنفاسَه,"To make someone catch his breath, take someone’s breath away",يَجعَل شَخصًا يَلتَقِط أنفاسَه، يُذهِل شَخصًا
حُبِس مع الشغل,He was committed to prison under hard labour,تم إيداعه في السجن مع الأشغال الشاقة
حبس نفسَهُ على,To devote oneself entirely to,يُكرِّس نفسه بالكامل لـ
حبس يدَه عن,To take (something) out from under someone’s power,لانتزاع (شيء) من تحت سُلطة شخص ما
الحبل السُّرِّي,Umbilical cord,الحَبل السُّرِّيّ
حبل الوريد,Jugular vein,الوريد الوداجي
ًحُبِّيّا,Amicably,بِوِدّ
حت ّ امَ؟,Until when?,إلى متى؟
ًحتما,"Decidedly, inevitably",بِحَزم، حَتْمًا
حتى اآلن,"Until now, hitherto, so far",حتى الآن
حتى الن َّ فَس األخير,To the last breath,حتى آخر نَفَس
حتى لو,Even if,حتى لو
