Idiom,Meaning,Meaning_trans
َأكل عليه الدهرُ وش َ رِب,"To be old and worn out, be timeworn",أن تكون قديمًا ومهترئًا، أن تكون باليًا
أكل في صحن,To eat off a plate,لتناول الطعام من الطبق
أكل من الطعام,"He ate (a little, some) of the food",أكل (القليل، بعض) من الطعام
أكله جلدُه,His skin itched,كان جلده يحك جلده
أكول,"Voracious, gluttonous",شره وشره
ًأكيدا,Certainly! Surely!,بالتأكيد! بالتأكيد!
. . . آل (انتهى) به المطاف إلى,"To end with, wind up with, he eventually got to the point where...",وفي النهاية، انتهى به المطاف، وصل في النهاية إلى النقطة التي
. . . آل األمر إلى,The long and the short of it was that...,وخلاصة الأمر أن...
. . . إال أن,Except that...,إلا أن...
(إال بشِقِّ األنفس )بشق النفس,"Only with great effort, with great difficulty, barely",فقط بجهد كبير، وبصعوبة بالغة، بالكاد
أال فانظروا,"Oh, do look! Why, look!",أوه، انظروا! لماذا، انظر!
إال ما قل وندر,"But for a few exceptions, with a few exceptions only",ولكن مع استثناءات قليلة، مع استثناءات قليلة فقط
آالم الوضع,Labour pains,آلام المخاض
ألبسة جاهزة,Ready-made clothes,الملابس الجاهزة
آلة كاتبة,Typewriter,آلة كاتبة
ألجأ أمرَه إلى,"To entrust, commit one’s cause, one’s affair to",أن يعهد المرء، ويلتزم بقضيته وشأنه إلى
َاِل ْ زَمْ ش ُ غ ْ ل َ ك,Mind your own business!,اهتم بشؤونك الخاصة!
ألزمه الحجة,"To force proof on someone, force someone to accept an argument",لفرض برهان على شخص ما، إجبار شخص ما على قبول الحجة
َألزمه الفراش,"To confine someone to bed, compel someone to stay in bed (of a disease)",إلزام شخص ما بالفراش، إجبار شخص ما على البقاء في الفراش (من مرض)
(ألزمه المالَ )بالمال,To impose the payment of a sum on someone,فرض دفع مبلغ مالي على شخص ما
ألستَ معي في أن . . .؟,Don’t you think that...?,ألا تعتقد أن...؟
ًألصق به تهمة,To raise an accusation against someone,توجيه اتهام ضد شخص ما
ًألصق لوحة,To post a placard,لنشر لافتة
ألصقه بِـ,"To attach, paste, glue something to",لإرفاق أو لصق أو لصق أو لصق شيء ما على
ألعاب الق ُ وَى,Athletics,ألعاب القوى
ألعاب رياضية,"Athletics, sports",ألعاب القوى، الرياضة
ألعاب سحرية,"Sleight of hand, magic",خفة اليد والسحر
ألعاب نارية,Fireworks,الألعاب النارية
أل ّ ف بين قلوبِهم,To reconcile people with each other,التوفيق بين الناس مع بعضهم البعض
ألفاظها بحروفها,His words literally,كلماته حرفياً
ألقى (أطلق) الحبلَ على الغارب,"To let things go, give a free hand, impose no restraint",أن تترك الأمور على عواهنها وتطلق العنان لنفسك ولا تفرض أي قيود
ألقى (ضرب) به عُرْضَ الحائط,"To undervalue, scorn, disdain, despise, reject something",التقليل من قيمة الشيء واحتقاره وازدرائه وازدرائه واحتقاره ورفضه
َألقى البيض,To lay eggs,لوضع البيض
ألقى الت َّ بِعَةَ على,To make someone or s.th responsible,جعل شخص أو أشخاص مسؤولين
ألقى الحبلَ على الغارب,"To give free rein, give a free hand, impose no restraint",أن تطلق العنان لنفسك وتطلق العنان لنفسك ولا تفرض أي قيود
ألقى الحجزَ على,To confiscate something,مصادرة شيء ما
ألقى الدرس,To recite the lesson,لتلاوة الدرس
ألقى الرعب في قلبه,"To strike terror in someone’s heart, frighten, alarm someone",لإلقاء الرعب في قلب شخص ما وإخافته وإفزاعه وإثارة ذعره
ألقى السالح,"To lay down one’s arms, capitulate, surrender",إلقاء السلاح، الاستسلام، الاستسلام، الاستسلام
ألقى السمع إليه,"To lend one’s ear to someone, listen to someone",إعارة الأذن لشخص ما، والاستماع إلى شخص ما
ألقى القبضَ على,To arrest someone,لإلقاء القبض على شخص ما
ألقى القنابل على,"To drop bombs on something, bomb something",لإسقاط القنابل على شيء ما، وقصف شيء ما
ألقى المسؤولية على,"To place the responsibility on someone, saddle someone with the responsibility",إلقاء المسؤولية على عاتق شخص ما، وتحميل شخص ما المسؤولية
ألقى المسؤولية على عاتقه,To place the responsibility on someone,إلقاء المسؤولية على شخص ما
ألقى إليه مقاليد األمور,"To entrust someone with management, put someone in charge",تكليف شخص ما بالإدارة وتعيين شخص ما مسؤولاً عن الإدارة
( ألقى باال ً لِـ )إلى,To pay attention to,للانتباه إلى
ألقى بزمامه إلى فالن,"To lay one’s fate in someone’s hands, entrust someone’s arms",أن يضع المرء مصيره بين يدي شخص ما، ويضعه بين يدي شخص ما
ألقى بنفسه في,"To throw oneself into, plunge into",إلقاء النفس، الانغماس في، الانغماس في
ألقى بنفسه في أحضانه,To throw oneself into s.o’s arms,أن يرمي المرء نفسه بين ذراعي س.و.
ألقى بيانا ً عن,To make a statement about or on,للإدلاء ببيان حول أو عن
ألقى بيده إلى,"To surrender to someone, give oneself up to someone",الاستسلام لشخص ما، تسليم النفس لشخص ما
ألقى خطابا ً على,To make a public address to,لإلقاء خطاب عام إلى
ًألقى علوما,To teach sciences,لتدريس العلوم
ًألقى على عاتقه شيئا,"To impose something on someone, hold someone responsible for",فرض شيء ما على شخص ما، تحميل شخص ما مسؤولية
ألقى عليه القول,"To dictate to someone, to direct, instruct someone, give someone instructions",أن تملي على شخص ما، أن توجه شخصًا ما، أن ترشد شخصًا ما، أن تعطي تعليمات لشخص ما
ألقى عليه جِرانَه,"To apply oneself to something adjust to it, accustom oneself to it",أن يطبق المرء نفسه على شيء ما ويتأقلم معه ويعوّد نفسه عليه
ًألقى عليه سؤاال,"To put a question to someone, ask someone a question",لطرح سؤال على شخص ما، اطرح سؤالاً على شخص ما
ألقى عليها كلمة الطالق,He pronounced the formula of divorce against her,نطق بصيغة الطلاق عليها
ًألقى كلمة,"To make a speech, give a public address",إلقاء خطاب، إلقاء خطاب عام
ألقى محاضرة,"To give a lecture, hold a class",لإلقاء محاضرة، عقد فصل دراسي
ألقى مقاليد أمره إلى فالن,"To lay one’s fate in someone’s hands, entrust someone’s arms",أن يضع المرء مصيره بين يدي شخص ما، ويضعه بين يدي شخص ما
ألم؟,Not... though?,لا... رغم ذلك؟
ألم أقل لكم؟,"Haven’t I told you, though?",ألم أخبرك من قبل؟
ألم يأن,"It is high time, isn’t it about time",لقد حان الوقت المناسب، ألم يحن الوقت المناسب
ألمعي,"Sagacious, smart, shrewd",شجاع، ذكي، فطن، داهية
ألهج لسانه بالشكر,To elicit profuse thanks from,لتوجيه الشكر الجزيل من
ألوان األطعمة,All kinds of food,جميع أنواع الطعام
( العلم- ألوى )الراية,To hoist (a flag),رفع (علم)
ألوى (ه) عن,To avert something from,لتجنب شيء من
ألوى بيده,To wave one’s hand,التلويح باليد
(ألوى عنان الشيء )عن,"To avert, prevent, restrain something from",لتجنب أو منع أو تقييد شيء ما من
إلى أبعد الغايات,To the nth degree,إلى الدرجة التاسعة
إلى أجل غير مسمى,"For an indefinite period, until further notice",لفترة غير محددة، حتى إشعار آخر
(إلى آخره )إلخ,And so forth...,وهكذا دواليك...
إلى أقصى حد,"To the extreme limit, to the utmost, as far as possible",إلى أقصى حد، إلى أقصى حد، بقدر الإمكان
إلى الخارج,"Outward, to the outside, abroad",إلى الخارج، إلى الخارج، إلى الخارج
إلى الخلف,"To the back, at the back",إلى الخلف، في الخلف
إلى اللقاء,Goodbye! So long! Au revoir!,وداعاً! إلى اللقاء! !إلى اللقاء
إلى الملتقى,Goodbye! So long! Au revoir!,وداعاً! إلى اللقاء! !إلى اللقاء
إلى النهاية,To the end,إلى النهاية
إلى الوراء,Backward,إلى الوراء
إلى أي حد,"How far, to what degree or extent",إلى أي مدى وإلى أي درجة أو مدى
إلى باكر,Till tomorrow,حتى الغد
إلى ثالثة أمثاله,Up to three times as much,ما يصل إلى ثلاثة أضعاف
إلى جانبه,"To him, to his address",إليه، إلى عنوانه
إلى جِواره,"Beside him, at his side",بجانبه وإلى جانبه
إلى حد,"Until, up to, to the extent of",حتى، حتى، إلى حد
إلى حد اآلن,"Up to now, so far",حتى الآن، حتى الآن
إلى حد بعيد,"To a considerable extent or degree, extensively",إلى حد كبير أو بدرجة كبيرة، على نطاق واسع
إلى حد كبير,"To a considerable extent or degree, extensively",إلى حد كبير أو بدرجة كبيرة، على نطاق واسع
إلى حد ما,To a certain degree,إلى حد ما
إلى حيث,"Where (direction), to where..., to the place where...",أين (الاتجاه)، إلى أين...، إلى المكان الذي...
إلى حين,"For some time, meanwhile, for the time being",لبعض الوقت، في هذه الأثناء، في الوقت الحالي
إلى خلف الشيء,In the wake of something,في أعقاب شيء ما
. . . آلى على نفسه أن,He promised himself that he...,لقد وعد نفسه بأنه...
إلى غير حد,"Boundless, unlimited, without limits",بلا حدود، بلا حدود، بلا حدود
إلى غير عَودة,"Never to return again, forever, good riddance! Farewell forever!",لن أعود مرة أخرى، إلى الأبد، بئس المصير! وداعاً إلى الأبد!
إلى غير نهاية,"Ad infinitum, to infinity",إلى ما لا نهاية، إلى ما لا نهاية
إلى قيامة الساعة,"Till doomsday, forever and ever, in perpetuity, for all time to come",حتى يوم القيامة، إلى أبد الآبدين، وإلى أبد الآبدين، وإلى أبد الآبدين، وإلى أبد الآبدين
إلى م؟,Whereto? Which way? Where?,إلى أين؟ أي طريق؟ إلى أين؟
إلى ما شاء هللا؟,Whereto? Which way? Where?,إلى أين؟ أي طريق؟ إلى أين؟
إلى ما ال نهاية له,"Endlessly, ad infinitum",إلى ما لا نهاية، إلى ما لا نهاية
إلى متى؟,Till when? How long?,إلى متى؟ إلى متى؟
إلى مدى بعيد,At a great distance,على مسافة كبيرة
إلى هنا,"Here, over here, to this place, up to this point, so far",هنا، هنا، إلى هذا المكان، إلى هذا المكان، حتى هذه النقطة، حتى الآن
إلى هناك,"There, over there, to that place",هناك، هناك، إلى ذلك المكان
أليس كذلك؟,Isn’t that so?,أليس كذلك؟
!إليك عني,Away of me!,ابتعد عني!
أم القرآن,Chapter 1 of the Qur’an,السورة 1 من القرآن الكريم
أم الكتاب,Chapter 1 of the Qur’an,السورة 1 من القرآن الكريم
أما األمر كذلك,"Things being as they are, there will, no doubt",وبما أن الأمور كما هي، فلا شك أنه سيكون هناك
أما بعد,"Now then, to proceed",والآن، للمتابعة
أمَا حان لهم أن يفهموا؟,Haven’t they understood yet...?,ألم يفهموا بعد...؟
!أما عني فال,"As far as I am concerned, no!",على حد علمي، لا!
أماط اللثام عن,"To disclose, uncover, reveal something, bring something to light",الكشف عن، كشف، كشف، كشف شيء ما، إبراز شيء ما إلى النور
أماكن اللهو,Places of entertainment,أماكن الترفيه
أماكن المتعة,Recreation centres,مراكز الاستجمام
أماكن وَعِرة,"Difficult terrain, rugged country",تضاريس صعبة وبلد وعرة
آمت من زوجها,"To lose one’s husband, become or be a widow",أن يفقد المرء زوجه، أو يصبح أو تصبح أرملة
امتحن معدِنَه,To probe into someone’s very nature,للتنقيب في طبيعة شخص ما
األمتعة الشخصية,Personal belongings,المتعلقات الشخصية
امتلك نواصي الشيء,"To be master of something, rule over something",أن تكون سيدًا على شيء ما، تحكم في شيء ما
األمثال السائرة,Proverbs,الأمثال
أمثاله,"People like him, people of his kind",أشخاص مثله، أشخاص من نوعه
أمد (هللا) بأجله,To grant someone another respite in this life (of God),أن يمنح شخص ما راحة أخرى في هذه الحياة الدنيا (من الله)
أمد الحياة,Life expectancy,متوسط العمر المتوقع
األمر المقضي,"Accomplished fact, fait accompli",حقيقة منجزة، أمر واقع، أمر واقع
اآلمر الناهي,"Absolute master, vested with unlimited authority",سيد مطلق، مخول بسلطة غير محدودة
األمر الواقع,The accomplished fact,الحقيقة المنجزة
أمر عجب,"A wonderful, marvellous thing",شيء رائع ورائع
أمر فقتلوه,He ordered him to be killed,أمر بقتله
أمر ال يؤبه له,"An insignificant, unimportant matter",مسألة تافهة وغير مهمة
أمر لم يَخ ْ طِرْ ببال,"An unexpected matter, something one wouldn’t dream of",أمر غير متوقع، أمر لا يحلم به أحد
أمر من األمور,"S.th. or other, some affair, some business",س. ث. أو غيرها، بعض العلاقات، بعض الأعمال
أمر نافذ,Strict order,ترتيب صارم
أمر نظرَه على,"To let one’s eye’s wander over, to pass one’s glance over",أن يترك المرء عينيه تتجول في المكان، أن يمرر نظره على
األمر واضح وضوحَ الشمس في رابعة النهار,The matter is clear as daylight,الأمر واضح وضوح الشمس في وضح النهار
أمس األول,Day before yesterday,أول من أمس
أمسك أنفاسَه,To hold one’s breath,أن يحبس المرء أنفاسه
أمسك بيده,To take someone by the hand,أن تأخذ بيد شخص ما
أمسك على نفسه,"To keep, retain",الاحتفاظ، والاحتفاظ
أمسِكْ عليك,Keep...!,احتفظ بـ...!
أمسك لسانه,To keep one’s tongue in check,ضبط اللسان
ًأمسك نفسَه واقفا,To hold oneself upright,أن يمسك المرء نفسه في وضع مستقيم
أمسك يده,To take someone’s hand,أن تأخذ بيد شخص ما
أمسكت عن الصدور,"To stop publication, fold up (newspaper)",لإيقاف النشر، قم بطي (الصحيفة)
أمضى أمرَه على,"To throw one’s full support behind something, endorse something wholeheartedly",تقديم الدعم الكامل لشيء ما، أو تأييد شيء ما بكل إخلاص
أمطر بوابل من,"He showered him with a hail of, with a flood of",أمطره بوابل من، مع فيضان من
أمطر عليه وابال ً من,"He showered him with a hail of, with a flood of",أمطره بوابل من، مع فيضان من
أمطر عليه وابال ً من الشتم,"To shower someone with a flood of abuse, to hurl abuse at someone",أن تمطر شخصًا ما بوابل من الإساءات، أن تقذف شخصًا ما بالإساءات
أمطره وابال ً من الرصاص,To shower someone with a hail of bullets,لإمطار شخص ما بوابل من الرصاص
إمعان النظر,"Close examination, careful study, scrutiny",الفحص الدقيق والدراسة المتأنية والتدقيق والتمحيص
أمعن النظر فيه,"To fix one’s eyes on something, regard something attentively, examine something closely, scrutinise something",تثبيت العين على شيء ما، والنظر إلى شيء ما باهتمام، وفحص شيء ما عن كثب، والتدقيق في شيء ما
أمل كاذب,False hope,الأمل الكاذب
أمِنَ جانبُه,To be safe from,لتكون في مأمن من
أموال سخية,Ample funds,أموال وفيرة
أمير اللواء,Brigadier general,عميد
آن األوان,"It is time, the time has come",لقد حان الوقت، لقد حان الوقت
ُإن الحديد بالحديد يُفل َ ح,Rudeness must be met with rudeness,الفظاظة يجب أن تُقابل بالفظاظة
إن حسُن لديك,"If you like, if it seems all right to you",إذا كنت ترغب في ذلك، إذا بدا لك الأمر مناسبًا لك
إِنّ ربي لسميع الدعاء,Truly my Lord hears the prayer,حَقًّا إِنَّ رَبِّي لَسَمِيعُ الدُّعَاءِ
إن شاء هللا,God willing,إن شاء الله
ٍ إن ضلوعي ال تنحني على ض ِ غْن,"I harbour no grudge, I feel no resentment",أنا لا أحمل أي ضغينة ولا أشعر بأي استياء
إن كانت األخرى,Otherwise,غير ذلك
. . . آن له أن,It’s time for him to...,لقد حان الوقت لكي...
ًإن لهذا الرجل شأنا,"There is a man to keep an eye on, this is an important man, there is something about this man!",هناك رجل يجب مراقبته، هذا رجل مهم، هناك شيء ما حول هذا الرجل!
أنا اآلخر,"I also, me too",أنا أيضًا أنا أيضًا
أنا طوعَ بنانك,"I am at your disposal, I am at your service",أنا تحت تصرفكم، أنا في خدمتكم
. . . ّ أنا على يقينِ (من) أن,"I am convinced, I am positive, I am certain that...",أنا مقتنع، أنا متأكد، أنا متأكد، أنا متأكد من أن...
أنا في جَناحِه,I am under his protection,أنا تحت حمايته
َأنا في عِرْضِك,"I rely on your generosity, have mercy upon me!",أنا أعتمد على كرمك، ارحمني برحمتك!
أنا كمسلم,I (in my capacity) as a Muslim,أنا (بصفتي) كمسلم
آناء الليل وأطراف النهار,By day and night,ليلاً ونهاراً
أناب إلى هللا,To turn repentantly to God,الرجوع تائبًا إلى الله
أناخ عليه البؤس بكلكله,"To be in great distress, be in a great plight",أن تكون في محنة كبيرة، أن تكون في محنة كبيرة
أناطه بشرط,To make something dependent (or subject to) a condition,لجعل شيء ما تابعًا (أو خاضعًا) لشرط ما
أناطه بعهدته,To entrust someone with the responsibility for something,تكليف شخص ما بمسؤولية شيء ما
ُانبثق الفجر,Dawn broke,بزوغ الفجر
..أنت في حِلٍّ من,"You’re free to..., you may readily...",أنت حر في...، يمكنك بسهولة....
أنت في ضيافتي,You are my guest,أنت ضيفي
أنت في نَفَس من أمرك,You can do as you please!,يمكنك أن تفعل ما يحلو لك!
أنت ملء حياتي,You are all my life,أنت كل حياتي
أنت وشأنَك,Do as you like,افعل ما يحلو لك
ًانتحر شَنقا,"To hang oneself, commit suicide by hanging",شنق النفس، الانتحار شنقاً
انتحل (ه) لنفسه,To claim for oneself (something),أن يدعي لنفسه (شيئًا ما)
انتحل اسمَه,To assume someone’s name,انتحال اسم شخص ما
َ انتحل اإلسالم,To profess Islam,اعتناق الإسلام
انتحل األعذار,"To think up excuses, make excuses, use subterfuges",اختلاق الأعذار، واختلاق الأعذار، واستخدام الحيل
انتحل األعرابية,To claim to be a Bedouin,الادعاء بأنك بدوي
انتحل شخصيةَ فالن,"To impersonate someone, to pass oneself off as someone, purport to be",انتحال شخصية شخص ما، أو انتحال صفة شخص ما، أو الادعاء بأنه شخص آخر
ًانتحى جانبا,"To step back, withdraw",التراجع، والانسحاب
ًانتحى ناحية,To turn aside,للتنحي جانباً
انتشق الهواء,To get some fresh air,لاستنشاق بعض الهواء النقي
َ انتصب الحكم,To sit in judgement,للجلوس للحكم
. . . انتظر الشيء الكبير من,To expect much of...,أن تتوقع الكثير من...
انتظر من ورائه كل خير,To set the greatest expectations in something,وضع أكبر قدر من التوقعات في شيء ما
ًانتظم صفوفا,To line up in rows or files,للاصطفاف في صفوف أو ملفات
ُ انتفخ س َ حر ُ ه,His lungs became inflated (out of fear or pride),انتفخت رئتاه (من الخوف أو الكبرياء)
انتفخت أوادجه,"He became furious, he became inflated with pride",لقد استشاط غضبًا، وانتفخ كبرياءه
انتفخت مساحره,His lungs became inflated (out of fear or pride),انتفخت رئتاه (من الخوف أو الكبرياء)
ًانتفض واقفا,"To jump up, jump to one’s feet",القفز إلى أعلى، القفز على القدمين
انتقص من قدره,"To disparage someone, detract from someone, degrade someone",الاستخفاف بشخص ما، أو الانتقاص من شخص ما، أو الحط من قدر شخص ما
انتقل إلى جوار ربه,"To die, pass away",أن تموت وتموت
انتقل إلى رحمة هللا,To die,للموت
انتقل به إلى,"To shift, translocate, relocate something",لتحويل أو نقل أو نقل أو نقل شيء ما
انتقل من النقيض إلى نقيضه,"To go from one extreme to the other, move in extremes",للانتقال من النقيض إلى النقيض الآخر، تحرك في النقيضين
انتهاز الفرص,Opportunism,الانتهازية
انتهاك الحرمة,Sacrilege,تدنيس المقدسات
انتهاك العورة,Offence involving moral turpitude,الجرائم التي تنطوي على فساد أخلاقي
(انتهب الطريقَ )إلى,To cover the distance quickly or at tremendous speed,لقطع المسافة بسرعة أو بسرعة هائلة
انتهج سبيل َ ه,"To follow someone’s example, follow someone’s footsteps, imitate someone",أن تحذو حذو شخص ما، وتتبع خطى شخص ما، وتقلد شخص ما
انتهز الفرصة,"To seize the opportunity, avail oneself or take advantage of the opportunity",لاغتنام الفرصة أو الاستفادة من الفرصة أو الاستفادة منها
انتهزه فرصة ً لِـ,To use something as an opportunity for...,استخدام شيء ما كفرصة لـ...
. . . انتهى األمر إلى أن,"The upshot was that..., the long and short of it was that...",وكانت النتيجة أن...، خلاصة الأمر أن...
. . . انتهى إلى أن,"To come to the point where..., result in",للوصول إلى النقطة التي...، ينتج عنها
. . . انتهى به األمر إلى أن,He got to the point where...,وصل إلى النقطة التي...
أنجب منها,He had children by her,كان لديه أبناء منها
انجرّ إلى الوراء,"To withdraw, fall back, give way",الانسحاب، التراجع، التراجع، إفساح المجال
أنحا بصرَهُ عن,To avert one’s eyes from,أن يغض المرء بصره عن
انحرف به عن,"To turn someone away from, to dissuade someone from",لإبعاد شخص ما عن، لإثناء شخص ما عن
انحرف مزاجُه,"To be indisposed, be ill",أن تكون متوعكاً، مريضاً
انحصر تحت حكمه,To be or become united under someone’s rule,أن تكون أو تصبح متحداً تحت حكم شخص ما
انخرام في التوازن,Disturbance of equilibrium,اختلال التوازن
انخرط في البُكاء,To break into tears,أن تجهش بالبكاء
انخرط في سلك,"To enter, join an organisation, a community",للدخول، انضم إلى منظمة أو مجتمع
انخلع قلبُه,"He was completely taken aback, he was alarmed, startled",كان مندهشًا تمامًا، كان مذعورًا ومذهولًا
أندر من الغرب األعصم,Rarer than a white-footed crow (proverbially of something rare),أندر من غراب أبيض القدمين (يضرب به المثل في ندرة الشيء)
اندفع إلى األمام,To rush to the front,الاندفاع إلى الأمام
(إنذار نهائي )بالغ نهائي,Ultimatum,الإنذار الأخير
أنذره بتسليم منزله,He gave him notice to vacate the premises,أعطاه إشعارًا بإخلاء المبنى
انزعج من,To be annoyed by,أن تنزعج من
أنزل (ه) إلى البر,"To take ashore from a vessel, land, disembark",النزول من السفينة إلى الشاطئ، الهبوط، النزول من السفينة
أنزل إلى البحر,To launch a ship,لإطلاق سفينة
أنزل به خسارة فادحة,To inflict a heavy loss on someone,إلحاق خسارة فادحة بشخص ما
ّانزالق أرضي,Landslide,الانهيار الأرضي
انزلق على الثلج,To slide on the snow,للانزلاق على الثلج
أنزله منزلة فالن,He gave him the same status as,أعطاه نفس مكانة
أنزلوهم ضيوفا ً عليهم,They took them in as guests,استقبلوهم كضيوف
أنِسَ به,To like someone’s company,الإعجاب بصحبة شخص ما
َآنس فيه الكفاية,He saw that he was a capable man,رأى أنه كان رجلًا قديرًا
أنِسَ لحديثه,To like to listen to someone,أن تحب الاستماع إلى شخص ما
انسحاق القلب,"Contrition, penitence, repentance",الندم والندم والتوبة والتوبة
انسرح يفك ّ ر,"To be in deep thought, be absent- minded, allow one’s thoughts to wander",أن تكون في تفكير عميق، أن تكون شارد الذهن، أن تسمح لأفكارك بالتجول
انسرى عنه,"To leave someone (in grief, sorrow, fear and the like)",ترك شخص ما (في الحزن والأسى والخوف وما شابه ذلك)
انشرح خاطره,"To be or become happy, rejoice",أن تكون أو تصبح سعيدًا أو تفرح
انشرح صدرُه,"To be gladdened, be pleased, be cheered, be happy, rejoice",أن تفرح، أن تسعد، أن تسعد، أن تبتهج، أن تفرح، أن تفرح، أن تبتهج
انشق عن,To be a schismatic,أن تكون منشقاً
انشقت عصاهم,"They fell out (with one another), broke with one another",اختصموا (مع بعضهم البعض)، وانفصلوا عن بعضهم البعض
انشقت مرارت ُ ه,"He exploded (with anger), he blew his top",انفجر (بغضب)، انفجر (بغضب)، انفجر في قمته
ًانشقت مرارته غيظا,He burst with anger,انفجر من الغضب
انصرف إلى شأنه,He left to do his work,غادر للقيام بعمله
انصرف إلى نفسه,"To withdraw by oneself, isolate oneself",أن ينسحب المرء من تلقاء نفسه، ويعزل نفسه بنفسه
انصرف يفعل,"To set about to do something, proceed to do something",الشروع في القيام بشيء ما، الشروع في القيام بشيء ما
انضوى (إلى) تحت لوائه,"To rally, flock around or under someone’s banner",أن تحتشد أو تتجمع حول أو تحت راية شخص ما
انطلق لسانه على,To utter words against,التلفظ بكلمات ضد
انطلق لغايته,To head or set out for one’s destination,التوجه أو الانطلاق إلى الوجهة المقصودة
ًانطلق مسرعا,"He went quickly, rushed away, dashed off",ذهب مسرعًا، وانطلق مسرعًا، واندفع بعيدًا
انطلق وجهه,"His face brightened, became cheerful",أشرق وجهه، وأصبح مبتهجًا
انطلق يجري,He set out in a hurry,انطلق في عجلة من أمره
انطوى على نفسه,"To withdraw within oneself, be self- centred, be introverted",الانطواء على الذات، والتركيز على الذات، والانطواء على الذات
ا ُ نظ ُ ر بعدَه,See below,انظر أدناه
َ اُنظُر ظهره,"See reverse, please turn over",انظر إلى الخلف، يُرجى التقليب
أنعم هللا صاحبَك,Good morning,صباح الخير
أنعم النظر في,"To look closely at, scrutinise something, become engrossed in",النظر عن كثب، والتدقيق في شيء ما، والانهماك فيه
انفتحت ميازيب السماء,The heavens opened their gates,فتحت السماوات أبوابها
انفتل من الباب,To slip out the door,للتسلل خارج الباب
انفرط عقدُهم,"They broke up, they parted company, they dissolved",انفصلوا، افترقوا، افترقوا، افترقوا، انحلوا
انفسحت لي األوقات,I had plenty of time,كان لدي متسع من الوقت
انفطر بالبكاء,To break into tears,أن تجهش بالبكاء
انقباض الصدر,"Depression, low spirits, gloom",الاكتئاب وانخفاض الروح المعنوية والكآبة
انقباض القلب,"Dejectedness, despondency, depression",الاكتئاب واليأس والقنوط والاكتئاب
انقبض صدرُه,"To be dejected, dispirited, depressed",أن تكون مكتئبًا، محبطًا، محبطًا، مكتئبًا
انقطاع التيار,Power shutdown,إيقاف تشغيل الطاقة
انقلب إلى الهجوم,To take the offensive,اتخاذ موقف الهجوم
انقلب ظهرا ً لبطن,To be turned topsy-turvy,أن تنقلب رأساً على عقب
انكاب على,"Devotion, dedication, occupation, pursuit of",الإخلاص والتفاني والانشغال والسعي وراء
إنكار الذات,"Self-denial, selflessness, unselfishness",إنكار الذات، ونكران الذات، والإيثار وعدم الأنانية
إنكار لجميله,Ingratitude towards someone,نكران الجميل تجاه شخص ما
انكب على قدميه,To throw oneself at someone’s feet,أن يرمي المرء نفسه عند قدمي شخص ما
انكب على وجهه,To throw oneself down,إلقاء النفس على الأرض
أنكر ذاتَه,To deny oneself,إنكار الذات
أنكر نفسَه,To harbour self-doubts,لإيواء الشكوك الذاتية
أنكرت ُ أني أراه,I pretended not to see him,تظاهرت بعدم رؤيته
انكسار القلب,"Dejectedness, despondency, contrition",الاكتئاب والقنوط والندم واليأس والندامة
انكسرت ساقه,He broke his leg,كسر ساقه
انكمش على نفسه,"To collect one’s thoughts, gather one’s strength, concentrate",أن يجمع المرء أفكاره، ويستجمع قواه، ويركز
ِإنه ليس من تلك الحَل ْ بَة,"He is not made for that, he doesn’t belong there, it is not in his line",إنه ليس مهيأً لذلك، فهو لا ينتمي إلى هذا المكان، فهو ليس من اختصاصه
ُإنه نِعمَ الخليل,He is a wonderful friend indeed!,إنه صديق رائع بالفعل!
أنوار كشافة,Searchlight,ضوء البحث
أنَى له أن,"It is high time, isn’t it about time",لقد حان الوقت المناسب، ألم يحن الوقت المناسب
أهانه في وجهه,To insult someone to his face,إهانة شخص ما في وجهه
َاِهْتَبِلْ هَبَل َ ك,Watch out for your own interests! Take care of your own affairs! Mind your own business!,انتبه لمصالحك الخاصة! اهتم بشؤونك الخاصة! اهتم بشؤونك الخاصة!
اهتز إليه قلبه,To be elated by something,أن تكون مبتهجاً بشيء ما
ًاهتز فرحا,To tremble with joy,أن ترتجف من الفرح
اهتزت جنبات ُ ه,To be shaken in every joint,أن تهتز في كل مفصل
اهجأ جوعه,To appease someone’s hunger,لتهدئة جوع شخص ما
اهطع في العدو,To run fast,الجري بسرعة
أهل الخير,Decent folk,قوم محترمون
أهل الرأي,Experts,الخبراء
أهل الشرك,"The polytheists, the idolators",المشركون، عبدة الأوثان
أهل الكتاب,"The People of the Book, the Christians and Jews",أهل الكتاب من النصارى واليهود والمسيحيين
أهل اللغة,"Philologists, lexicographers",علماء اللغة والمعجميون
أهل المدَر والوَبَر,"The tent-dwellers and the city- dwellers, the nomads and the sedentary population",سكان الخيام وسكان المدن، البدو الرحل والسكان المستقرين
أهل النظر,"Theorists, speculative thinkers",المنظرون والمفكرون التأمليون
أهل الوجاهة,The notables,الأعيان
أهل أهلها,You are the right person for it,أنت الشخص المناسب لذلك
أهل زمانه,His contemporaries,معاصروه
أهلك الحرث والنسل,"To destroy lock, stock and barrel",لتدمير القفل والمخزون والبرميل
أهمل شأنه,He neglected him,أهمله
أهون الشرين,The lesser evil,أهون الشرور
أهوى بيده إلى,"To stretch out one’s hand for, reach out for",أن يمد المرء يده ل، يمد يده من أجل، يمد يده ل
