Idiom,Meaning
(إلى آخره )إلخ,And so forth...
إلى أقصى حد,"To the extreme limit, to the utmost, as far as possible"
إلى الخارج,"Outward, to the outside, abroad"
إلى الخلف,"To the back, at the back"
إلى اللقاء,Goodbye! So long! Au revoir!
إلى الملتقى,Goodbye! So long! Au revoir!
إلى النهاية,To the end
إلى الوراء,Backward
إلى أي حد,"How far, to what degree or extent"
إلى باكر,Till tomorrow
إلى ثالثة أمثاله,Up to three times as much
إلى جانبه,"To him, to his address"
إلى جِواره,"Beside him, at his side"
إلى حد,"Until, up to, to the extent of"
إلى حد اآلن,"Up to now, so far"
إلى حد بعيد,"To a considerable extent or degree, extensively"
إلى حد كبير,"To a considerable extent or degree, extensively"
إلى حد ما,To a certain degree
إلى حيث,"Where (direction), to where..., to the place where..."
إلى حين,"For some time, meanwhile, for the time being"
إلى خلف الشيء,In the wake of something
. . . آلى على نفسه أن,He promised himself that he...
إلى غير حد,"Boundless, unlimited, without limits"
إلى غير عَودة,"Never to return again, forever, good riddance! Farewell forever!"
إلى غير نهاية,"Ad infinitum, to infinity"
إلى قيامة الساعة,"Till doomsday, forever and ever, in perpetuity, for all time to come"
إلى م؟,Whereto? Which way? Where?
إلى ما شاء هللا؟,Whereto? Which way? Where?
إلى ما ال نهاية له,"Endlessly, ad infinitum"
إلى متى؟,Till when? How long?
إلى مدى بعيد,At a great distance
إلى هنا,"Here, over here, to this place, up to this point, so far"
إلى هناك,"There, over there, to that place"
أليس كذلك؟,Isn’t that so?
!إليك عني,Away of me!
أم القرآن,Chapter 1 of the Qur’an
أم الكتاب,Chapter 1 of the Qur’an
أما األمر كذلك,"Things being as they are, there will, no doubt"
أما بعد,"Now then, to proceed"
أمَا حان لهم أن يفهموا؟,Haven’t they understood yet...?
!أما عني فال,"As far as I am concerned, no!"
أماط اللثام عن,"To disclose, uncover, reveal something, bring something to light"
أماكن اللهو,Places of entertainment
أماكن المتعة,Recreation centres
أماكن وَعِرة,"Difficult terrain, rugged country"
آمت من زوجها,"To lose one’s husband, become or be a widow"
امتحن معدِنَه,To probe into someone’s very nature
األمتعة الشخصية,Personal belongings
امتلك نواصي الشيء,"To be master of something, rule over something"
األمثال السائرة,Proverbs
أمثاله,"People like him, people of his kind"
أمد (هللا) بأجله,To grant someone another respite in this life (of God)
أمد الحياة,Life expectancy
األمر المقضي,"Accomplished fact, fait accompli"
اآلمر الناهي,"Absolute master, vested with unlimited authority"
األمر الواقع,The accomplished fact
أمر عجب,"A wonderful, marvellous thing"
أمر فقتلوه,He ordered him to be killed
أمر ال يؤبه له,"An insignificant, unimportant matter"
أمر لم يَخ ْ طِرْ ببال,"An unexpected matter, something one wouldn’t dream of"
أمر من األمور,"S.th. or other, some affair, some business"
أمر نافذ,Strict order
أمر نظرَه على,"To let one’s eye’s wander over, to pass one’s glance over"
األمر واضح وضوحَ الشمس في رابعة النهار,The matter is clear as daylight
أمس األول,Day before yesterday
أمسك أنفاسَه,To hold one’s breath
أمسك بيده,To take someone by the hand
أمسك على نفسه,"To keep, retain"
أمسِكْ عليك,Keep...!
أمسك لسانه,To keep one’s tongue in check
ًأمسك نفسَه واقفا,To hold oneself upright
أمسك يده,To take someone’s hand
أمسكت عن الصدور,"To stop publication, fold up (newspaper)"
أمضى أمرَه على,"To throw one’s full support behind something, endorse something wholeheartedly"
أمطر بوابل من,"He showered him with a hail of, with a flood of"
أمطر عليه وابال ً من,"He showered him with a hail of, with a flood of"
أمطر عليه وابال ً من الشتم,"To shower someone with a flood of abuse, to hurl abuse at someone"
أمطره وابال ً من الرصاص,To shower someone with a hail of bullets
إمعان النظر,"Close examination, careful study, scrutiny"
أمعن النظر فيه,"To fix one’s eyes on something, regard something attentively, examine something closely, scrutinise something"
أمل كاذب,False hope
أمِنَ جانبُه,To be safe from
أموال سخية,Ample funds
أمير اللواء,Brigadier general
آن األوان,"It is time, the time has come"
ُإن الحديد بالحديد يُفل َ ح,Rudeness must be met with rudeness
إن حسُن لديك,"If you like, if it seems all right to you"
إِنّ ربي لسميع الدعاء,Truly my Lord hears the prayer
إن شاء هللا,God willing
ٍ إن ضلوعي ال تنحني على ض ِ غْن,"I harbour no grudge, I feel no resentment"
إن كانت األخرى,Otherwise
. . . آن له أن,It’s time for him to...
ًإن لهذا الرجل شأنا,"There is a man to keep an eye on, this is an important man, there is something about this man!"
أنا اآلخر,"I also, me too"
أنا طوعَ بنانك,"I am at your disposal, I am at your service"
. . . ّ أنا على يقينِ (من) أن,"I am convinced, I am positive, I am certain that..."
أنا في جَناحِه,I am under his protection
َأنا في عِرْضِك,"I rely on your generosity, have mercy upon me!"
أنا كمسلم,I (in my capacity) as a Muslim
آناء الليل وأطراف النهار,By day and night
أناب إلى هللا,To turn repentantly to God
أناخ عليه البؤس بكلكله,"To be in great distress, be in a great plight"
أناطه بشرط,To make something dependent (or subject to) a condition
أناطه بعهدته,To entrust someone with the responsibility for something
ُانبثق الفجر,Dawn broke
..أنت في حِلٍّ من,"You’re free to..., you may readily..."
أنت في ضيافتي,You are my guest
أنت في نَفَس من أمرك,You can do as you please!
أنت ملء حياتي,You are all my life
أنت وشأنَك,Do as you like
ًانتحر شَنقا,"To hang oneself, commit suicide by hanging"
انتحل (ه) لنفسه,To claim for oneself (something)
انتحل اسمَه,To assume someone’s name
َ انتحل اإلسالم,To profess Islam
انتحل األعذار,"To think up excuses, make excuses, use subterfuges"
انتحل األعرابية,To claim to be a Bedouin
انتحل شخصيةَ فالن,"To impersonate someone, to pass oneself off as someone, purport to be"
ًانتحى جانبا,"To step back, withdraw"
ًانتحى ناحية,To turn aside
انتشق الهواء,To get some fresh air
َ انتصب الحكم,To sit in judgement
. . . انتظر الشيء الكبير من,To expect much of...
انتظر من ورائه كل خير,To set the greatest expectations in something
ًانتظم صفوفا,To line up in rows or files
ُ انتفخ س َ حر ُ ه,His lungs became inflated (out of fear or pride)
انتفخت أوادجه,"He became furious, he became inflated with pride"
انتفخت مساحره,His lungs became inflated (out of fear or pride)
ًانتفض واقفا,"To jump up, jump to one’s feet"
انتقص من قدره,"To disparage someone, detract from someone, degrade someone"
انتقل إلى جوار ربه,"To die, pass away"
انتقل إلى رحمة هللا,To die
انتقل به إلى,"To shift, translocate, relocate something"
انتقل من النقيض إلى نقيضه,"To go from one extreme to the other, move in extremes"
انتهاز الفرص,Opportunism
انتهاك الحرمة,Sacrilege
انتهاك العورة,Offence involving moral turpitude
(انتهب الطريقَ )إلى,To cover the distance quickly or at tremendous speed
انتهج سبيل َ ه,"To follow someone’s example, follow someone’s footsteps, imitate someone"
انتهز الفرصة,"To seize the opportunity, avail oneself or take advantage of the opportunity"
انتهزه فرصة ً لِـ,To use something as an opportunity for...
. . . انتهى األمر إلى أن,"The upshot was that..., the long and short of it was that..."
. . . انتهى إلى أن,"To come to the point where..., result in"
. . . انتهى به األمر إلى أن,He got to the point where...
أنجب منها,He had children by her
انجرّ إلى الوراء,"To withdraw, fall back, give way"
أنحا بصرَهُ عن,To avert one’s eyes from
انحرف به عن,"To turn someone away from, to dissuade someone from"
انحرف مزاجُه,"To be indisposed, be ill"
انحصر تحت حكمه,To be or become united under someone’s rule
انخرام في التوازن,Disturbance of equilibrium
انخرط في البُكاء,To break into tears
انخرط في سلك,"To enter, join an organisation, a community"
انخلع قلبُه,"He was completely taken aback, he was alarmed, startled"
أندر من الغرب األعصم,Rarer than a white-footed crow (proverbially of something rare)
اندفع إلى األمام,To rush to the front
(إنذار نهائي )بالغ نهائي,Ultimatum
أنذره بتسليم منزله,He gave him notice to vacate the premises
انزعج من,To be annoyed by
أنزل (ه) إلى البر,"To take ashore from a vessel, land, disembark"
أنزل إلى البحر,To launch a ship
أنزل به خسارة فادحة,To inflict a heavy loss on someone
ّانزالق أرضي,Landslide
انزلق على الثلج,To slide on the snow
أنزله منزلة فالن,He gave him the same status as
أنزلوهم ضيوفا ً عليهم,They took them in as guests
أنِسَ به,To like someone’s company
َآنس فيه الكفاية,He saw that he was a capable man
أنِسَ لحديثه,To like to listen to someone
انسحاق القلب,"Contrition, penitence, repentance"
انسرح يفك ّ ر,"To be in deep thought, be absent- minded, allow one’s thoughts to wander"
انسرى عنه,"To leave someone (in grief, sorrow, fear and the like)"
انشرح خاطره,"To be or become happy, rejoice"
انشرح صدرُه,"To be gladdened, be pleased, be cheered, be happy, rejoice"
انشق عن,To be a schismatic
انشقت عصاهم,"They fell out (with one another), broke with one another"
انشقت مرارت ُ ه,"He exploded (with anger), he blew his top"
ًانشقت مرارته غيظا,He burst with anger
انصرف إلى شأنه,He left to do his work
انصرف إلى نفسه,"To withdraw by oneself, isolate oneself"
انصرف يفعل,"To set about to do something, proceed to do something"
انضوى (إلى) تحت لوائه,"To rally, flock around or under someone’s banner"
انطلق لسانه على,To utter words against
انطلق لغايته,To head or set out for one’s destination
ًانطلق مسرعا,"He went quickly, rushed away, dashed off"
انطلق وجهه,"His face brightened, became cheerful"
انطلق يجري,He set out in a hurry
انطوى على نفسه,"To withdraw within oneself, be self- centred, be introverted"
ا ُ نظ ُ ر بعدَه,See below
َ اُنظُر ظهره,"See reverse, please turn over"
أنعم هللا صاحبَك,Good morning
أنعم النظر في,"To look closely at, scrutinise something, become engrossed in"
انفتحت ميازيب السماء,The heavens opened their gates
انفتل من الباب,To slip out the door
انفرط عقدُهم,"They broke up, they parted company, they dissolved"
انفسحت لي األوقات,I had plenty of time
انفطر بالبكاء,To break into tears
انقباض الصدر,"Depression, low spirits, gloom"
انقباض القلب,"Dejectedness, despondency, depression"
انقبض صدرُه,"To be dejected, dispirited, depressed"
انقطاع التيار,Power shutdown
انقلب إلى الهجوم,To take the offensive
انقلب ظهرا ً لبطن,To be turned topsy-turvy
انكاب على,"Devotion, dedication, occupation, pursuit of"
إنكار الذات,"Self-denial, selflessness, unselfishness"
إنكار لجميله,Ingratitude towards someone
انكب على قدميه,To throw oneself at someone’s feet
انكب على وجهه,To throw oneself down
أنكر ذاتَه,To deny oneself
أنكر نفسَه,To harbour self-doubts
أنكرت ُ أني أراه,I pretended not to see him
انكسار القلب,"Dejectedness, despondency, contrition"
انكسرت ساقه,He broke his leg
انكمش على نفسه,"To collect one’s thoughts, gather one’s strength, concentrate"
ِإنه ليس من تلك الحَل ْ بَة,"He is not made for that, he doesn’t belong there, it is not in his line"
ُإنه نِعمَ الخليل,He is a wonderful friend indeed!
أنوار كشافة,Searchlight
أنَى له أن,"It is high time, isn’t it about time"
أهانه في وجهه,To insult someone to his face
َاِهْتَبِلْ هَبَل َ ك,Watch out for your own interests! Take care of your own affairs! Mind your own business!
اهتز إليه قلبه,To be elated by something
ًاهتز فرحا,To tremble with joy
اهتزت جنبات ُ ه,To be shaken in every joint
اهجأ جوعه,To appease someone’s hunger
اهطع في العدو,To run fast
أهل الخير,Decent folk
أهل الرأي,Experts
أهل الشرك,"The polytheists, the idolators"
أهل الكتاب,"The People of the Book, the Christians and Jews"
أهل اللغة,"Philologists, lexicographers"
أهل المدَر والوَبَر,"The tent-dwellers and the city- dwellers, the nomads and the sedentary population"
أهل النظر,"Theorists, speculative thinkers"
أهل الوجاهة,The notables
أهل أهلها,You are the right person for it
أهل زمانه,His contemporaries
أهلك الحرث والنسل,"To destroy lock, stock and barrel"
أهمل شأنه,He neglected him
أهون الشرين,The lesser evil
أهوى بيده إلى,"To stretch out one’s hand for, reach out for"
أو باألحرى,"Or to tell the truth, put more exactly, to be exact, rather"
أو تشك في ذلك,"You wouldn’t doubt it, would you?"
أو على األصح,Or more properly speaking
أو ق ُ ل,"Or rather, or say even..."
أوابد الدنيا,The wonders of the world
أواسط الشهر,In the middle of the month
أواصر الوالء,Bonds of friendship
ًأوجس خيفة,To have a sensation of fear
أوجس فيه الملل,"To feel that someone is bored, sense someone’s boredom"
َّأوحِي إلي,"It occurred to me, I was inspired"
أود أن يفعل ذلك,I should like him to do this
َأودعه السجن,To throw someone in prison
أودى بحياته,To destroy someone’s life
أودى بصحته,"To ruin someone’s health, sap someone’s strength"
َأوسع النفقة,To incur great expenses
ًأوسع صدرا,More patient
أوسع مدى,"Broader, wider"
ًأوسعه برّا,"To treat someone with the greatest reverence, bestow ample favours upon someone"
ًأوسعه شتما,To heap abuse at someone
ًأوسعه ضربا,"To give someone a sound beating, wallop someone"
(أوشك على )أن,To be about to do something
أوصاه خيرا ً بِـ,He urged him to take care of
أوصل كل ذي حق بحقه,To give everyone his due
أوضاع حياتية,Living conditions
أوغر صدره على,"To stir up someone against, arouse bitter feeling in someone against"
أوغل في السير,"To walk briskly, advance quickly"
أوغل في الكالم,"To exaggerate, draw a longbow"
ًأوفر حظا,"Luckier, more fortunate"
أوفى على االنتهاء,To draw to a close
ًأوقاتاً أوقاتا,From time to time
أوقد فيه النار,To set something on fire
أوقع الرعب في قلبه,"To strike terror in someone’s heart, frighten"
أوقع عقوبة ً على,To inflict a punishment on
أوقعه في كمين,To let someone walk into an ambush
أوقف اهتمامه على,To concentrate on
أوقف تنفيذ الحكم,"To grant a reprieve, arrest a judgement (law)"
أوقف حركة المرور,To obstruct traffic
أوقفه عن العمل,"To relieve someone of his post, remove someone from office"
األول من نوعه,The first of its kind
أواله ثقته,To have confidence in someone
ًأواله معروفا,To do someone a favour
أولو األبصار,People of deep sight
أولو الشأن,"The influential people, the competent people, those concerned with the matter"
آونة – أخرى,"Sometimes, at times"
أي بأس؟,What does it matter? What of it?
أي حرج في؟,Why should one feel restrained in...?
أي شأن لك في هذا؟,What business of yours is this? What’s that to you?
أي من كان,Whoever it may be
أي واحد,Anyone
(أيّا ً كان )أيَّة ً كانت,"Whoever he (or she) is, no matter who he (or she) is"
. . . إياك أن,Take care not to...
األيام الشحائح,"The rainless days, the dry season"
أياما ً موصولة,"For several consecutive days, for some time"
ائتمر بأمره,To carry out someone’s orders
إيجابا ً لِـ,"In conformity with, in accordance with, according to"
األيدي العاملة,"Manpower, workmen, hands"
إيذانا ً بانتهاء الحديث,As a sign that the conversation is (was) ended
!(أيمن هللا )أيم هللا,I swear by God!
أين الث َّ رَى من الث ُّ رَيَّا؟,What has the ground to do with the Pleiades? (proverbially of things of disproportionate value)
أين نحن من,Worlds separate us from (fig.)
!أين هذا من ذاك,What is this compared with that!
!أين هو مني,What a difference there is between us!
باء بالخيبة,To fail
باء بالفشل,To fail
باب الصدر,Front door
الباب مفتوح على مصراعيه,The door is wide open
بأبي أنت وأمي,You are as dear to me as my own father and mother
بات في حكم المؤكد,It is now as good as certain
بات من المقرّر,"It has become a sure thing, is now certain"
باتحاد,"In unison, with combined efforts"
باتفاق اآلراء,Unanimously
بأجمعه,"In its entirety, to its full extent"
باختصار,"In a few words, briefly, in short"
بادأه بالكالم,"To accost someone, speak first to someone"
بادر إلى,"To do something promptly, hasten to do something"
بادر إلى إنجاز الوعد,To set out to fulfil a promise
بادرة خير,A good or generous impulse
بادره بِـ,"To fall upon someone with, assail, surprise someone with something"
بادره بكالم غليظ,To snap rudely at someone
بادى بالعداوة,To show open hostility
البادئ ذكرُه,"The person or thing mentioned at the outset, the first mentioned"
بادئ ذي بدء,Right from the outset
بإذن هللا,God willing
بإذنك,With your permission
بارت البنت,The girl could not get a husband (remained a spinster)
بارك هللا فيك,God bless you!
باستمرار,"Continually, constantly"
باستهزاء,"Mockingly, derisively"
باض بالمكان وفرّخ,"To be born and grow up in a place, to establish itself and spread (plague)"
ًباطال,"Falsely, in vain"
باع بالوكس,To sell at a loss
باعتبار الشيء,"With respect to, with regard to, in consideration of, considering, in view of (something)"
. . . باعتبار أن,"Considering (the fact) that, with regard to the fact that, in view of the fact that, provided that, with the proviso that...,"
باعتباره,"As, in terms of, in the capacity of"
باعد بين أجفانه,To stare wide-eyed
باعد بين فالن وبين الشيء,To prevent someone from attaining something
بأعلى صوت,"Very loud, at the top of one’s voice"
بأقرب ما يمكن,"As soon as possible, in the shortest time possible"
بأكمله,"Entirely, wholly"
باكورة الفواكه,Early fruit
باإلجماع,Unanimously
باإلجمال,"On the whole, in general"
باإلحالة على,With reference to
باإلحكام,"Accurately, precisely, exactly"
باالختصار,"In a few words, briefly, in short"
(باالشتراك )مع,"Jointly, in concurrence, together"
باألصالة عن نفسه,"Spontaneously, of one’s own accord, personally"
باإلضافة إلى,"In comparison with, in relation to, with respect to, regarding, in addition to, beside"
باإلضافة إلى ذلك,"Moreover, furthermore, besides"
باإلكراه,By force
( ً باإليجاز )إيجازا,"In short, concisely"
بالباع والذراع,With might and main
بالبداهة,Spontaneously
بالتأكيد,Most certainly!
بالتالي,"Then, later, consequently"
بالتبع,Successively
بالت َّ بَعِيَة,"Subsequently, therefore"
بالتحليل,In detail
بالتفرقة,"In detail, in portions"
بالتفريق,"In detail, in portions"
بالتفصيل,"In detail, elaborately"
بالتناوب,"Successively, one after another, in rotation"
بالتوصيل,"To order, on commission"
بالتي هي أحسن,"In a friendly manner, amicably, with kindness"
بالجُرم المشهود,"In the act, red-handed, flagrante delicto"
بالجملة,"Wholly, on the whole"
( بإلحاح )في إلحاح,"Insistently, earnestly, urgently"
بالحرف,Verbatim
بالحرف الواحد,Verbatim
بالحُسنَى,"Be fair means, in a friendly manner"
بالحصر,Strictly speaking
بالحق,"Truly, actually"
بالصدفة,"By chance, accidentally, as chance will have it, haphazardly"
بالضرورة,Necessarily
بالطبع,"By nature, by natural disposition, naturally! Of course! Certainly!"
بالعرض,"Across, in breadth"
ِ بالعَرَض,"Incidentally, by chance"
بالعكس,"On the contrary, conversely"
بالعين المجرّدة,With the naked eye
بالغ في اإلحكام,Of highest perfection
بالغصب,"Forcibly, by force"
بالفارغ,In the void (of the target)
بالفعل,Indeed
بالقرب من,"In the vicinity of, near, close to"
( ً بالقضاء والقدر )قضاءً وقدرا,By fate and divine decree
بالقوة,"By force, forcibly, inherently"
بالقول والعمل,By word and deed
بالقياس إلى,"In comparison with, (as) compared to"
بالكاد,"Almost, nearly"
بالكتابة,Written
بالكفاية,"Sufficiently, enough"
بالكل,"On the whole, in the aggregate, taken altogether, in bulk"
بالكالم,"Orally, verbally"
بالكلية,"On the whole, in the aggregate"
بالكناية,"Indirect, not clear and unequivocal"
( ً باللسان )لسانا,"Orally, verbally"
باهلل,By God!
باهلل عليك,"For God’s sake, I implore, I beg of you"
بالمِثل,"In the same manner, equally."
بالمرة,"At all, absolutely, entirely, (with neg.) not at all, never, by no means"
بالمعروف,"In (all) fairness, with appropriate courtesy, amicably"
بالمفردات,In detail
بالمفرّق,By retail
بالمفهوم,"In the literal sense, literally, unequivocally, clearly"
بالمقاولة,"By the job, by the contract"
بالمقلوب,"Topsy-turvy, upside down, inside out, the other way round, vice versa"
بالمناوبة,"In turns, one after another"
بالمنطوق,"According to the text, explicitly, unequivocally"
بالنتيجة,"Hence, consequently"
بالنظر إلى,"Concerning, with regard to"
بالنقد,"In cash, for cash, cash down"
بالن َّ وبَة,"Alternately, one by one, by turns"
بالنيابة,"acting, deputy, by proxy"
بالهاتف,By telephone
بالواجب,"Duly, dutifully"
بالواسطة,Indirectly
بالورب,Obliquely
بأم العين,With one’s own eyes
بأم عينيه,With one’s own eyes
بان بالكاشف,To manifest itself clearly and unmistakably
بان من,To be separated from
بانتظام,"Accurately, regularly"
بأهداب,"Fringed, trimmed with fringes"
ببساطة,"Merely, simply"
ٍبِبُط ْ ء,Slowly
ًبتّا,"Definitely, once and for all"
البت َّ ة,"Definitely, positively, decidedly"
بت َّ ة,"Definitely, positively, decidedly"
بتصرف,Freely
بتعبير آخر,"In other words, expressed otherwise"
بتعمد,"Intentionally, deliberately, wilfully, on purpose"
بتمام معنى الكلمة,In the full sense of the word
بتوالي السنين,"With the years, as time goes on"
بث األلغام,To plant or lay mines
َبث العيون,To peer around
ًبث برنامجا,"To transmit a programme, broadcast"
بجأش رابط,With unwavering courage
(بجانب )إلى جانب,"Side by side with, in addition to, aside from"
بجانبه,"At his side, next to him (it)"
بجد,"Earnestly, seriously"
بَجْدَة ُ األمر,"The heart of the matter, the actual state of affairs, the true facts"
بجدة وطرافة,In a new and unusual fashion
بِجدع األنف,"At any price, regardless of the sacrifice involved"
بجَرَّةِ قلم,With one stroke of the pen
بجالء,"Plainly, visibly"
بجهد جهيد,With great difficulty
بحبوحة العيش,"Life of ease and comfort, prosperity, affluence"
ًبحتا,"Merely, exclusively, nothing but..."
بحث (يسعى إلى) حتفه بظِل ْ فِه,"He brings about his own destruction, digs his own grave"
ًبحث المسألة طرداً وعكسا,"To study a problem from all sides, in all its aspects"
بحد ذات,"As such, in itself"
( بحذافيره )ها,"All of it, without exception"
(بحَسَبِ )على حَسَب,"According to, in accordance with, depending on"
بِحَسَبِ الظروف,"According to circumstances, depending on the circumstances"
. . . بحسبك مقنعا ً أن,It will be enough to convince you if...
بحضوره,In his presence
ِّبحَق,"As to, as for, regarding..."
ٍّبِحَق,Rightly
بحق السماء,By the truth of heaven!
بحكم,"By virtue of, pursuant to"
بحيث,"Inasmuch as, in such a manner that..., (he found himself) at a point or degree where..."
. . . بحيث أن,In such a manner that...
بحيث ال,"Insofar as... not, provided that... not"
بخاصة,"Especially, in particular"
بَخَسَ قِيمتَه,To lessen the value of something
بخصوص,"With respect to, as regards, concerning"
بخط اليد,Handwritten
بخالف,"Apart from, aside from"
. . . بدا عليه أنه,One could see that he...
بدا للعيان,"To come to light, come in sight, be before one’s eyes"
بداءة بدء,"Right at the outset, at the very beginning"
( بَدَالَ ما )مِن,"Instead of (being, doing...)"
ًبداهة,"All by itself, spontaneously"
بدر تمام,Full moon
بدع من,"S.th. else than, unlike, different from"
ًبَدعاً وعَودا,Repeatedly
بدَل التمثيل,Allowance for professional expenditure
بدون استحقاق,Undeservedly
بدون االلتفات,Inattentive(ly)
بدون االلتفات إلى,"Inconsiderate of, without consideration for"
(بدون انقطاع )من غير انقطاع,"Incessantly, constantly, continually, without interruption"
بدون شيء من الجهد,Without any effort at all
بدون كتابة,"Unwritten, oral"
بدون وجه حق,"Without legitimate claim, without being in the least entitled, in an entirely unlawful manner"
بديع الصَّنع,Of wonderful workmanship
. . . بذريعة أن,The pretence that...
بذل الطاعةَ لِـ,"To obey someone, defer to someone"
بذل الغالي والرخيص في سبيل,"To spare no effort, go to any length, pay any price for or in order to"
بذل المساعي,To make efforts
بذل النفس والتنفيس,"To make every conceivable sacrifice, give up all one’s possessions"
بذل بالذات,Self-sacrifice
ُ بذل ج َ هْد َ ه,To take pains
بذل قصاراه,"To exert efforts, to take pains"
بذل قصارى الجهد لِـ,"To exert every conceivable effort to, go to great lengths, go out of one’s way, leave no stone unturned"
بذل ك ُ لَّ غال,"To spare no effort, go to any length, give everything, pay any price for or in order to"
بذل كل مساعدة,To grant every assistance
بذل ماء وجهه,To sacrifice one’s honour
ًبذل مجهودا,"To exert efforts, to take pains"
بذل مجهوداتِه,"To make every effort, to go to great lengths"
بذل نصيحة,To give a word of advice
بذل وُسْعَه,"To do one’s utmost, do one’s best, to go to great pains"
البر بالوالدين,Filial piety
ًبرّا,"Outside, out"
برّأ ساحةَ الرجل,He acquitted the man
ًبرّاً وبحرا,By land and sea
ًبراحا,"Patently, openly and plainly"
برتبة شرف,With distinction
برح الخفاء,"The matter has come out, has become generally known"
برّر وجهه بِـ,To justify oneself by
برز إلى حيّز المفعول,"To advance to the realm of fact, i.e. to become a reality"
َ برز أمام,"To stand out against, contrast with"
ًبُرهَة,A little while
برئ من,Innocent
بزعامة,Under the leadership of
بِسَاط ُ المعمور,The civilised world
بسبب,"Because of, on account of, due to, by"
بسبب ذلك,"Because of that, for that reason, therefore"
( بسبيل )عن سبيل,"By means of, through, by"
بسداد,"Appropriately, appositely"
بسركم,To your health! Cheerio! Skoal!
بسط المائدة,To lay the table
بسط ذراعيه,To spread one’s arms
ِ بسط له مِهادَ العُذْر,"To hold out a helping hand to someone, ease the way to vindication for someone"
بسط له يد المساعدة لِـ,To extend a helping hand to someone
( بسَعة )عن سَعة,"Amply, abundantly"
بشأن,"Regarding, with regard or respect to,"
بش ّ ر نفسَه بِـ,To indulge in the happy hope that...
بشرط,On the condition that...
( بشق النفس )بشق األنفس( )ال . . . إال,"With (the greatest) difficulty, barely"
بشكل متزايد,Increasingly
( بصدد )على صدد,"Opposite, in front of"
بصدد أمر,"Currently busy with something, he is at present occupied with a matter"
بصرف النظر عن,"Regardless of, irrespective of, notwithstanding, to say nothing of"
( بصرف النظر عن )بقطع النظر عن,"Regardless of, irrespective of"
بصفة,"As, in the capacity of"
بصفة قاطعة,Unmistakably
ًبصفته وزيرا,"In his capacity of minister, as a minister"
بصمة األصابع,Fingerprint
بصوت عال,Aloud
بصوت مسموع,Audibly
بصوت واطئ,"Softly, in a low voice, under one’s breath"
بصورة جلية,"Obviously, evidently"
بصورة خاصة,"Especially, particularly"
بصورة عامة,"Generally, in general"
بصورة مبرمة,Irrevocably
بصورة محسوسة,"Perceptibly, tangibly"
بصورة مكَبَّرة,"Increasingly, on a larger scale"
بصورة ملحوظة,"Noticeably, markedly"
بصورة موقتة,"Temporarily, provisionally"
بصير بِـ,"Proficient in, acquainted with something"
بصيغة حاسمة,"In a decided form, in no uncertain terms"
بضائع تقبل االلتهاب,Combustible merchandise
بطبيعة الحال,"By the very nature of the case, ipso facto, as a matter of course"
بطرف,"With, at, on the part or side of"
بطريق الصدفة,"By chance, accidentally, as chance will have it, haphazardly"
بطن القدم,Sole of the foot
بطن الكف,Palm of the hand
ٍ بطناً لظهر,Upside down
بطنه ليّن,He suffers from diarrhoea
( بظرف )في ظرف,"Within, in a (given) period of"
بظهر الغيب,"Behind someone’s back, insidiously, treacherously, stealthily, secretly"
بعبارة أخرى,"In other words, expressed otherwise"
بعث إليه هَز َّ ة الخوف,To fill someone with trembling fear
بعث روح الحياة في,To breathe life into something
بعثه من الموت,To resurrect from death
بعد إذ,After
بعد اآلن,"From now on, henceforth, in the future"
بُعْدُ الش ُّ ق َّ ة,Large or wide distance
بُعدُ الصوت,"Fame, celebrity"
بعد الظهر,"In the afternoon, p.m."
بُعد العهد,"The fact that something is long past, that something belongs to the remote past"
بعد الل ُّ تيَّا والتي,"After lengthy discussions, after much ado"
بعد النظر,"Farsightedness, foresight"
(بعد أن )من بعد ما,After
بعد أيام من هذه الحوادث,A few days after these events
بعد بُرهتين,In a short time
بَعُدَ به عن,He kept him away from
بعد ذلك,"Afterwards, later on, besides, moreover"
بعد ساعة أخرى,After still another hour
بَعْدُ صغير,"He is only a small boy, he is still young"
بعد غد,Day after tomorrow
بعد فوات الوقت,Too late
بعد قليل,"A little later, sometime later on"
. . . بعَد كونه,Aside from the fact that he is...
بعد ألى,"After great difficulties, in the end, finally, after all"
بعد ما,After
بُعدا ً لِـ,Away with...!
البعض,"Several, some people"
بعض األحيان,Occasionally
بعضَ الشيء,"To a certain extent, a little, somewhat"
بعضه في بعض,"One in the other, within one another"
ً بعضهم بعضا,"One another, each other, mutually"
بعيد األثر,Of far-reaching consequence
بعيد األجل,"Long term, long lasting"
بعيد التاريخ,"Ancient, remote in time, going way back in history"
بعيد الشأو,"Far-aiming, far-aspiring, very ambitious"
بعيد الش ُّ ق َّ ة,"Far away, distant, remote"
بعيد الغور,"Deep, profound, unfathomable"
بعيد المدى,Far-reaching
بعيد المنال,"Hardly attainable, hard to get at, Unattainable"
(بعيد النظر )طويل النظر,Farsighted
بعينه,"In person, personally, exactly the same, the very same thing"
بعينه,"None other than he, precisely the one"
بِعَينَي رأسه,With his own eyes
بغشت السماء,There was a light shower
بغض النظر عن,"Aside from, not to speak of, let alone, irrespective of, notwithstanding"
بغير,Without
بغير ضابط وال رادع,"Completely unrestrained, out of control"
بغير قياس,Illogical
بفارغ الصبر,Impatiently
بفضل,"Thanks to, owing to, due to"
بفعل,"Out of, because of, due to"
بقدر (على قدر) المستطاع,"As far as possible, as far as it is feasible"
