Idiom,Meaning
곤산의 옥,훌륭한 사람이나 물건을 비유적으로 이르는 말. 
곤자소니에 발기름이 끼었다,"문에 치는 발처럼 죽죽 줄이 간 기름이 창자에 끼었다는 뜻으로, 부귀를 누리고 크게 호기를 부리며 뽐냄을 이르는 말. "
곤장에 대갈 바가지,"매를 치는 곤장에 대갈이 숭숭한 방망이라는 뜻으로, 곤장으로 매를 무수히 맞으며 지독한 곤경을 치름을 비유적으로 이르는 말. "
곤장을 내다,때려 부수다. 
곤장을 메고 매 맞으러 간다,공연한 일을 하여 스스로 화를 자초함을 비유적으로 이르는 말. 
곤쟁이 주고 잉어 낚는다,"곤쟁이로 된 미끼를 주고 큰 잉어를 잡는다는 뜻으로, 적은 자본을 들여서 큰 이익을 봄을 비유적으로 이르는 말. "
곧기는 먹줄 같다,「1」겉으로는 곧은 체하나 속이 검다는 말. 「2」마음이 매우 곧음을 비유적으로 이르는 말. 
곧은 나무는 가운데 선다,"곧고 좋은 나무는 한가운데 세우게 된다는 뜻으로, 재간 있고 훌륭한 사람을 기둥으로 내세우게 됨을 이르는 말. "
곧은 나무 쉬[먼저] 꺾인다[찍힌다],「1」능력 있는 사람이 일찍 죽음을 비유적으로 이르는 말. 「2」겉으로는 강직한 듯한 사람이 의외로 약하여 잘 굴복함을 비유적으로 이르는 말. 
골박다,「1」제한된 범위 밖을 나가지 못하게 하다. 「2」골로써 물건의 모양을 바로잡다. 
골싸매고,(낮잡는 뜻으로) 온 힘을 다하여. 
골썩이다,(낮잡는 뜻으로) 어떤 일로 몹시 애를 쓰며 골똘히 생각하다. 
골쓰다,(낮잡는 뜻으로) 어떤 문제에 주의를 기울여 이리저리 생각하거나 애쓰다. 
골앓다,(낮잡는 뜻으로) 어떻게 하여야 할지 몰라서 머리가 아플 정도로 생각에 몰두하다. 
골올리다,화가 치밀어 오르게 만들다. 
골지르다,밭을 세 번째 갈다. 
골치다,골로써 물건의 모양을 바로잡다. 
골켜다,통나무를 세로로 켜서 골을 만들다. 
골비다,‘머리가 비다’를 낮잡아 이르는 말. 
골오르다,화가 치밀어 오르다. 
골저리다,찬 기운으로 뼛속까지 저리다. 
골틀리다,마음에 언짢아 부아가 나다. 
골격이 서다,어떤 일을 형성할 때 기본 줄거리와 틀이 이루어지다. 
골나면 보리방아 더 잘 찧는다,골이 난 김에 기가 올라 일이 더 잘 되어 가는 경우를 이르는 말. 
골난 날 의붓아비 온다,「1」가뜩이나 화가 나서 참지 못하고 있는데 미운 사람이 찾아와 더욱 화를 돋우는 경우를 비유적으로 이르는 말. 「2」한창 곤란한 일을 겪고 있을 때 반갑지 아니한 일이 겹쳐 찾아옴을 비유적으로 이르는 말. 
골로 가다,‘죽다01’를 속되게 이르는 말. 
골로 보내다,‘죽이다01’를 속되게 이르는 말. 
골머리빠지다,(속되게) 머리를 몹시 쓰거나 애를 태우다. 
골머리썩이다,어떤 일로 몹시 애를 쓰며 생각에 몰두하다. 
골머리앓다,어떻게 하여야 할지 몰라서 머리가 아플 정도로 생각에 몰두하다. 
골무는 시어미 죽은 넋이라,"바느질하다가 빼어 놓은 골무는 얼른 다시 찾아지지 않고, 일어서서 옷이나 일감을 털어야 나온다는 말. "
골수에 들다,병이 아주 깊이 들다. 
골수에 맺히다,잊히지 아니하고 마음속 깊이 응어리져 있다. 
골수에 박히다[뿌리박히다],어떤 생각이나 감정이 빠져나갈 수 없게 마음속 깊이 자리 잡히다. 
골수에 사무치다,‘뼈에 사무치다’를 강조하여 이르는 말. 
골수에 새기다,‘가슴에 새기다’를 강조하여 이르는 말. 
골을 메우다,갈등을 없애다. 
골이 깊어지다,관계가 악화되거나 멀어지다. 
골이 빠지다,(낮잡는 뜻으로) 머리를 몹시 쓰거나 애를 태우다. 
골이 상투 끝까지 나다,매우 화가 나다. 
골치앓다,어떻게 하여야 할지 몰라서 머리가 아플 정도로 생각에 몰두하다. 
골탕먹다,한꺼번에 크게 손해를 입거나 낭패를 당하다. 
골탕먹이다,한꺼번에 크게 손해를 입히거나 낭패를 당하게 만들다. 
곪아 빠져도 마음은 조방에 있다,"상처가 곪아 터져서 꼼짝 못 하는 처지에 있으면서도 마음은 조방꾸니 노릇을 하는 데 가 있다는 뜻으로, 제 처지는 생각하지 않고 힘에 겨운 일을 자꾸만 하려고 함을 비유적으로 이르는 말. "
곪으면 터지는 법,"살이 곪으면 마침내 터지고 말듯이, 원한이나 갈등이 쌓이고 쌓이면 마침내 터지고야 만다는 것을 비유적으로 이르는 말. "
"곯아도 젓국이 좋고, 늙어도 영감이 좋다",아무리 늙었어도 오래 정붙이고 산 자기 배우자가 좋다는 말. 
곰설거지하듯,일을 하여도 보람이 아니 나는 경우를 비유적으로 이르는 말. 
곰재주,미련한 사람을 비유적으로 이르는 말. 
곰 가재 뒤듯[잡듯],"움직임이 둔한 곰이 개천 돌을 뒤쳐 가며 가재를 잡는다는 뜻으로, 급하다는데 느릿느릿 일을 하고 있거나 또는 침착하게 일하고 있음을 비유적으로 이르는 말. "
곰배팔이 담배 목판 끼듯,무슨 물건을 옆에 꼭 끼고 있는 모양을 비유적으로 이르는 말. 
곰을 잡겠다,"사냥꾼이 곰을 잡으려고 할 때 곰의 굴 안에 연기를 잔뜩 피워서 곰을 몰아낸다는 데서, 몹시 심하게 연기를 피움을 비유적으로 이르는 말. "
곰이라고 발바닥이나 핥고 살까,"곰이라면 발바닥이라도 핥겠으나 자기는 발바닥도 핥을 수 없다는 뜻으로, 먹을 것이라고는 전혀 없어 굶주림을 면하기 어려울 때를 이르는 말. "
곰이라 발바닥핥으랴,"곰이라면 발바닥이라도 핥겠으나 자기는 발바닥도 핥을 수 없다는 뜻으로, 먹을 것이라고는 전혀 없어 굶주림을 면하기 어려울 때를 이르는 말. "
곰이 제 발바닥 핥듯,"곰이라면 발바닥이라도 핥겠으나 자기는 발바닥도 핥을 수 없다는 뜻으로, 먹을 것이라고는 전혀 없어 굶주림을 면하기 어려울 때를 이르는 말. "
곰 창날 받듯,"곰을 잡기 위해 곰의 앞가슴에 창을 대고 지긋이 밀면 곰이 창을 내밀지 않고 자기 쪽으로 잡아당겨 창에 찔려 죽는다는 데서, 사람됨이 우둔하고 미련하여 스스로 자신을 해치는 행위를 함을 비유적으로 이르는 말. "
곱게 살면 갚음 받을 날이 있다,바른 양심을 가지고 진실하게 살아가다 보면 나중에는 좋은 결과를 얻게 됨을 이르는 말. 
곱다고 안아 준 아기 바지에 똥 싼다,은혜를 입은 사람이 은혜를 베푼 사람에게 도리어 해를 입힘을 비유적으로 이르는 말. 
곱사등이 짐 지나 마나,일을 하나 하지 않으나 별로 차이가 없다는 말. 
곱슬머리 옥니박이하고는 말도 말랬다,곱슬머리인 사람과 옥니박이인 사람은 흔히 인색하고 각박하다는 말. 
곱지 않은 말,상대편의 비위를 거스르면서 듣기에 좋지 아니하게 하는 말. 
공닦다,어떤 목적을 이루기 위하여 정성을 기울이다. 
공쌓다,어떤 목적을 이루기 위하여 정성을 기울이다. 
공갈놓다,(속되게) 공포를 느끼도록 을러메서 무섭게 하다. 
공갈때리다,(속되게) 공포를 느끼도록 을러메서 무섭게 하다. 
공것 바라기는 무당의 서방,공것이라면 무엇이든지 가지고 싶어 하는 사람을 비유적으로 이르는 말. 
공것 바라면 이마[대머리]가 벗어진다,「1」이마가 벗어진 사람을 놀림조로 이르는 말. 「2」공짜를 좋아하는 사람을 놀림조로 이르는 말. 
공것 바라서 이마[대머리]가 벗어졌다[벗어졌나],「1」이마가 벗어진 사람을 놀림조로 이르는 말. 「2」공짜를 좋아하는 사람을 놀림조로 이르는 말. 
공것은 써도 달다 ,"공것이라면 아무리 맛이 쓴 것이라도 달게 느껴진다는 뜻으로, 공것은 그것이 무엇이든지 간에 누구나 다 좋아함을 비유적으로 이르는 말. "
공것이라면 눈도 벌겅 코도 벌겅,"공것이라면 눈이 시뻘게지고 코까지 빨개진다는 뜻으로, 공것을 지나치게 탐내는 모양을 놀림조로 이르는 말. "
공것이라면 사족을 못 쓴다,공것이라면 체면도 차리지 않고 날뛰는 행동을 놀림조로 이르는 말. 
공것이라면 양잿물[비상]도 먹는다[삼킨다],공짜라면 무엇이든지 가리지 않고 닥치는 대로 거두어들이는 것을 비꼬는 말. 
공교하기는 마디에 옹이라,"나무의 마디에 공교롭게도 또 옹이가 박혔다는 뜻으로, 일이 순조롭게 진행되지 않고 이러저러한 장애가 공교롭게 겹침을 이르는 말. "
공궐 지킨 내관의 상,"빈 궁궐을 지킨 내시부의 관원 같은 꼴이라는 뜻으로, 근심이 가득 찬 사람의 슬프고도 처량한 얼굴 표정을 비유적으로 이르는 말. "
공기놀다,공기놀이를 하다. 
공기놀리다[놀리듯 하다],어떤 일이나 사람을 제멋대로 수월하게 다루거나 농락하다. 
공기가 팽팽하다,분위기가 몹시 긴장되어 있다. 
공깃돌 놀리듯,어떤 일이나 사람을 제멋대로 수월하게 다루거나 농락하다. 
공든 탑도 개미구멍으로 무너진다,조그마한 실수나 방심으로 큰일을 망쳐 버린다는 말. 
공든 탑이 무너지랴,"공들여 쌓은 탑은 무너질 리 없다는 뜻으로, 힘을 다하고 정성을 다하여 한 일은 그 결과가 반드시 헛되지 아니함을 비유적으로 이르는 말. "
공밥먹다,마땅히 해야 할 일을 하지 않거나 일을 제대로 하지 못하고 보수만 받다. 
공복에 인경을 침도 아니 바르고 그냥 삼키려 한다,"굶은 빈속에 엄청나게 큰 종인 인경을 단숨에 삼키려 한다는 뜻으로, 욕심이 많아서 경위(經緯)를 가리지 않고 한없이 탐내기만 함을 비유적으로 이르는 말. "
공부는 늙어 죽을 때까지 해도 다 못한다,지식을 넓히고 수준을 높이기 위해서는 일생 동안 끊임없이 배우고 학습해야 함을 강조하여 이르는 말. 
공부하랬더니 개잡이를 배웠다,"공부를 하라고 했더니 개백장 노릇을 배웠다는 뜻으로, 일껏 좋은 일을 하랬더니 엉뚱하게도 나쁜 짓을 함을 비유적으로 이르는 말. "
공수내리다,무당이 공수를 전하여 말하다. 
공술에 술 배운다,술이라는 것은 처음에는 남의 권유에 못 이겨 마시다가 배우게 된다는 말. 
공술 한 잔 보고 십 리 간다,공짜라면 무엇이든지 가리지 않고 닥치는 대로 거두어들이는 것을 비꼬는 말. 
공에도 사가 있다,"공적인 일에도 개인의 사정을 보아줄 때가 있다는 뜻으로, 어찌 사사로운 일에 남의 사정을 조금도 보아주지 않느냐는 말. "
공연한 제사 지내고 어물값에 졸린다,공연한 짓을 해서 쓸데없이 그 후환을 입게 됨을 비유적으로 이르는 말. 
공연히 긁어서 부스럼 만든다,아무렇지도 않은 일을 공연히 건드려서 걱정을 일으킨 경우를 비유적으로 이르는 말. 
"공은 공이고, 사는 사다",공적인 일과 사적인 일은 엄격히 구별하여야 한다는 말. 
공을 원수로 갚는다,감사로써 은혜에 보답해야 할 자리에 도리어 해를 끼침을 이르는 말. 
공이 넘어가다,결정권이 상대편이나 다른 곳으로 가다. 
공자 앞에서 문자 쓴다,지식이 부족한 사람이 가소롭게도 자기보다 유식한 사람 앞에서 아는 체함을 이르는 말. 
공자 왈 맹자 왈 ,"「1」실천은 없이 헛된 이론만을 일삼는 태도를 비유적으로 이르는 말. 「2」공자, 맹자를 거론하며 유학의 가르침을 아는 체함을 이르는 말. 「3」글의 내용도 이해하지 못하면서 기계적으로 말마디나 외면서 교조주의적으로 학습하는 태도를 비유적으로 이르는 말. "
공작도 날거미만 먹고 살고 수달피도 발바닥만 핥고 산다,"아름다운 공작도 날거미를 먹고 살고 비싼 털가죽을 가진 수달피도 발바닥을 핥고 산다는 뜻으로, 음식을 이리저리 가리는 사람을 핀잔하는 말. "
공작이 날거미를 먹고 살까,"여북하면 아름다운 공작도 보잘것없는 날거미를 먹고 살겠느냐는 뜻으로, 공연히 점잔을 빼고 음식을 이것저것 가리지 말고 아무것이나 먹으라는 말. "
공중뜨다,물건의 수량 따위가 계산 결과 모자라거나 없어지다. 
공중에 나는 기러기도 길잡이는 한 놈이 한다,무슨 일을 하든지 오직 한 사람의 지휘자가 이끌고 나가야지 여러 사람들이 제각기 나서서 길잡이 노릇을 하려고 해서는 안 된다는 말. 
공중을 쏘아도 알과녁만 맞춘다,별로 애쓰지 않고 하여도 능히 잘 이루어 냄을 비유적으로 이르는 말. 
공짜라면 당나귀도 잡아먹는다,공짜라면 무엇이든지 가리지 않고 닥치는 대로 거두어들이는 것을 비꼬는 말. 
공짜라면 양잿물이라도 먹는다,공짜라면 무엇이든지 가리지 않고 닥치는 대로 거두어들이는 것을 비꼬는 말. 
공포놓다,「1」공포를 쏘다. 「2」위협을 주거나 공갈하다. 
곶감 꼬치를 먹듯,애써 알뜰히 모아 둔 재산을 조금씩 조금씩 헐어 써 없앰을 비유적으로 이르는 말. 
곶감 꼬치에서 곶감 빼[뽑아] 먹듯,애써 알뜰히 모아 둔 재산을 조금씩 조금씩 헐어 써 없앰을 비유적으로 이르는 말. 
곶감 뽑아 먹듯,애써 알뜰히 모아 둔 재산을 조금씩 조금씩 헐어 써 없앰을 비유적으로 이르는 말. 
곶감이 접 반이라도 입이 쓰다,마음에 안 맞아 기분이 안 좋음을 비유적으로 이르는 말. 
곶감 죽을 먹고 엿목판에 엎드러졌다,"곶감으로 쑨 맛있는 죽을 먹었는데 또다시 엿을 담은 목판에 엎어져서 단 엿 맛까지 보게 되었다는 뜻으로, 잇따라 먹을 복이 쏟아지거나 연달아 좋은 수가 생김을 비유적으로 이르는 말. "
곶감 죽을 쑤어 먹었나,"곶감으로 죽을 쑤어 먹어 그리 기분이 좋으냐는 뜻으로, 실없이 웃음을 핀잔하는 말. "
과거있다,어둡거나 복잡한 과거의 경험을 가지고 있다. 
과거를 아니 볼 바에야 시관이 개떡,"자기가 과거를 치르지 않으면 시험관이 시시한 개떡으로밖에 여겨지지 않는다는 뜻으로, 자기와 아무런 관련이 없는 경우에는 아무리 기세등등하고 권한이 있는 대상이라 할지라도 조금도 두려울 것이 없음을 비유적으로 이르는 말. "
과거 전에 창부,"과거 시험에 합격하여 벼슬아치가 되기도 전에 기생을 데리고 노는 데 재미를 붙였다는 뜻으로, 일이 이루어지기도 전에 다 된 듯이 경솔하고 망령되게 행동함을 비꼬는 말. "
과년차다,여자의 나이가 혼기에 임박하다. 
과물전 망신은 모과가 시킨다,지지리 못난 사람일수록 같이 있는 동료를 망신시킨다는 말. 
과방보다,과방의 일을 맡아보다. 
과부가 찬밥에 곯는다,홀몸이라고 먹는 것을 부실하게 하여 허약해진 과부가 많다는 말. 
과부는 은이 서 말,"과부는 살림살이가 알뜰하여 규모 있게 생활하므로 경제적으로 걱정이 없지만, 홀아비는 생활이 곤궁함을 비유적으로 이르는 말. "
과부는 은이 서 말이고 홀아비는 이가 서 말이다,"과부는 살림살이가 알뜰하여 규모 있게 생활하므로 경제적으로 걱정이 없지만, 홀아비는 생활이 곤궁함을 비유적으로 이르는 말. "
과부는 찬물만 먹어도 살이 찐다,남편 시중을 들지 않아도 되는 과부의 마음이 편안함을 비유적으로 이르는 말. 
과부댁 종놈은 왕방울로 행세한다,"남자 주인 없는 과부 집에서 사내 종놈은 큰소리로 떠드는 것으로 한몫을 본다는 뜻으로, 실속은 없으나 공연히 한번 떠들어 대는 것으로 일삼는다는 말. "
과부 설움은[사정은] 과부가 안다,남의 곤란한 처지는 직접 그 일을 당해 보았거나 그와 비슷한 처지에 놓여 있는 사람이 잘 알 수 있음을 비유적으로 이르는 말. 
과부 설움은 서방 잡아먹은 년이 안다,남의 곤란한 처지는 직접 그 일을 당해 보았거나 그와 비슷한 처지에 놓여 있는 사람이 잘 알 수 있음을 비유적으로 이르는 말. 
과부 설움은 홀아비가 안다,남의 곤란한 처지는 직접 그 일을 당해 보았거나 그와 비슷한 처지에 놓여 있는 사람이 잘 알 수 있음을 비유적으로 이르는 말. 
과부 은 팔아먹기,새로 벌지는 못하고 전에 벌어서 모아 두었던 재물을 쓰기만 함을 비유적으로 이르는 말. 
과부의 대 돈 오 푼 빚을 내서라도[낸다],"과부한테 한 냥에 대 돈 오 푼의 높은 이자를 무는 빚을 내서라도 해야겠다는 뜻으로, 돈을 비싼 이자로라도 갖다 쓸 정도로 궁색함이 극도에 이른 사람의 처지를 이르는 말. "
과부의 버선목에는 은이 가득하고 홀아비의 버선목에는 이가 가득하다,"과부는 살림살이가 알뜰하여 규모 있게 생활하므로 경제적으로 걱정이 없지만, 홀아비는 생활이 곤궁함을 비유적으로 이르는 말. "
과부의 심정은 홀아비가 알고 도적놈의 심보는 도적놈이 잘 안다,남의 곤란한 처지는 직접 그 일을 당해 보았거나 그와 비슷한 처지에 놓여 있는 사람이 잘 알 수 있음을 비유적으로 이르는 말. 
과부 좋은 것과 소 좋은 것은 동네에서 나가지 않는다,질이 좋은 것은 누구나 귀히 여겨 가지려 하니 내침을 받음이 없음을 비유적으로 이르는 말. 
과부 중매 세 번 처녀 중매 세 번 하면 죽어 좋은 곳으로 간다,여자의 혼인 중매를 서는 일은 간단한 일이 아니며 책임을 져야 하는 어려운 일이므로 그만큼 좋은 일임을 비유적으로 이르는 말. 
과부 집 똥넉가래 내세우듯,일을 변통하는 주변도 없으면서 쓸데없는 호기를 부리며 고집함을 비유적으로 이르는 말. 
과부 집 송아지 백정 부르러 간 줄 모르고 날뛴다,위급한 처지에 있으면서도 멋모르고 함부로 호기를 부림을 비유적으로 이르는 말. 
과부 집 수고양이 같다,"조용한 밤중에 수고양이가 울면 옆집 사람들이 갓난아기 울음소리로 알고 과부가 어린애를 낳은 줄로 의심한다는 뜻으로, 아무 근거도 없는 일을 사실인 것처럼 꾸며서 말하여 말썽을 일으키는 사람을 가리켜 이르는 말. "
과부 집에 가서 바깥양반 찾기,사람 또는 물건 따위가 있을 수 없는 데에 가서 엉뚱하게 그것을 찾는 경우를 비유적으로 이르는 말. 
과실 망신은 모과가 시킨다,지지리 못난 사람일수록 같이 있는 동료를 망신시킨다는 말. 
과일 망신은 모과가 시킨다,지지리 못난 사람일수록 같이 있는 동료를 망신시킨다는 말. 
곽란에 약 지으러 보내면 좋겠다,급히 서둘러야 할 경우에도 미련하여 행동이 민첩하지 못함을 비꼬는 말. 
곽란에 죽은 말 상판대기 같다,얼굴빛이 푸르뎅뎅하고도 검붉다는 말. 
관가 돼지 배 앓는 격,「1」근심이 있으나 누구 하나 알아주는 사람이 없이 혼자 끙끙 앓음을 비유적으로 이르는 말. 「2」자기와는 아무 상관 없는 일이라는 말. 
관기 보자 하니 에누리 수작이라,하는 꼴이 신통치 않아 쓸데없는 짓이나 하게 생겼다는 말. 
관 돝 배 앓기,「1」근심이 있으나 누구 하나 알아주는 사람이 없이 혼자 끙끙 앓음을 비유적으로 이르는 말. 「2」자기와는 아무 상관 없는 일이라는 말. 
관 물먹다,국가의 관료로 생활을 하다. 
관 물들다,오랜 관리 생활로 관료적인 영향을 받다. 
관 속에 들어가도 막말은 말라,어떤 경우에라도 말을 함부로 해서는 안 된다는 말. 
관에 들어가는 소,"현방으로 끌려 들어가는 소라는 뜻으로, 벌벌 떨면서 겁을 내는 사람을 비유적으로 이르는 말. "
관에 들어가는 소걸음,벌벌 떨며 무서워하거나 마음에 내키지 아니하는 것을 억지로 하는 모양을 비유적으로 이르는 말. 
관 옆에서 싸움한다,"상갓집에서 관을 옆에 두고 서로 싸움질을 한다는 뜻으로, 예의도 모르고 무엄한 짓을 함을 비유적으로 이르는 말. "
관찰사 닿는 곳에 선화당,"관찰사가 가는 곳마다 극진한 대접을 받으며 호화롭게 지내는 것이 마치 자신의 집무실인 선화당에 있는 것과 같다는 뜻으로, 가는 곳마다 호사를 누리는 복된 처지를 이르는 말. "
관청 뜰에 좁쌀을 펴 놓고 군수가 새를 쫓는다,"「1」군수가 할 일이 없어서 뜰에 좁쌀을 펴 놓고 모여드는 새를 쫓는다는 뜻으로, 관아에 너무나 할 일이 없음을 비유적으로 이르는 말. 「2」할 일이 너무 없어서 일부러 일감을 만들어 심심풀이를 함을 비유적으로 이르는 말. "
관청 물먹다,국가의 관료로 생활을 하다. 
관청에 잡아다 놓은 닭,영문도 모르고 낯선 곳으로 끌려와서 어리둥절해 있는 사람을 비유적으로 이르는 말. 
관함을 두다,격식을 갖추려고 문서 끝에 벼슬 이름과 성명을 밝히어 쓰다. 
괄기는 인왕산 솔가지라,「1」성질이 몹시 거세고 급함을 비유적으로 이르는 말. 「2」성격이 너그럽지 못하고 몹시 깐깐함을 비유적으로 이르는 말. 
광치다,「1」윤기를 내다. 「2」사실보다 크게 떠벌려 허풍을 치다. 
광대 끈 떨어졌다,"「1」광대가 연기를 할 때 탈의 끈이 떨어졌다는 뜻으로, 의지할 데가 없어 꼼짝을 못 하게 됨을 비유적으로 이르는 말. 「2」제구실을 다하지 못하여 아무짝에도 쓸모없게 됨을 비유적으로 이르는 말. "
광대를 그리다,얼굴에 먹이나 물감 따위를 이리저리 바르다. 
광부의 말도 성인이 가려 쓴다,사람은 누구나 남의 말에 귀를 기울여야 함을 비유적으로 이르는 말. 
광에서 인심 난다,자신이 넉넉해야 다른 사람도 도울 수 있음을 비유적으로 이르는 말. 
광주리에 담은 밥도 엎어질 수가 있다,틀림없을 듯한 것도 실수하여 그르칠 수가 있음을 비유적으로 이르는 말. 
광주 생원 첫 서울,"광주에 사는 사람이 처음으로 서울에 와서 보는 것이 다 신기하고 놀라워 어릿어릿하다는 뜻으로, 처음 대하는 일이라 신기하여 정신이 얼떨떨하고 어리둥절해함을 비유적으로 이르는 말. "
괘그르다,일이 뜻대로 되지 않다. 
괘방치다,비밀을 드러내다. 
괘장부치다,한번 찬성하였던 일을 갑작스럽게 반대하여 일을 안 되게 하다. 
괴배다,아이를 밴 듯이 배가 부를 정도로 여자의 배 속에 병으로 덩어리가 생기다. 
괴 다리에 기름 바르듯,일을 분명하고 깔끔하게 처리하지 않고 슬그머니 얼버무려 버림을 비유적으로 이르는 말. 
괴 딸 아비,"고양이 딸의 아비라는 뜻으로, 그 내력을 도무지 알 수 없는 사람을 비유적으로 이르는 말. "
괴 똥같이 싼다,똥을 조금씩 누는 것을 비유적으로 이르는 말. 
괴 목에 방울 달고 뛴다,"쥐가 고양이 목에 방울을 달고 달아난다는 뜻으로, 우둔하게 위험한 행동을 하는 것을 풍자하여 이르는 말. "
괴발개발 그리다,글씨를 함부로 갈겨쓰다. 
괴 밥 먹듯 한다,음식을 이리저리 헤집어 놓고 조금만 먹음을 비유적으로 이르는 말. 
괴 불알 앓는 소리,쉴 새 없이 듣기 싫게 중얼거리는 소리를 비유적으로 이르는 말. 
교단에 서다,선생 생활을 하다. 
교단을 떠나다,선생 생활을 그만두다. 
교료놓다,교정쇄에 교정을 끝냈다는 뜻을 적거나 도장을 찍다. 
교문을 나오다[나서다],학교를 졸업하다. 
교편놓다,학교의 교사 생활을 그만두다. 
교편잡다,학교에서 교사 생활을 하다. 
교편을 내던지다,학교의 교사 생활을 스스로 그만두다. 
구경도 못 하다,눈으로 보지도 못하다. 
구곡간장을 녹이다,몹시 놀라거나 실망하게 하거나 애를 태우게 하여 간장이 온통 녹아 없어지는 것처럼 만들다. 
구곡간장이 녹다,몹시 놀라거나 실망하거나 애가 타서 간장이 온통 녹아 없어지다. 
구관이 명관이다,「1」무슨 일이든 경험이 많거나 익숙한 이가 더 잘하는 법임을 비유적으로 이르는 말. 「2」나중 사람을 겪어 봄으로써 먼저 사람이 좋은 줄을 알게 된다는 말. 
구년지수 해 돋는다,오랫동안 애타게 기다리던 것이 이루어짐을 비유적으로 이르는 말. 
구년지수 해 바라듯,구 년 동안 장마가 지고 큰물이 나는 가운데 햇볕 나기를 기다리는 모양을 비유적으로 이르는 말. 
구 년 홍수에 볕 기다리듯,구 년 동안 장마가 지고 큰물이 나는 가운데 햇볕 나기를 기다리는 모양을 비유적으로 이르는 말. 
구눙 놀다,구눙 차림을 하고 나와서 놀아나다. 
구더기 될 놈,매우 둔하고 어리석은 사람을 놀림조로 이르는 말. 
구더기 무서워 장 못 담글까,다소 방해되는 것이 있다 하더라도 마땅히 할 일은 하여야 함을 비유적으로 이르는 말. 
구두 신고 발등 긁기,"신을 신고 발바닥을 긁으면 긁으나 마나라는 뜻으로, 요긴한 곳에 직접 미치지 못하여 안타까운 경우를 비유적으로 이르는 말. "
구두장이 셋이면 제갈량의 꾀를 이긴다,여러 사람의 지혜가 어떤 뛰어난 한 사람의 지혜보다 나음을 비유적으로 이르는 말. 
구두장이 셋이 모이면 제갈량보다 낫다,여러 사람의 지혜가 어떤 뛰어난 한 사람의 지혜보다 나음을 비유적으로 이르는 말. 
구들장지다,구들방에 누워 있음을 속되게 이르는 말. 
구럭의 게놓아주겠다[놔주겠다].,"잡아서 구럭에 넣어 둔 게도 놓치겠다는 뜻으로, 잃지 말고 고스란히 먹으라고 주는 것도 제 몫으로 찾아 먹지를 못함을 비유적으로 이르는 말. "
구렁이 담 넘어가듯,일을 분명하고 깔끔하게 처리하지 않고 슬그머니 얼버무려 버림을 비유적으로 이르는 말. 
구렁이 아래턱 같다,"구렁이의 아래턱에 귀중한 구슬이 있다는 데서, 매우 가치 있고 소중함을 비유적으로 이르는 말. "
구렁이 제 몸 추듯,자기 자랑만 함을 비유적으로 이르는 말. 
구르는 돌은 이끼가 안 낀다,부지런하고 꾸준히 노력하는 사람은 침체되지 않고 계속 발전한다는 말. 
구름잡다,막연하거나 허황된 것을 좇다. 
구름 갈 제 비가 간다,"바늘이 가는 데 실이 항상 뒤따른다는 뜻으로, 사람의 긴밀한 관계를 비유적으로 이르는 말. "
구름같이 모여들다,한꺼번에 많이 모여들다. 
구름 없는 하늘에 비 올까,필요한 조건 없이 결과가 이루어지는 법이 없음을 강조하여 이르는 말. 
구름이 자주 끼면 비가 온다,일정한 징조가 있으면 그에 따르는 결과가 있기 마련임을 비유적으로 이르는 말. 
구름장에 치부,"「1」흘러가는 구름장에 적어 놓는다는 뜻으로, 없어질 데다 기록해 둔 경우를 비유적으로 이르는 말. 「2」보고 들은 것을 쉽게 잊어버림을 비유적으로 이르는 말. "
구린내가 나다,수상쩍어 의심스러운 생각이 들다. 
구린 입도 안 떼다,"이렇다든지 저렇다든지, 무엇이든 자기 의견을 말해야 할 사람이 입을 다물고 있음을 비유적으로 이르는 말. "
구린 입 지린 입,「1」자기의 의견을 이렇다든지 저렇다든지 하고 나타내는 말 또는 그렇게 말하는 입을 비유적으로 이르는 말. 「2」하는 말이 시시하고 더러워서 그런 말을 하는 입조차도 구리고 지리다는 말. 
구멍 보고 쐐기를 깎아라,무슨 일이고 간에 조건과 사정을 보아 가며 거기에 알맞게 일을 하여야 함을 비유적으로 이르는 말. 
구멍 보아 가며 말뚝[쐐기] 깎는다,무슨 일이고 간에 조건과 사정을 보아 가며 거기에 알맞게 일을 하여야 함을 비유적으로 이르는 말. 
구멍은 깎을수록 커진다,잘못된 일을 변명하고 얼버무리려고 하면 할수록 더욱 일이 어려워짐을 비유적으로 이르는 말. 
"구멍을 파는 데는 칼이 끌만 못하고, 쥐 잡는 데는 천리마[용마]가 고양이만 못하다","「1」무엇이나 제구실이 따로 있고, 쓰이는 데가 각각 다름을 비유적으로 이르는 말. 「2」아무리 귀하고 값진 물건이라도 제 용도에 쓰이지 않으면 별로 빛을 낼 수 없음을 비유적으로 이르는 말. 「3」어느 한 분야에서 뛰어난 재주를 가진 사람도 다른 분야에 대해서는 생소할 수 있음을 비유적으로 이르는 말. "
구미가 당기다[돌다],욕심이나 관심이 생기다. 
구미가 동하다,무엇을 차지하고 싶은 마음이 생기다. 
구미를 돋우다,관심을 가지게 하다. 
구복을 달래다,먹고 싶거나 배가 고픈 것을 억지로 참다. 
